baseline,s,time_x,time_y,time,task
JAX,1000,9452.333333333334,3737.6666666666665,5714.666666666668,task1
JAX,4000,67312.33333333333,52302.333333333336,15009.999999999993,task1
JAX,8000,254378.33333333334,209180.0,45198.33333333334,task1
JAX,16000,996421.6666666666,833829.6666666666,162592.0,task1
PyTorchFX,1000,23273.666666666668,5259.333333333333,18014.333333333336,task1
PyTorchFX,4000,78380.66666666667,55725.333333333336,22655.333333333336,task1
PyTorchFX,8000,261015.66666666666,212301.66666666666,48714.0,task1
PyTorchFX,16000,989743.3333333334,838806.6666666666,150936.66666666674,task1
SystemDS,1000,10543.0,2897.6666666666665,7645.333333333334,task1
SystemDS,4000,31762.333333333332,7809.0,23953.333333333332,task1
SystemDS,8000,102024.33333333333,20430.0,81594.33333333333,task1
SystemDS,16000,390250.6666666667,68964.66666666667,321286.0,task1
TVM,1000,17202.333333333332,4024.0,13178.333333333332,task1
TVM,4000,873825.0,54109.0,819716.0,task1
