task,baseline,iteration,s,time
TASK1,SystemDS,1,1000,3068
TASK1,PyTorchFX,1,1000,5318
TASK1,JAX,1,1000,3768
TASK1,SystemDS,1,4000,7724
TASK1,PyTorchFX,1,4000,56165
TASK1,JAX,1,4000,53105
TASK1,SystemDS,1,8000,19586
TASK1,PyTorchFX,1,8000,212693
TASK1,JAX,1,8000,210537
TASK1,SystemDS,1,16000,69546
TASK1,PyTorchFX,1,16000,832899
TASK1,JAX,1,16000,827044
TASK1,SystemDS,2,1000,2899
TASK1,PyTorchFX,2,1000,5231
TASK1,JAX,2,1000,3739
TASK1,SystemDS,2,4000,7474
TASK1,PyTorchFX,2,4000,55912
TASK1,JAX,2,4000,52018
TASK1,SystemDS,2,8000,19246
TASK1,PyTorchFX,2,8000,212698
TASK1,JAX,2,8000,209434
TASK1,SystemDS,2,16000,69527
TASK1,PyTorchFX,2,16000,845788
TASK1,JAX,2,16000,828131
TASK1,SystemDS,3,1000,2726
TASK1,PyTorchFX,3,1000,5229
TASK1,JAX,3,1000,3706
TASK1,SystemDS,3,4000,8229
TASK1,PyTorchFX,3,4000,55099
TASK1,JAX,3,4000,51784
TASK1,SystemDS,3,8000,22458
TASK1,PyTorchFX,3,8000,211514
TASK1,JAX,3,8000,207569
TASK1,SystemDS,3,16000,67821
TASK1,PyTorchFX,3,16000,837733
TASK1,JAX,3,16000,846314
TASK1,TVM,1,1000,4077
TASK1,TVM,1,4000,55304
TASK1,TVM,2,1000,4035
TASK1,TVM,2,4000,53418
TASK1,TVM,3,1000,3960
TASK1,TVM,3,4000,53605
