index,dataset_name,dbms,llm,total_queries,count,ratio,baseline,time
0,tpch,SparkSQL,,22,5,0.25,SparkSQL,0
1,tpch,SparkSQL,,22,11,0.5,SparkSQL,0
2,tpch,SparkSQL,,22,16,0.75,SparkSQL,0
3,tpch,SparkSQL,,22,20,0.95,SparkSQL,0
4,tpch,SparkSQL,,22,21,0.99,SparkSQL,0
5,tpch,SparkSQL,,22,22,1.0,SparkSQL,0
6,tpch,SparkSQL,,22,22,mean,SparkSQL,0.00
7,tpch,SparkSQL,,22,22,median,SparkSQL,0.00
8,stats,SparkSQL,,146,36,0.25,SparkSQL,0
9,stats,SparkSQL,,146,73,0.5,SparkSQL,0
10,stats,SparkSQL,,146,109,0.75,SparkSQL,0
11,stats,SparkSQL,,146,138,0.95,SparkSQL,0
12,stats,SparkSQL,,146,144,0.99,SparkSQL,0
13,stats,SparkSQL,,146,146,1.0,SparkSQL,0
14,stats,SparkSQL,,146,146,mean,SparkSQL,0.00
15,stats,SparkSQL,,146,146,median,SparkSQL,0.00
16,stats_ceb,SparkSQL,,146,36,0.25,SparkSQL,0
17,stats_ceb,SparkSQL,,146,73,0.5,SparkSQL,0
18,stats_ceb,SparkSQL,,146,109,0.75,SparkSQL,0
19,stats_ceb,SparkSQL,,146,138,0.95,SparkSQL,0
20,stats_ceb,SparkSQL,,146,144,0.99,SparkSQL,0
21,stats_ceb,SparkSQL,,146,146,1.0,SparkSQL,0
22,stats_ceb,SparkSQL,,146,146,mean,SparkSQL,0.00
23,stats_ceb,SparkSQL,,146,146,median,SparkSQL,0.00
24,imdb,SparkSQL,,113,28,0.25,SparkSQL,0
25,imdb,SparkSQL,,113,56,0.5,SparkSQL,0
26,imdb,SparkSQL,,113,84,0.75,SparkSQL,0
27,imdb,SparkSQL,,113,107,0.95,SparkSQL,0
28,imdb,SparkSQL,,113,111,0.99,SparkSQL,0
29,imdb,SparkSQL,,113,113,1.0,SparkSQL,0
30,imdb,SparkSQL,,113,113,mean,SparkSQL,0.00
31,imdb,SparkSQL,,113,113,median,SparkSQL,0.00
32,tpch,SparkSQL,_gemini-2.5-pro,22,5,0.25,SparkSQL,0
33,tpch,SparkSQL,_gemini-2.5-pro,22,11,0.5,SparkSQL,0
34,tpch,SparkSQL,_gemini-2.5-pro,22,16,0.75,SparkSQL,0
35,tpch,SparkSQL,_gemini-2.5-pro,22,20,0.95,SparkSQL,0
36,tpch,SparkSQL,_gemini-2.5-pro,22,21,0.99,SparkSQL,0
37,tpch,SparkSQL,_gemini-2.5-pro,22,22,1.0,SparkSQL,0
38,tpch,SparkSQL,_gemini-2.5-pro,22,22,mean,SparkSQL,0.00
39,tpch,SparkSQL,_gemini-2.5-pro,22,22,median,SparkSQL,0.00
40,stats,SparkSQL,_gemini-2.5-pro,146,36,0.25,SparkSQL,0
41,stats,SparkSQL,_gemini-2.5-pro,146,73,0.5,SparkSQL,0
42,stats,SparkSQL,_gemini-2.5-pro,146,109,0.75,SparkSQL,0
43,stats,SparkSQL,_gemini-2.5-pro,146,138,0.95,SparkSQL,0
44,stats,SparkSQL,_gemini-2.5-pro,146,144,0.99,SparkSQL,0
45,stats,SparkSQL,_gemini-2.5-pro,146,146,1.0,SparkSQL,0
46,stats,SparkSQL,_gemini-2.5-pro,146,146,mean,SparkSQL,0.00
47,stats,SparkSQL,_gemini-2.5-pro,146,146,median,SparkSQL,0.00
48,stats_ceb,SparkSQL,_gemini-2.5-pro,146,36,0.25,SparkSQL,0
49,stats_ceb,SparkSQL,_gemini-2.5-pro,146,73,0.5,SparkSQL,0
50,stats_ceb,SparkSQL,_gemini-2.5-pro,146,109,0.75,SparkSQL,0
51,stats_ceb,SparkSQL,_gemini-2.5-pro,146,138,0.95,SparkSQL,0
52,stats_ceb,SparkSQL,_gemini-2.5-pro,146,144,0.99,SparkSQL,0
53,stats_ceb,SparkSQL,_gemini-2.5-pro,146,146,1.0,SparkSQL,0
54,stats_ceb,SparkSQL,_gemini-2.5-pro,146,146,mean,SparkSQL,0.00
55,stats_ceb,SparkSQL,_gemini-2.5-pro,146,146,median,SparkSQL,0.00
56,imdb,SparkSQL,_gemini-2.5-pro,113,28,0.25,SparkSQL,0
57,imdb,SparkSQL,_gemini-2.5-pro,113,56,0.5,SparkSQL,0
58,imdb,SparkSQL,_gemini-2.5-pro,113,84,0.75,SparkSQL,0
59,imdb,SparkSQL,_gemini-2.5-pro,113,107,0.95,SparkSQL,0
60,imdb,SparkSQL,_gemini-2.5-pro,113,111,0.99,SparkSQL,0
61,imdb,SparkSQL,_gemini-2.5-pro,113,113,1.0,SparkSQL,0
62,imdb,SparkSQL,_gemini-2.5-pro,113,113,mean,SparkSQL,0.00
63,imdb,SparkSQL,_gemini-2.5-pro,113,113,median,SparkSQL,0.00
