dataset_name,rule,baseline,count
tpch,false,sql,22
stackoverflow,false,sql,4173
stackoverflow-1190,false,sql,1190
imdb,false,sql,113
dsb,false,sql,51
stats,false,sql,146
publicbibenchmark,false,sql,100
imdb_13k,false,sql,7069
imdb_d,false,sql,19079
tpch,false,logical_memo_nr,179
stackoverflow,false,logical_memo_nr,14533
stackoverflow-1190,false,logical_memo_nr,22
imdb,false,logical_memo_nr,461
dsb,false,logical_memo_nr,554
stats,false,logical_memo_nr,390
publicbibenchmark,false,logical_memo_nr,242
imdb_13k,false,logical_memo_nr,94
imdb_d,false,logical_memo_nr,421
tpch,false,logical_memo_r,28301
stackoverflow,false,logical_memo_r,22354
stackoverflow-1190,false,logical_memo_r,44
imdb,false,logical_memo_r,461
dsb,false,logical_memo_r,554
stats,false,logical_memo_r,390
publicbibenchmark,false,logical_memo_r,267
imdb_13k,false,logical_memo_r,94
imdb_d,false,logical_memo_r,421
tpch,false,physical_memo,186
stackoverflow,false,physical_memo,14533
stackoverflow-1190,false,physical_memo,27
imdb,false,physical_memo,461
dsb,false,physical_memo,554
stats,false,physical_memo,390
publicbibenchmark,false,physical_memo,257
imdb_13k,false,physical_memo,94
imdb_d,false,physical_memo,421


