index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
0,26c,89223.35364818573,287.0076,68488.5757,157711.9624883682,706210.9602429627,0,107277.29649543762,0.0,309162.84222602844,416440.6698226929,721791.899728775,4,-240674.26652602846,-4.51,False
1,13b,45798.14229011536,41.736000000000004,12387.9833,58186.15873029785,706210.9602429627,0,39796.16017341614,0.0,73934.6971988678,113731.38847351074,721791.899728775,4,-61546.7138988678,-5.97,False
2,13c,49329.35452461243,39.1957,5056.6362,54386.023864794915,706210.9602429627,0,53638.645362854004,0.0,66172.33033180237,119811.50679588318,721791.899728775,4,-61115.69413180237,-13.09,False
3,9b,163.50507736206055,353.7022,53746.697,53910.235217544556,706210.9602429627,0,106.13484382629395,0.0,103021.7191696167,103128.3851146698,721791.899728775,4,-49275.0221696167,-1.92,False
4,13a,44569.62728500366,105.5642,42048.5248,86618.18522518616,706210.9602429627,0,38236.25988960266,0.0,67248.83046150208,105485.62145233154,721791.899728775,4,-25200.305661502076,-1.6,False
5,12c,44561.13893985748,29.8779,41734.1599,86295.33198003998,706210.9602429627,0,38235.09168624878,0.0,66685.68391799927,104921.30670547485,721791.899728775,4,-24951.52401799927,-1.6,False
6,29b,91030.10265827179,504.4417,4186.1795,95216.31529845428,706210.9602429627,0,108960.21475791931,0.0,26341.907167434692,135302.6530265808,721791.899728775,4,-22155.727667434694,-6.29,False
7,10a,6494.000124931335,12.907300000000001,57115.0316,63609.06486511383,706210.9602429627,0,5824.255323410034,0.0,77898.65865707397,83723.44508171082,721791.899728775,4,-20783.627057073973,-1.36,False
8,12a,31089.148473739624,25.0584,55056.455,86145.63661392212,706210.9602429627,0,30479.442739486694,0.0,74318.55731010437,104798.53115081787,721791.899728775,4,-19262.10231010437,-1.35,False
9,3c,48.9579439163208,228.5867,86180.17929999999,86229.1703840988,706210.9602429627,0,11.431694030761719,0.0,105253.79610061646,105265.75889587402,721791.899728775,4,-19073.616800616466,-1.22,False
10,3a,39.58108425140381,228.5232,86049.7393,86089.3535244339,706210.9602429627,0,7.834529876708984,0.0,105087.13779449463,105095.50342559814,721791.899728775,4,-19037.398494494628,-1.22,False
11,3b,44.10042762756348,228.31109999999998,85927.1002,85971.23376781006,706210.9602429627,0,8.80880355834961,0.0,103763.87295722961,103773.21286201477,721791.899728775,4,-17836.772757229613,-1.21,False
12,8a,137.76488304138184,246.05149999999998,66336.1502,66473.94822322388,706210.9602429627,0,82.46774673461914,0.0,82720.97787857056,82803.97672653198,721791.899728775,4,-16384.827678570553,-1.25,False
13,14a,50601.64761543274,33.6323,39079.695400000004,89681.37615561523,706210.9602429627,0,53638.79280090332,0.0,54873.22573661804,108512.54963874817,721791.899728775,4,-15793.530336618038,-1.4,False
14,9a,157.88066387176514,355.5464,53747.8214,53905.73520405426,706210.9602429627,0,99.85098838806152,0.0,69266.24522209167,69366.62731170654,721791.899728775,4,-15518.423822091674,-1.29,False
15,8c,147.9816436767578,249.5801,69030.475,69178.48978385926,706210.9602429627,0,91.36018753051758,0.0,83836.32445335388,83928.2157421112,721791.899728775,4,-14805.849453353876,-1.21,False
16,7a,118.53220462799072,376.64549999999997,102837.1404,102955.70574481049,706210.9602429627,0,69.43831443786621,0.0,117479.50692176819,117549.47633743286,721791.899728775,4,-14642.366521768185,-1.14,False
