index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
0,19c,80949.87778663635,115.76050000000001,3732.5198000000005,84682.43072681884,706210.9602429627,0,85294.02868747711,0.0,688671.4669466019,773967.6175117493,773965.495634079,1,-684938.9471466019,-184.51,False
1,8b,143.08812618255615,244.0227,30576.369400000003,30719.490666365054,706210.9602429627,0,78.09841632843018,0.0,237152.8874874115,237233.10778141022,773965.495634079,1,-206576.5180874115,-7.76,False
2,6c,97.4172830581665,238.8819,3920.7977,4018.2481232406617,706210.9602429627,0,45.118141174316406,0.0,207549.5569229126,207596.7969417572,773965.495634079,1,-203628.7592229126,-52.94,False
3,6a,87.22190856933594,238.6576,53884.7476,53972.00264875183,706210.9602429627,0,38.05532455444336,0.0,214230.9419631958,214271.11916542053,773965.495634079,1,-160346.1943631958,-3.98,False
4,6e,108.8235855102539,239.3402,53880.52829999999,53989.38502569274,706210.9602429627,0,53.29864025115967,0.0,211736.57894134521,211791.99945926666,773965.495634079,1,-157856.0506413452,-3.93,False
5,26b,88513.5877609253,298.5154,31756.478500000005,120270.09940110779,706210.9602429627,0,138824.07031059265,0.0,187407.44366645813,326233.63585472107,773965.495634079,1,-155650.96516645813,-5.9,False
6,31a,95224.41263198853,280.8809,16824.2529,112048.69867217103,706210.9602429627,0,166359.84528064728,0.0,159581.16517066956,325943.1323289871,773965.495634079,1,-142756.91227066956,-9.49,False
7,22d,86453.53510379791,183.46620000000001,8808.833499999999,95262.4017439804,706210.9602429627,0,107210.9584569931,0.0,150891.78924560547,258104.86958026886,773965.495634079,1,-142082.95574560546,-17.13,False
8,26a,87996.33378982544,281.9881,59438.11779999999,147434.48473000794,706210.9602429627,0,133700.7818698883,0.0,199446.93126678467,333149.83501434326,773965.495634079,1,-140008.81346678466,-3.36,False
9,19d,81803.58939170837,123.78330000000001,55229.8644,137033.48693189086,706210.9602429627,0,89250.57353973389,0.0,195134.39927101135,284387.0946884155,773965.495634079,1,-139904.53487101136,-3.53,False
10,6f,113.69502544403076,238.93070000000003,93896.77709999999,94010.50526562652,706210.9602429627,0,60.13798713684082,0.0,228079.8950433731,228142.15490818024,773965.495634079,1,-134183.1179433731,-2.43,False
11,26c,89223.35364818573,287.0076,68488.5757,157711.9624883682,706210.9602429627,0,140158.65886211395,0.0,201704.2994737625,341865.08021354675,773965.495634079,1,-133215.72377376253,-2.95,False
