index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
0,28c,90385.10890007019,390.8655,47508.452399999995,137893.5944402527,706210.9602429627,0,97799.28994178772,342.119,6139197.698,6236996.987941788,6237339.1069417875,6,-6091689.2456,-129.22,False
1,28b,90235.06803512573,364.4139,21758.2393,111993.34047530821,706210.9602429627,0,97799.28994178772,354.589,6086731.354,6184530.643941788,6237339.1069417875,6,-6064973.114700001,-279.74,False
2,23c,86618.60790252686,161.6453,1254.1396,87872.78064270935,706210.9602429627,0,97799.28994178772,203.248,6047863.678,6145662.967941788,6237339.1069417875,6,-6046609.5384,-4822.32,False
3,33c,97306.37540817261,349.931,621.879,97928.2875483551,706210.9602429627,0,97799.28994178772,419.578,6046597.694,6144396.983941788,6237339.1069417875,6,-6045975.815,-9723.11,False
4,33a,96935.351395607,367.2903,87.0572,97022.44173578949,706210.9602429627,0,97799.28994178772,364.389,6045445.55,6143244.8399417875,6237339.1069417875,6,-6045358.4928,-69442.22,False
5,23a,86483.36894512177,175.4496,820.406,87303.80808530425,706210.9602429627,0,97799.28994178772,0.0,6045257.166624069,6143056.456565857,6237339.1069417875,6,-6044436.760624069,-7368.62,False
6,29c,92138.99230957031,552.7228,4204.0126,96343.03804975281,706210.9602429627,0,110365.1831150055,0.0,3645820.437431336,3756185.6205463414,6237339.1069417875,6,-3641616.424831336,-867.22,False
7,27a,89631.90279006958,307.49760000000003,186.4996,89818.43553025209,706210.9602429627,0,102707.85236358643,0.0,1500285.143852234,1602992.9962158203,6237339.1069417875,6,-1500098.644252234,-8044.44,False
8,27b,89870.97346782684,302.3261,66.9555,89937.96210800935,706210.9602429627,0,105370.6567287445,0.0,1496873.3417987823,1602243.9985275269,6237339.1069417875,6,-1496806.3862987824,-22356.24,False
9,27c,90030.33385276794,325.1735,218.89989999999997,90249.26689295044,706210.9602429627,0,105439.19277191162,0.0,1366962.6228809357,1472401.8156528473,6237339.1069417875,6,-1366743.7229809356,-6244.69,False
10,33b,97171.55702114105,318.14700000000005,66.87100000000001,97238.46116132355,706210.9602429627,0,123245.5689907074,0.0,778344.7890281677,901590.3580188751,6237339.1069417875,6,-778277.9180281677,-11639.5,False
11,30c,94606.03966712952,312.75120000000004,10340.1929,104946.265707312,706210.9602429627,0,114936.71751022339,0.0,598676.1484146118,713612.8659248352,6237339.1069417875,6,-588335.9555146118,-57.9,False
12,30a,93503.52466106415,298.591,6397.962799999999,99901.52060124665,706210.9602429627,0,111736.6075515747,0.0,295108.99543762207,406845.6029891968,6237339.1069417875,6,-288711.0326376221,-46.13,False
13,26c,89223.35364818573,287.0076,68488.5757,157711.9624883682,706210.9602429627,0,102707.80897140503,0.0,322333.6663246155,425041.4752960205,6237339.1069417875,6,-253845.0906246155,-4.71,False
14,19d,81803.58939170837,123.78330000000001,55229.8644,137033.48693189086,706210.9602429627,0,92489.91298675537,0.0,179709.38563346863,272199.298620224,6237339.1069417875,6,-124479.52123346864,-3.25,False
