index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
0,23c,86618.60790252686,161.6453,1254.1396,87872.78064270935,706210.9602429627,0,7123.039245605469,0.0,22123142.007923126,22130265.124225616,22130265.04716873,8.0,-22121887.868323125,-17640.1,False
1,26b,88513.5877609253,298.5154,31756.478500000005,120270.09940110779,706210.9602429627,0,13198.015069961548,0.0,7561540.730047226,7574738.822174072,22130265.04716873,8.0,-7529784.251547226,-238.11,False
2,23a,86483.36894512177,175.4496,820.406,87303.80808530425,706210.9602429627,0,6658.973073959351,0.0,5735186.437129974,5741845.4872608185,22130265.04716873,8.0,-5734366.031129974,-6990.67,False
3,29c,92138.99230957031,552.7228,4204.0126,96343.03804975281,706210.9602429627,0,17514.833736419678,0.0,3390129.855442047,3407644.7662353516,22130265.04716873,8.0,-3385925.842842047,-806.4,False
4,33b,97171.55702114105,318.14700000000005,66.87100000000001,97238.46116132355,706210.9602429627,0,31198.1990814209,0.0,756989.1089439392,788187.3850822449,22130265.04716873,8.0,-756922.2379439392,-11320.14,False
5,30c,94606.03966712952,312.75120000000004,10340.1929,104946.265707312,706210.9602429627,0,23322.542905807495,0.0,638973.2683181763,662295.8882808685,22130265.04716873,8.0,-628633.0754181762,-61.8,False
6,19d,81803.58939170837,123.78330000000001,55229.8644,137033.48693189086,706210.9602429627,0,4760.289192199707,0.0,432093.2014465332,436853.5676956177,22130265.04716873,8.0,-376863.3370465332,-7.82,False
7,30a,93503.52466106415,298.591,6397.962799999999,99901.52060124665,706210.9602429627,0,19495.946311950684,0.0,309961.64326667786,329457.6666355133,22130265.04716873,8.0,-303563.6804666779,-48.45,False
8,30b,94029.02159690857,290.3752,19596.6981,113625.75283709106,706210.9602429627,0,20806.487226486206,0.0,310771.02060317993,331577.5848865509,22130265.04716873,8.0,-291174.32250317995,-15.86,False
9,24b,86725.77891349792,319.8193,1476.6985,88202.51055368042,706210.9602429627,0,8510.90497970581,0.0,131323.1809616089,139834.16299819946,22130265.04716873,8.0,-129846.48246160889,-88.93,False
