index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
0,9c,4441.451382637024,29.779700000000002,60328.2105,64769.69502281952,706210.9602429627,0,4498.167824745178,7.847800000000001,78077.6599,82576.04704599609,125135.51243338012,2,-17749.449399999998,-1.29,False
1,29c,92138.99230957031,552.7228,4204.0126,96343.03804975281,706210.9602429627,0,75375.06155967712,61.483799999999995,14718.5815,90093.86238092804,125135.51243338012,2,-10514.5689,-3.5,False
2,30c,94606.03966712952,312.75120000000004,10340.1929,104946.265707312,706210.9602429627,0,76312.35435009003,69.4733,20815.1282,97127.70187134095,125135.51243338012,2,-10474.9353,-2.01,False
3,19d,81803.58939170837,123.78330000000001,55229.8644,137033.48693189086,706210.9602429627,0,64715.59343338013,29.8842,60390.0348,125105.84755463104,125135.51243338012,2,-5160.170400000003,-1.09,False
4,5c,82.44123458862305,225.5718,55822.51700000001,55904.991374771125,706210.9602429627,0,70.52104473114014,105.346,60545.9163,60616.65666598205,125135.51243338012,2,-4723.39929999999,-1.08,False
5,33b,97171.55702114105,318.14700000000005,66.87100000000001,97238.46116132355,706210.9602429627,0,78258.85772705078,27.032100000000003,4061.0369999999994,82320.1140483017,125135.51243338012,2,-3994.1659999999993,-60.73,False
6,6e,108.8235855102539,239.3402,53880.52829999999,53989.38502569274,706210.9602429627,0,94.78225708007812,186.1523,57009.548800000004,57104.550378331,125135.51243338012,2,-3129.0205000000133,-1.06,False
7,6a,87.22190856933594,238.6576,53884.7476,53972.00264875183,706210.9602429627,0,75.21243095397949,189.20499999999998,57012.492000000006,57087.9237522049,125135.51243338012,2,-3127.744400000003,-1.06,False
8,22d,86453.53510379791,183.46620000000001,8808.833499999999,95262.4017439804,706210.9602429627,0,69321.57964706421,16.1741,11918.3853,81240.18426831512,125135.51243338012,2,-3109.551800000001,-1.35,False
9,23c,86618.60790252686,161.6453,1254.1396,87872.78064270935,706210.9602429627,0,71218.81687641144,30.977600000000002,3966.3097000000002,75185.34589766237,125135.51243338012,2,-2712.1701000000003,-3.16,False
10,23a,86483.36894512177,175.4496,820.406,87303.80808530425,706210.9602429627,0,70397.5163936615,8.7452,3134.7573,73532.49301491241,125135.51243338012,2,-2314.3513000000003,-3.82,False
11,16c,57716.26319885254,27.574,20601.3747,78317.67103903503,706210.9602429627,0,54400.3142118454,29.674599999999998,22890.2521,77290.78563309631,125135.51243338012,2,-2288.877400000001,-1.11,False
