index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,1b,0.0,0.0,4894.02871131897,4894.559812545776,721791.899728775,4
1,1c,0.04119873046875,0.0,14359.823560714722,14360.395860671997,721791.899728775,4
2,1d,0.059032440185546875,0.0,4894.287204742432,4894.877338409424,721791.899728775,4
3,2a,0.7093906402587891,0.0,53604.81781959534,53606.0583114624,721791.899728775,4
4,2c,0.7251739501953125,0.0,53604.94575500488,53606.202030181885,721791.899728775,4
5,2b,0.7949352264404297,0.0,53606.44783973694,53607.773876190186,721791.899728775,4
6,1a,1.1298656463623047,0.0,14586.35287284851,14588.01383972168,721791.899728775,4
7,2d,2.4202823638916016,0.0,54096.28882408142,54099.24020767212,721791.899728775,4
8,3a,7.834529876708984,0.0,105087.13779449463,105095.50342559814,721791.899728775,4
9,3b,8.80880355834961,0.0,103763.87295722961,103773.21286201477,721791.899728775,4
10,3c,11.431694030761719,0.0,105253.79610061646,105265.75889587402,721791.899728775,4
11,4a,17.880964279174805,0.0,38204.98471260071,38223.39677810669,721791.899728775,4
12,4b,25.435590744018555,0.0,37911.602544784546,37937.56923675537,721791.899728775,4
13,4c,27.125930786132812,0.0,38193.74084472656,38221.3978767395,721791.899728775,4
14,5a,30.762338638305664,0.0,6373.373222351074,6404.6666622161865,721791.899728775,4
15,5b,34.911537170410156,0.0,6369.425010681152,6404.867649078369,721791.899728775,4
16,5c,39.005374908447266,0.0,64617.910861968994,64657.44733810425,721791.899728775,4
17,6a,43.373870849609375,0.0,66648.09193611145,66691.99690818787,721791.899728775,4
18,6b,47.54314422607422,0.0,77942.55475997925,77990.62900543213,721791.899728775,4
19,6c,51.787424087524414,0.0,5763.5910987854,5815.909624099731,721791.899728775,4
20,6d,55.98759651184082,0.0,105378.86428833008,105435.38298606873,721791.899728775,4
21,6e,60.530996322631836,0.0,66631.61344528198,66692.67554283142,721791.899728775,4
22,6f,64.8468017578125,0.0,105463.4895324707,105528.86743545532,721791.899728775,4
23,7a,69.43831443786621,0.0,117479.50692176819,117549.47633743286,721791.899728775,4
24,7b,73.76618385314941,0.0,85332.2566986084,85406.55398368835,721791.899728775,4
25,7c,78.35803031921387,0.0,145050.65565109253,145129.54478263855,721791.899728775,4
26,8a,82.46774673461914,0.0,82720.97787857056,82803.97672653198,721791.899728775,4
27,8b,86.78717613220215,0.0,30340.190744400024,30427.509021759033,721791.899728775,4
28,8c,91.36018753051758,0.0,83836.32445335388,83928.2157421112,721791.899728775,4
29,8d,95.7615852355957,0.0,67959.8482131958,68056.1408996582,721791.899728775,4
30,9a,99.85098838806152,0.0,69266.24522209167,69366.62731170654,721791.899728775,4
31,9b,106.13484382629395,0.0,103021.7191696167,103128.3851146698,721791.899728775,4
32,9c,5220.223760604858,0.0,72888.89398574829,78109.64884757996,721791.899728775,4
33,9d,5220.96791267395,0.0,110955.56349754333,116177.06251144409,721791.899728775,4
34,10a,5824.255323410034,0.0,77898.65865707397,83723.44508171082,721791.899728775,4
35,10b,6422.109031677246,0.0,62858.80513191223,69281.44526481628,721791.899728775,4
36,10c,6445.127964019775,0.0,61536.87415122986,67982.53321647644,721791.899728775,4
37,11a,14401.521730422974,0.0,2462.811279296875,16864.864110946655,721791.899728775,4
38,11b,14612.931632995605,0.0,974.2450714111328,15587.707805633545,721791.899728775,4
39,11c,15593.463039398193,0.0,57172.67117500305,72766.66531562805,721791.899728775,4
40,11d,16899.870014190674,0.0,55876.924896240234,72777.32601165771,721791.899728775,4
41,12a,30479.442739486694,0.0,74318.55731010437,104798.53115081787,721791.899728775,4
42,12b,37952.77352333069,0.0,1794.0808296203613,39747.38545417786,721791.899728775,4
43,12c,38235.09168624878,0.0,66685.68391799927,104921.30670547485,721791.899728775,4
44,13a,38236.25988960266,0.0,67248.83046150208,105485.62145233154,721791.899728775,4
