index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,1b,0.0,0.0,5101.409673690796,5101.893329620361,696847.1848964691,5
1,1c,0.29010772705078125,0.0,16638.48476409912,16639.258527755737,696847.1848964691,5
2,1d,0.2974987030029297,0.0,5166.983985900879,5167.765140533447,696847.1848964691,5
3,1a,1.0711669921875,0.0,16646.1905002594,16647.745323181152,696847.1848964691,5
4,2b,4.244470596313477,0.0,49030.189418792725,49034.9175453186,696847.1848964691,5
5,2a,6.498956680297852,0.0,49031.879234313965,49038.86184692383,696847.1848964691,5
6,2c,11.170196533203125,0.0,49030.58886528015,49042.24271774292,696847.1848964691,5
7,2d,15.070772171020508,0.0,49027.026319503784,49042.58074760437,696847.1848964691,5
8,3a,25.960063934326172,0.0,103387.59670257568,103414.04042243958,696847.1848964691,5
9,3b,26.972246170043945,0.0,101901.2110710144,101928.66697311401,696847.1848964691,5
10,3c,29.76527214050293,0.0,103542.47851371765,103572.72744178772,696847.1848964691,5
11,4a,34.54113006591797,0.0,43361.92488670349,43396.949672698975,696847.1848964691,5
12,4b,52.814531326293945,0.0,43347.08104133606,43400.37922859192,696847.1848964691,5
13,4c,60.143280029296875,0.0,43337.19873428345,43397.82567024231,696847.1848964691,5
14,5a,63.950395584106445,0.0,6960.189867019653,7024.623918533325,696847.1848964691,5
15,5b,69.46396827697754,0.0,6953.586053848267,7023.53367805481,696847.1848964691,5
16,5c,74.12538528442383,0.0,68783.53667259216,68858.14571380615,696847.1848964691,5
17,6a,79.72722053527832,0.0,64571.45600318909,64651.66687965393,696847.1848964691,5
18,6b,85.38918495178223,0.0,73982.87177085876,74068.74461174011,696847.1848964691,5
19,6c,90.70138931274414,0.0,5393.6291217803955,5484.814167022705,696847.1848964691,5
20,6d,96.54011726379395,0.0,104779.91075515747,104876.93452835083,696847.1848964691,5
21,6e,101.8735408782959,0.0,64547.642517089844,64649.999713897705,696847.1848964691,5
22,6f,107.01074600219727,0.0,104939.31498527527,105046.80938720703,696847.1848964691,5
23,7a,114.24922943115234,0.0,114733.46056938171,114848.19345474243,696847.1848964691,5
24,7b,122.42264747619629,0.0,81959.30848121643,82082.21478462219,696847.1848964691,5
25,7c,125.63648223876953,0.0,154650.65693855286,154776.7770767212,696847.1848964691,5
26,8a,129.6483039855957,0.0,79925.00214576721,80055.13410568237,696847.1848964691,5
27,8b,135.20798683166504,0.0,30607.310819625854,30743.002462387085,696847.1848964691,5
28,8c,140.83433151245117,0.0,74844.25234794617,74985.57033538818,696847.1848964691,5
29,8d,147.6357936859131,0.0,65587.99996376038,65736.11941337585,696847.1848964691,5
30,9a,152.95262336730957,0.0,64721.22540473938,64874.661684036255,696847.1848964691,5
31,9b,158.3765983581543,0.0,101337.54591941833,101496.40617370605,696847.1848964691,5
32,9c,5212.516641616821,0.0,65810.73942184448,71023.73971939087,696847.1848964691,5
33,9d,5388.169622421265,0.0,121474.76601600647,126863.4192943573,696847.1848964691,5
34,10a,5683.337783813477,0.0,75309.77702140808,80993.59846115112,696847.1848964691,5
35,10b,7051.7534255981445,0.0,60826.32122039795,67878.55830192566,696847.1848964691,5
36,10c,7051.791763305664,0.0,59301.37753486633,66353.65295410156,696847.1848964691,5
37,11a,16698.997259140015,0.0,2719.18363571167,19418.66455078125,696847.1848964691,5
38,11b,16726.497888565063,0.0,1307.6587677001953,18034.640312194824,696847.1848964691,5
39,11c,18063.51761817932,0.0,52060.91647148132,70124.91774559021,696847.1848964691,5
40,11d,19506.76221847534,0.0,50618.69440078735,70125.94027519226,696847.1848964691,5
41,12a,30762.160682678223,0.0,72411.91654205322,103174.56088066101,696847.1848964691,5
42,12b,43428.99742126465,0.0,2023.5958576202393,45453.07693481445,696847.1848964691,5
43,13a,43429.106760025024,0.0,60009.47394371033,103439.06435966492,696847.1848964691,5
44,12c,43429.11138534546,0.0,59850.06031990051,103279.65536117554,696847.1848964691,5
45,13b,45476.10101699829,0.0,73546.43239974976,119023.01707267761,696847.1848964691,5
46,13c,49120.53933143616,0.0,75321.37908935547,124442.40207672119,696847.1848964691,5
47,14a,49120.69854736328,0.0,58777.317810058594,107898.50001335144,696847.1848964691,5
48,13d,49121.155071258545,0.0,75566.91346168518,124688.55218887329,696847.1848964691,5
49,14b,49121.16894721985,0.0,23360.826921463013,72482.47952461243,696847.1848964691,5
50,14c,63882.017374038696,0.0,44466.499280929565,108349.00031089783,696847.1848964691,5
51,15a,64031.833362579346,0.0,39599.5322227478,103631.84924125671,696847.1848964691,5
52,15b,64540.46049118042,0.0,9891.570091247559,74432.51423835754,696847.1848964691,5
53,15c,65398.99492263794,0.0,38272.507190704346,103671.98576927185,696847.1848964691,5
54,15d,65783.73532295227,0.0,37588.512325286865,103372.7313041687,696847.1848964691,5
55,16a,67062.73784637451,0.0,2198.6159801483154,69261.83748245239,696847.1848964691,5
56,16b,67449.35069084167,0.0,93193.86978149414,160643.70412826538,696847.1848964691,5
57,16c,68637.4026298523,0.0,19942.549562454224,88580.43584823608,696847.1848964691,5
58,16d,69225.73900222778,0.0,19351.668548583984,88577.89120674133,696847.1848964691,5
59,17a,71007.3338508606,0.0,62903.47409248352,133911.29159927368,696847.1848964691,5
60,17b,71224.36542510986,0.0,36885.185527801514,108110.03460884094,696847.1848964691,5
61,17c,71957.28487968445,0.0,35902.590799331665,107860.35933494568,696847.1848964691,5
62,17d,73083.62441062927,0.0,34844.553899765015,107928.66196632385,696847.1848964691,5
63,17e,74571.08783721924,0.0,59696.108865737915,134267.68035888672,696847.1848964691,5
64,17f,77657.18064308167,0.0,43192.5482749939,120850.21257400513,696847.1848964691,5
65,18a,80723.99134635925,0.0,24876.09076499939,105600.56576728821,696847.1848964691,5
66,18b,81990.92273712158,0.0,21253.352308273315,103244.75870132446,696847.1848964691,5
67,18c,85013.23690414429,0.0,21055.80711364746,106069.52767372131,696847.1848964691,5
68,19a,88612.13512420654,0.0,2189.813709259033,90802.43248939514,696847.1848964691,5
69,19b,88612.17880249023,0.0,1844.474744796753,90457.13720321655,696847.1848964691,5
70,19c,90489.88642692566,0.0,8733.615398406982,99223.9854812622,696847.1848964691,5
71,19d,90847.60746955872,0.0,185804.1883945465,276652.2795200348,696847.1848964691,5
72,20a,98207.15246200562,0.0,54215.5312538147,152423.16737174988,696847.1848964691,5
73,20b,100785.34541130066,0.0,51433.53419303894,152219.36326026917,696847.1848964691,5
74,20c,100832.04002380371,0.0,50955.79962730408,151788.32330703735,696847.1848964691,5
75,21a,101262.770986557,0.0,853.1301975250244,102116.3848400116,696847.1848964691,5
76,21b,101488.63139152527,0.0,424.1503715515137,101913.26541900635,696847.1848964691,5
77,21c,101580.77101707458,0.0,359.31878089904785,101940.5734539032,696847.1848964691,5
78,22a,101624.63059425354,0.0,33510.43391227722,135135.54816246033,696847.1848964691,5
79,22b,101644.3256855011,0.0,29904.892873764038,131549.7022151947,696847.1848964691,5
80,22c,101724.69577789307,0.0,41699.43809509277,143424.6175289154,696847.1848964691,5
81,22d,101805.45954704285,0.0,28278.576612472534,130084.51981544495,696847.1848964691,5
82,23a,102335.02345085144,0.0,2556.087589263916,104891.59469604492,696847.1848964691,5
83,23b,102778.76496315002,0.0,14190.319013595581,116969.56763267517,696847.1848964691,5
84,23c,103815.62142372131,0.0,1691.2425518035889,105507.34763145447,696847.1848964691,5
85,24a,103992.58909225464,0.0,59674.19500350952,163667.26775169373,696847.1848964691,5
86,24b,104285.14003753662,0.0,117964.43819999695,222250.06189346313,696847.1848964691,5
87,25a,104734.8566532135,0.0,16480.088329315186,121215.42863845825,696847.1848964691,5
88,25b,105075.16961097717,0.0,16108.787059783936,121184.44032669067,696847.1848964691,5
89,25c,105435.23230552673,0.0,31507.2322845459,136942.9482460022,696847.1848964691,5
90,26a,105758.3065032959,0.0,77327.46496200562,183086.25512123108,696847.1848964691,5
91,26b,106535.72044372559,0.0,35854.13432121277,142390.33842086792,696847.1848964691,5
92,26c,107011.3245010376,0.0,80364.64328765869,187376.45144462585,696847.1848964691,5
93,27a,107405.35378456116,0.0,479.7630310058594,107885.60047149658,696847.1848964691,5
94,27b,107767.87185668945,0.0,483.7556838989258,108252.11119651794,696847.1848964691,5
95,27c,108084.74922180176,0.0,548.6128807067871,108633.84575843811,696847.1848964691,5
96,28a,108361.45811080933,0.0,30174.37152862549,138536.31329536438,696847.1848964691,5
97,28b,108870.65477371216,0.0,25300.013732910156,134171.15216255188,696847.1848964691,5
98,28c,109393.54252815247,0.0,20863.853406906128,130257.87959098816,696847.1848964691,5
99,29a,110308.60486030579,0.0,37775.9108543396,148084.99937057495,696847.1848964691,5
100,29b,110685.97602844238,0.0,37845.71933746338,148532.17902183533,696847.1848964691,5
101,29c,111959.9597454071,0.0,3989.569139480591,115950.01254081726,696847.1848964691,5
102,30a,114103.52058410645,0.0,288721.46253585815,402825.46677589417,696847.1848964691,5
103,30b,115944.98271942139,0.0,287207.46784210205,403152.934217453,696847.1848964691,5
104,30c,117610.65669059753,0.0,579236.5282058716,696847.6685523987,696847.1848964691,5
105,31a,120169.76299285889,0.0,27115.498065948486,147285.74471473694,696847.1848964691,5
106,31b,120473.15759658813,0.0,8044.8304653167725,128518.47171783447,696847.1848964691,5
107,31c,122124.53761100769,0.0,41837.23602294922,163962.25728988647,696847.1848964691,5
108,32a,124795.76954841614,0.0,79.73489761352539,124875.98810195923,696847.1848964691,5
109,32b,124869.71793174744,0.0,837.9537582397461,125708.15534591675,696847.1848964691,5
110,33a,125517.10290908813,0.0,700.3049373626709,126217.89150238037,696847.1848964691,5
111,33b,125902.8016090393,0.0,572.3462581634521,126475.63152313232,696847.1848964691,5
112,33c,126213.06085586548,0.0,462.92667388916016,126676.4711856842,696847.1848964691,5
