index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,1d,0.0,0.0,50370.463728904724,50372.58560657501,773965.495634079,1
1,2c,1.1240720748901367,0.0,24498.941612243652,24502.18756198883,773965.495634079,1
2,1c,1.230788230895996,0.0,47396.13285064697,47399.48551654816,773965.495634079,1
3,2b,2.248072624206543,0.0,51319.44191455841,51323.811864852905,773965.495634079,1
4,1b,2.34224796295166,0.0,50235.171246528625,50239.635372161865,773965.495634079,1
5,2d,4.026055335998535,0.0,51422.28126525879,51428.429198265076,773965.495634079,1
6,2a,4.416990280151367,0.0,51353.336334228516,51359.875202178955,773965.495634079,1
7,1a,4.559516906738281,0.0,51221.85945510864,51228.54084968567,773965.495634079,1
8,3a,10.476326942443848,0.0,61425.539565086365,61438.1377696991,773965.495634079,1
9,3b,11.523914337158203,0.0,63138.11445236206,63151.76024436951,773965.495634079,1
10,3c,12.670755386352539,0.0,63435.805678367615,63450.598311424255,773965.495634079,1
11,4a,16.71421527862549,0.0,80270.70291042328,80289.53900337219,773965.495634079,1
12,4b,21.86758518218994,0.0,62941.534948349,62965.52441120148,773965.495634079,1
13,4c,25.916051864624023,0.0,96680.6714296341,96708.709359169,773965.495634079,1
14,5a,29.316353797912598,0.0,6318.888521194458,6350.326752662659,773965.495634079,1
15,5b,31.235957145690918,0.0,47466.26033782959,47499.61817264557,773965.495634079,1
16,5c,35.14144420623779,0.0,54251.67202949524,54288.935351371765,773965.495634079,1
17,6a,38.05532455444336,0.0,214230.9419631958,214271.11916542053,773965.495634079,1
18,6b,41.24734401702881,0.0,214064.18771743774,214107.55693912506,773965.495634079,1
19,6c,45.118141174316406,0.0,207549.5569229126,207596.7969417572,773965.495634079,1
20,6d,49.18704032897949,0.0,218919.19033527374,218970.499253273,773965.495634079,1
21,6e,53.29864025115967,0.0,211736.57894134521,211791.99945926666,773965.495634079,1
22,6f,60.13798713684082,0.0,228079.8950433731,228142.15490818024,773965.495634079,1
23,7a,62.89951801300049,0.0,233045.58520317078,233110.60659885406,773965.495634079,1
24,7b,65.85898399353027,0.0,56914.61818218231,56982.59904384613,773965.495634079,1
25,7c,69.89502906799316,0.0,104438.29956054688,104510.31646728516,773965.495634079,1
26,8b,78.09841632843018,0.0,237152.8874874115,237233.10778141022,773965.495634079,1
27,8d,86.33415699005127,0.0,68105.29017448425,68193.74620914459,773965.495634079,1
28,8c,86.99913024902344,0.0,158629.89089488983,158719.01190280914,773965.495634079,1
29,8a,87.82761096954346,0.0,62484.405755996704,62574.355244636536,773965.495634079,1
30,9a,90.4853343963623,0.0,34120.245814323425,34212.853026390076,773965.495634079,1
31,9b,94.77851390838623,0.0,63770.29831409454,63867.19870567322,773965.495634079,1
32,9c,6350.203657150269,0.0,42503.145146369934,48855.47068119049,773965.495634079,1
33,9d,24727.832865715027,0.0,101695.8889245987,126425.84366798401,773965.495634079,1
34,10a,34230.50003051758,0.0,94213.82212638855,128446.44403457642,773965.495634079,1
35,10b,47431.70459270477,0.0,4112.672328948975,51546.498799324036,773965.495634079,1
36,10c,47545.210337638855,0.0,5274.238324165344,52821.57053947449,773965.495634079,1
37,11a,48872.51019477844,0.0,1441.3583755493164,50315.99044799805,773965.495634079,1
38,11b,49979.59067821503,0.0,187.21344470977783,50168.92600059509,773965.495634079,1
39,11c,50073.21152687073,0.0,40491.89145565033,90567.22486019135,773965.495634079,1
40,11d,50426.285433769226,0.0,1585.6466054916382,52014.05391693115,773965.495634079,1
41,12a,50585.21122932434,0.0,15898.178505897522,66485.51161289215,773965.495634079,1
42,12b,50949.71082210541,0.0,81597.72083759308,132549.55353736877,773965.495634079,1
43,12c,51289.33913707733,0.0,21808.02183151245,73099.48284626007,773965.495634079,1
44,13a,51342.5671339035,0.0,90367.0889377594,141711.7779493332,773965.495634079,1
45,13b,51538.98005485535,0.0,88591.20657444,140132.30850696564,773965.495634079,1
46,13c,51877.578806877136,0.0,87550.03607273102,139429.73675727844,773965.495634079,1
47,13d,52267.09444522858,0.0,99998.02401065826,152267.24033355713,773965.495634079,1
48,14a,52968.49992275238,0.0,48668.328976631165,101638.95077705383,773965.495634079,1
49,14b,54143.48969459534,0.0,30435.37459373474,84580.98616600037,773965.495634079,1
50,14c,57268.79017353058,0.0,66898.56052398682,124169.47257518768,773965.495634079,1
51,15a,60406.42144680023,0.0,3312.2018098831177,63720.74513435364,773965.495634079,1
52,15b,61474.920535087585,0.0,694.3770170211792,62171.41942977905,773965.495634079,1
53,15c,61912.933683395386,0.0,5725.264883041382,67640.32044410706,773965.495634079,1
54,15d,62338.12663555145,0.0,8402.55491733551,70742.80343055725,773965.495634079,1
55,16a,63104.21211719513,0.0,1312.4265670776367,64418.760561943054,773965.495634079,1
56,16b,63519.89505290985,0.0,86859.70108509064,150381.71801567078,773965.495634079,1
57,16c,64242.97208786011,0.0,8080.365252494812,72325.45921802521,773965.495634079,1
58,16d,64795.22325992584,0.0,7361.675000190735,72159.02013778687,773965.495634079,1
59,17a,65350.32284259796,0.0,53948.108649253845,119300.5533695221,773965.495634079,1
60,17b,66910.68868637085,0.0,24840.11468887329,91752.92525291443,773965.495634079,1
61,17c,67745.94085216522,0.0,23492.413878440857,91240.47660827637,773965.495634079,1
62,17d,68578.30801010132,0.0,23122.001147270203,91702.43103504181,773965.495634079,1
63,17e,70684.64434146881,0.0,53298.68288040161,123985.44909954071,773965.495634079,1
64,17f,71973.74255657196,0.0,35677.10702419281,107652.97145843506,773965.495634079,1
65,18a,72402.79273986816,0.0,92557.75091648102,164962.66553401947,773965.495634079,1
66,18b,73389.02518749237,0.0,872.5265979766846,74263.67366313934,773965.495634079,1
67,18c,74216.87369346619,0.0,35794.85237598419,110013.84794712067,773965.495634079,1
68,19a,80347.67599105835,0.0,98898.11689853668,179247.91476726532,773965.495634079,1
69,19b,84638.769698143,0.0,684.283709526062,85325.17528533936,773965.495634079,1
70,19c,85294.02868747711,0.0,688671.4669466019,773967.6175117493,773965.495634079,1
71,19d,89250.57353973389,0.0,195134.39927101135,284387.0946884155,773965.495634079,1
72,20a,90854.63185310364,0.0,197390.58952331543,288247.34325408936,773965.495634079,1
73,20b,91751.40385627747,0.0,191044.2334651947,282797.75919914246,773965.495634079,1
74,20c,92503.74021530151,0.0,201271.46997451782,293777.3320674896,773965.495634079,1
75,21a,96552.50461101532,0.0,904.6207427978516,97459.24723148346,773965.495634079,1
76,21b,97898.26257228851,0.0,1819.0499544143677,99719.43440437317,773965.495634079,1
77,21c,99648.81381988525,0.0,576.4726400375366,100227.40833759308,773965.495634079,1
78,22a,100298.7532377243,0.0,58173.38879108429,158474.26390647888,773965.495634079,1
79,22b,101866.88208580017,0.0,53542.33360290527,155411.33756637573,773965.495634079,1
80,22c,103584.72490310669,0.0,60550.597643852234,164137.4444246292,773965.495634079,1
81,22d,107210.9584569931,0.0,150891.78924560547,258104.86958026886,773965.495634079,1
82,23a,110807.50465393066,0.0,1483.32040309906,112292.94693470001,773965.495634079,1
83,23b,112276.47023200989,0.0,79808.3722114563,192086.96432113647,773965.495634079,1
84,23c,118665.35294055939,0.0,1624.349856376648,120291.82467460632,773965.495634079,1
85,24a,119847.6753950119,0.0,63947.91615009308,183797.71342277527,773965.495634079,1
86,24b,122296.49741649628,0.0,81715.28198719025,204013.9012813568,773965.495634079,1
87,25a,123478.36730480194,0.0,63066.27366542816,186546.7628479004,773965.495634079,1
88,25b,125801.2702703476,0.0,56279.870104789734,182083.26225280762,773965.495634079,1
89,25c,128230.07283210754,0.0,72466.32492542267,200698.5196352005,773965.495634079,1
90,26a,133700.7818698883,0.0,199446.93126678467,333149.83501434326,773965.495634079,1
91,26b,138824.07031059265,0.0,187407.44366645813,326233.63585472107,773965.495634079,1
92,26c,140158.65886211395,0.0,201704.2994737625,341865.08021354675,773965.495634079,1
93,27a,143030.66828250885,0.0,733.8974475860596,143766.6876077652,773965.495634079,1
94,27b,143758.02614688873,0.0,716.0401105880737,144476.1881351471,773965.495634079,1
95,27c,144358.70473384857,0.0,755.2142858505249,145116.04089736938,773965.495634079,1
96,28a,145113.33367824554,0.0,52230.06658554077,197345.5221414566,773965.495634079,1
97,28b,149598.9445924759,0.0,46314.02065753937,195915.08712768555,773965.495634079,1
98,28c,151890.92800617218,0.0,51865.91010093689,203758.95998477936,773965.495634079,1
99,29a,155503.11725139618,0.0,6575.757527351379,162080.99665641785,773965.495634079,1
100,29b,158140.8777475357,0.0,35155.68025112152,193298.67987632751,773965.495634079,1
101,29c,161282.31146335602,0.0,4438.81299495697,165723.24633598328,773965.495634079,1
102,30a,162818.21439266205,0.0,8817.812848091125,171638.14911842346,773965.495634079,1
103,30b,164100.1284122467,0.0,1413.8610124588013,165516.1113023758,773965.495634079,1
104,30c,165189.06185626984,0.0,24896.84064388275,190088.02437782288,773965.495634079,1
105,31a,166359.84528064728,0.0,159581.16517066956,325943.1323289871,773965.495634079,1
106,31b,168679.61316108704,0.0,50714.331459999084,219396.0664987564,773965.495634079,1
107,31c,172214.72251415253,0.0,73450.03890991211,245666.88330173492,773965.495634079,1
108,32a,177007.45849609375,0.0,17936.18540763855,194945.7657814026,773965.495634079,1
109,32b,181898.58655929565,0.0,37555.900740623474,219456.60917758942,773965.495634079,1
110,33a,184511.89126968384,0.0,507.5313329696655,185021.5444803238,773965.495634079,1
111,33b,184928.80697250366,0.0,525.1620769500732,185456.09092712402,773965.495634079,1
112,33c,185302.3503780365,0.0,586.3078117370605,185890.78006744385,773965.495634079,1
