index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,2d,0.0,0.0,58676.77879333496,58676.77879333496,6237339.1069417875,6
1,2c,0.1475811004638672,0.0,58674.3221282959,58674.46970939636,6237339.1069417875,6
2,2b,0.38743019104003906,0.0,58674.668073654175,58675.055503845215,6237339.1069417875,6
3,2a,0.4165172576904297,0.0,58674.58486557007,58675.00138282776,6237339.1069417875,6
4,3b,0.9357929229736328,0.0,97397.3240852356,97398.25987815857,6237339.1069417875,6
5,1b,3.5903453826904297,0.0,5057.089805603027,5060.680150985718,6237339.1069417875,6
6,1d,3.750324249267578,0.0,5057.51371383667,5061.2640380859375,6237339.1069417875,6
7,1a,3.770112991333008,0.0,13941.797256469728,13945.567369461061,6237339.1069417875,6
8,1c,3.8220882415771484,0.0,11875.479936599731,11879.302024841309,6237339.1069417875,6
9,4a,9.343624114990234,0.0,45696.42734527588,45705.77096939087,6237339.1069417875,6
10,4b,9.464740753173828,0.0,45696.70915603638,45706.17389678955,6237339.1069417875,6
11,3a,9.526729583740234,0.0,97539.14332389832,97548.67005348206,6237339.1069417875,6
12,3c,9.623289108276367,0.0,97783.56719017027,97793.19047927855,6237339.1069417875,6
13,4c,9.670019149780273,0.0,45695.2850818634,45704.95510101318,6237339.1069417875,6
14,5a,9.697914123535156,0.0,6451.955556869507,6461.653470993042,6237339.1069417875,6
15,5b,13.5650634765625,0.0,6447.734594345093,6461.299657821655,6237339.1069417875,6
16,5c,17.081499099731445,0.0,65990.11898040771,66007.20047950745,6237339.1069417875,6
17,6a,20.676612854003906,0.0,64741.68276786804,64762.359380722046,6237339.1069417875,6
18,6b,24.360179901123047,0.0,82014.0483379364,82038.40851783752,6237339.1069417875,6
19,6c,28.321266174316406,0.0,5800.450325012207,5828.771591186523,6237339.1069417875,6
20,6d,32.49859809875488,0.0,105309.42726135254,105341.9258594513,6237339.1069417875,6
21,6e,36.06772422790527,0.0,64726.22561454773,64762.293338775635,6237339.1069417875,6
22,6f,39.89601135253906,0.0,105382.56096839903,105422.45697975157,6237339.1069417875,6
23,7a,43.55263710021973,0.0,111668.67518424988,111712.2278213501,6237339.1069417875,6
24,7b,48.1417179107666,0.0,83410.46810150146,83458.60981941223,6237339.1069417875,6
25,7c,51.29671096801758,0.0,154006.99734687805,154058.29405784607,6237339.1069417875,6
26,8a,54.967641830444336,0.0,82229.47120666504,82284.43884849548,6237339.1069417875,6
27,8b,59.07607078552246,0.0,29350.853204727173,29409.929275512695,6237339.1069417875,6
28,8c,63.132286071777344,0.0,85592.22507476807,85655.35736083984,6237339.1069417875,6
29,8d,67.97266006469727,0.0,64690.38724899292,64758.35990905762,6237339.1069417875,6
30,9a,72.12066650390625,0.0,63337.72015571594,63409.84082221985,6237339.1069417875,6
31,9b,75.71077346801758,0.0,101618.64805221558,101694.3588256836,6237339.1069417875,6
32,9c,5118.760824203491,0.0,62895.31707763672,68014.07790184021,6237339.1069417875,6
33,9d,5192.739009857178,0.0,119319.2012310028,124511.94024085997,6237339.1069417875,6
34,10a,5859.774827957153,0.0,77828.12428474426,83687.89911270142,6237339.1069417875,6
35,10b,6482.758283615112,0.0,60303.03740501404,66785.79568862915,6237339.1069417875,6
36,10c,6482.779502868652,0.0,58923.14410209656,65405.92360496521,6237339.1069417875,6
37,11a,11917.110443115234,0.0,3020.1210975646973,14937.231540679932,6237339.1069417875,6
38,11b,13991.509675979614,0.0,70.07479667663574,14061.58447265625,6237339.1069417875,6
39,11c,14071.417331695557,0.0,65692.2378540039,79763.65518569946,6237339.1069417875,6
40,11d,14941.804647445679,0.0,64817.80529022217,79759.60993766785,6237339.1069417875,6
41,12a,29425.82106590271,0.0,68085.7527256012,97511.5737915039,6237339.1069417875,6
42,12b,45746.15263938904,0.0,1458.2374095916748,47204.39004898071,6237339.1069417875,6
43,12c,45746.17671966553,0.0,51833.56976509094,97579.74648475647,6237339.1069417875,6
44,13a,45746.262311935425,0.0,51824.30362701416,97570.56593894958,6237339.1069417875,6
45,13b,47220.327854156494,0.0,50423.44379425049,97643.77164840698,6237339.1069417875,6
46,13c,58734.856367111206,0.0,49919.73280906677,108654.58917617798,6237339.1069417875,6
47,14b,58735.00967025757,0.0,23927.70099639893,82662.7106666565,6237339.1069417875,6
48,14a,58735.04710197449,0.0,43424.39651489258,102159.44361686707,6237339.1069417875,6
