index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,2b,0.0,0.0,59403.81177266439,59404.019037882485,720708.9001337687,7
1,2d,0.07088979085286459,0.0,59403.42911084493,59403.70726585388,720708.9001337687,7
2,1c,2.4910767873128252,0.0,13166.938940684,13169.637282689413,720708.9001337687,7
3,1b,2.6058355967203775,0.0,5168.980042139689,5171.793142954509,720708.9001337687,7
4,1a,2.612511316935221,0.0,14604.570547739664,14607.390324274698,720708.9001337687,7
5,1d,2.698739369710286,0.0,5168.993552525838,5171.8995571136475,720708.9001337687,7
6,2c,3.24710210164388,0.0,59399.76557095846,59403.2199382782,720708.9001337687,7
7,2a,5.456368128458659,0.0,59399.631102879845,59405.2947362264,720708.9001337687,7
8,3c,11.632839838663736,0.0,97635.2477868398,97647.08789189656,720708.9001337687,7
9,3b,12.040138244628906,0.0,96786.20179494222,96798.44919840495,720708.9001337687,7
10,4a,12.407700220743815,0.0,47437.53751118978,47450.152476628624,720708.9001337687,7
11,3a,17.60077476501465,0.0,97414.73611195882,97432.54415194194,720708.9001337687,7
12,4c,17.612457275390625,0.0,47431.15480740865,47448.97452990214,720708.9001337687,7
13,5b,20.185470581054688,0.0,5982.672532399495,6003.065268198649,720708.9001337687,7
14,4b,23.386081059773765,0.0,47426.733096440636,47450.326442718506,720708.9001337687,7
15,5c,23.85695775349935,0.0,64593.5492515564,64617.61347452799,720708.9001337687,7
16,5a,24.267991383870445,0.0,5976.135492324829,6000.610748926799,720708.9001337687,7
17,6a,26.376326878865562,0.0,61061.53917312622,61088.12276522318,720708.9001337687,7
18,6b,29.1747252146403,0.0,90449.08666610718,90478.46865653992,720708.9001337687,7
19,6c,36.23056411743164,0.0,5466.578642527263,5503.016471862793,720708.9001337687,7
20,6d,38.79721959431966,0.0,99730.06995519002,99769.07444000244,720708.9001337687,7
21,6e,41.28845532735188,0.0,61046.98395729065,61088.4796778361,720708.9001337687,7
22,6f,43.9143180847168,0.0,99804.72596486409,99848.84754816692,720708.9001337687,7
23,7a,47.52310117085774,0.0,111052.91946729024,111100.6498336792,720708.9001337687,7
24,7b,53.197383880615234,0.0,77398.20218086243,77451.60682996114,720708.9001337687,7
25,7c,55.62766393025716,0.0,140248.15583229065,140303.990761439,720708.9001337687,7
26,8a,59.38967068990071,0.0,76115.97569783528,76175.57263374329,720708.9001337687,7
27,8b,63.05782000223795,0.0,27890.04349708557,27953.30858230591,720708.9001337687,7
28,8c,66.94809595743816,0.0,81486.40863100688,81553.56399218242,720708.9001337687,7
29,8d,71.00661595662436,0.0,61729.85053062439,61801.06441179911,720708.9001337687,7
30,9a,74.30720329284668,0.0,59855.96092542013,59930.47539393107,720708.9001337687,7
31,9b,78.29117774963379,0.0,96406.74058596294,96485.23902893066,720708.9001337687,7
32,9c,5256.877899169922,0.0,58504.08426920573,63761.16943359375,720708.9001337687,7
33,9d,5259.06507174174,0.0,115062.30529149373,120321.57762845357,720708.9001337687,7
34,10a,5602.973699569702,0.0,71505.23384412129,77108.4148089091,720708.9001337687,7
35,10b,6069.208145141602,0.0,56609.84921455383,62679.264624913536,720708.9001337687,7
36,10c,6069.250106811523,0.0,55015.13131459554,61084.58868662516,720708.9001337687,7
37,11a,13233.228842417398,0.0,3018.4360345204673,16251.872142155966,720708.9001337687,7
38,11b,14680.849234263102,0.0,570.9500312805176,15252.006530761719,720708.9001337687,7
39,11c,15290.41051864624,0.0,4264.070351918538,19554.68813578288,720708.9001337687,7
40,11d,16315.961678822834,0.0,946.5146064758301,17262.683550516766,720708.9001337687,7
41,12a,17277.89076169332,0.0,79914.44738705952,97192.54541397095,720708.9001337687,7
42,12b,19585.83505948385,0.0,2197.2076098124185,21783.249934514362,720708.9001337687,7
43,12c,21810.714721679688,0.0,75509.8488330841,97320.77081998189,720708.9001337687,7
44,13a,28005.186478296917,0.0,69665.01267751057,97670.40642102559,720708.9001337687,7
45,13b,47474.15431340535,0.0,15717.905203501383,63192.26678212484,720708.9001337687,7
