index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,1a,0.0,226.05630000000002,13307.708799999999,13307.741940182494,706210.9602429627,0
1,1b,0.6837129592895508,225.5283,4990.1205,4990.837353141785,706210.9602429627,0
2,1c,6.627774238586426,225.8255,13182.065400000001,13188.726314421083,706210.9602429627,0
3,1d,11.347746849060059,225.6971,4990.4248,5001.805687031555,706210.9602429627,0
4,2a,23.564839363098145,229.1071,52365.1426,52388.74057954559,706210.9602429627,0
5,2b,25.27027130126953,229.06599999999997,52363.505099999995,52388.80851148376,706210.9602429627,0
6,2c,28.713202476501465,228.8462,52360.8177,52389.564042658996,706210.9602429627,0
7,2d,33.130764961242676,229.32600000000002,52439.6834,52472.84730514374,706210.9602429627,0
8,3a,39.58108425140381,228.5232,86049.7393,86089.3535244339,706210.9602429627,0
9,3b,44.10042762756348,228.31109999999998,85927.1002,85971.23376781006,706210.9602429627,0
10,3c,48.9579439163208,228.5867,86180.17929999999,86229.1703840988,706210.9602429627,0
11,4a,54.26065921783447,228.74589999999998,44085.0349,44139.32869940033,706210.9602429627,0
12,4b,60.00492572784424,229.0102,44029.8545,44089.89256591034,706210.9602429627,0
13,4c,65.18151760101318,228.4137,44094.9148,44160.12945778351,706210.9602429627,0
14,5a,70.25549411773682,225.02889999999996,5886.2105,5956.499134300232,706210.9602429627,0
15,5b,77.5111198425293,225.4812,5884.6176,5962.161860025024,706210.9602429627,0
16,5c,82.44123458862305,225.5718,55822.51700000001,55904.991374771125,706210.9602429627,0
17,6a,87.22190856933594,238.6576,53884.7476,53972.00264875183,706210.9602429627,0
18,6b,92.46630668640137,238.9925,83311.5311,83404.03054686889,706210.9602429627,0
19,6c,97.4172830581665,238.8819,3920.7977,4018.2481232406617,706210.9602429627,0
20,6d,103.84008884429932,238.9146,93880.1743,93984.0475290268,706210.9602429627,0
21,6e,108.8235855102539,239.3402,53880.52829999999,53989.38502569274,706210.9602429627,0
22,6f,113.69502544403076,238.93070000000003,93896.77709999999,94010.50526562652,706210.9602429627,0
23,7a,118.53220462799072,376.64549999999997,102837.1404,102955.70574481049,706210.9602429627,0
24,7b,123.59316349029541,377.0274,71723.26389999999,71846.89020367278,706210.9602429627,0
25,7c,132.57505893707275,379.34389999999996,132906.3939,133039.00209911956,706210.9602429627,0
26,8a,137.76488304138184,246.05149999999998,66336.1502,66473.94822322388,706210.9602429627,0
27,8b,143.08812618255615,244.0227,30576.369400000003,30719.490666365054,706210.9602429627,0
28,8c,147.9816436767578,249.5801,69030.475,69178.48978385926,706210.9602429627,0
29,8d,152.85241603851318,250.34769999999997,57781.8819,57934.76745622101,706210.9602429627,0
30,9a,157.88066387176514,355.5464,53747.8214,53905.73520405426,706210.9602429627,0
31,9b,163.50507736206055,353.7022,53746.697,53910.235217544556,706210.9602429627,0
32,9c,4441.451382637024,29.779700000000002,60328.2105,64769.69502281952,706210.9602429627,0
33,9d,6475.3496170043945,31.9848,106329.28689999999,112804.66965718688,706210.9602429627,0
34,10a,6494.000124931335,12.907300000000001,57115.0316,63609.06486511383,706210.9602429627,0
35,10b,6810.616850852966,13.5659,50580.941399999996,57391.59139103546,706210.9602429627,0
36,10c,6810.674071311951,14.174299999999999,51346.3154,58157.022611494445,706210.9602429627,0
37,11a,13639.424729347229,84.5124,2370.2509999999997,16009.708869529724,706210.9602429627,0
38,11b,13763.889122009277,76.0213,840.3071,14604.229362191772,706210.9602429627,0
39,11c,14723.545956611633,22.517500000000002,65940.6447,80664.22379679413,706210.9602429627,0
40,11d,16161.219811439514,30.6618,64506.778300000005,80668.031251622,706210.9602429627,0
41,12a,31089.148473739624,25.0584,55056.455,86145.63661392212,706210.9602429627,0
42,12b,44502.15182304382,31.0182,1342.6696,45844.85456322632,706210.9602429627,0
43,12c,44561.13893985748,29.8779,41734.1599,86295.33198003998,706210.9602429627,0
44,13a,44569.62728500366,105.5642,42048.5248,86618.18522518616,706210.9602429627,0
45,13b,45798.14229011536,41.736000000000004,12387.9833,58186.15873029785,706210.9602429627,0
46,13c,49329.35452461243,39.1957,5056.6362,54386.023864794915,706210.9602429627,0
47,13d,49931.42185211182,43.9962,55611.863600000004,105543.31859229431,706210.9602429627,0
48,14a,50601.64761543274,33.6323,39079.695400000004,89681.37615561523,706210.9602429627,0
49,14b,50844.59586143494,30.605200000000004,29640.232,80484.86100161744,706210.9602429627,0
50,14c,52538.28525543213,21.8672,37698.6573,90236.97569561462,706210.9602429627,0
51,15a,53422.39713668823,355.6424,32677.8206,86100.25087687073,706210.9602429627,0
52,15b,54036.13996505737,183.3628,8514.372599999999,62550.54570523987,706210.9602429627,0
53,15c,55192.34702587128,141.739,31126.7355,86319.11566605377,706210.9602429627,0
54,15d,55998.72615337372,127.39470000000001,33738.4031,89737.16239355621,706210.9602429627,0
55,16a,56264.61052894592,32.3536,2199.027,58463.67066912842,706210.9602429627,0
56,16b,56542.16585159302,32.5131,89970.4877,146512.6866917755,706210.9602429627,0
57,16c,57716.26319885254,27.574,20601.3747,78317.67103903503,706210.9602429627,0
58,16d,58292.95856952667,26.7451,20020.7905,78313.78220970917,706210.9602429627,0
59,17a,58744.04299259186,13.0838,62744.300800000005,121488.37693277435,706210.9602429627,0
60,17b,60682.90419578552,13.1786,38234.5274,98917.46473596801,706210.9602429627,0
61,17c,62024.25796985626,13.636099999999999,36786.163799999995,98810.45491003877,706210.9602429627,0
62,17d,63309.62555408478,12.6146,35553.769199999995,98863.42789426728,706210.9602429627,0
63,17e,64838.634729385376,12.5752,56638.3101,121476.97796956787,706210.9602429627,0
64,17f,67999.61314201355,13.117500000000001,42001.3434,110000.98968219603,706210.9602429627,0
65,18a,71713.48237991333,13.7982,24350.1765,96063.69202009583,706210.9602429627,0
66,18b,75785.84699630737,12.7774,10415.798200000001,86201.67833648986,706210.9602429627,0
67,18c,78067.25351810455,17.148,19339.3715,97406.65815828704,706210.9602429627,0
68,19a,79123.2875585556,115.9942,2266.1784,81389.4990987381,706210.9602429627,0
69,19b,80618.25675964355,90.9987,661.9024999999999,81280.19239982605,706210.9602429627,0
70,19c,80949.87778663635,115.76050000000001,3732.5198000000005,84682.43072681884,706210.9602429627,0
71,19d,81803.58939170837,123.78330000000001,55229.8644,137033.48693189086,706210.9602429627,0
72,20a,82123.39544296265,248.33450000000002,623839.2303,705962.6588831452,706210.9602429627,0
73,20b,82734.62226390839,75.68469999999999,280147.8373,362882.4927040909,706210.9602429627,0
74,20c,83904.38289642334,75.4269,287970.74210000003,371875.15813660587,706210.9602429627,0
75,21a,85088.29302787781,82.1565,732.2275000000001,85820.55366806031,706210.9602429627,0
76,21b,85481.77137374878,72.9115,324.73339999999996,85806.53791393127,706210.9602429627,0
77,21c,85662.9005908966,74.6353,269.0638,85931.9975310791,706210.9602429627,0
78,22a,85827.51471996307,178.4495,4151.3216,89978.86946014556,706210.9602429627,0
79,22b,86153.16135883331,175.8607,3243.511,89396.7054990158,706210.9602429627,0
80,22c,86405.0354719162,181.8827,11094.6626,97499.7312120987,706210.9602429627,0
81,22d,86453.53510379791,183.46620000000001,8808.833499999999,95262.4017439804,706210.9602429627,0
82,23a,86483.36894512177,175.4496,820.406,87303.80808530425,706210.9602429627,0
83,23b,86525.1256942749,146.72449999999998,814.4407,87339.5995344574,706210.9602429627,0
84,23c,86618.60790252686,161.6453,1254.1396,87872.78064270935,706210.9602429627,0
85,24a,86687.4210357666,349.8216,8458.4093,95145.8634759491,706210.9602429627,0
86,24b,86725.77891349792,319.8193,1476.6985,88202.51055368042,706210.9602429627,0
87,25a,86876.96981430054,51.2116,12423.0227,99300.02565448303,706210.9602429627,0
88,25b,87462.23170757294,46.4957,7772.7352,95235.00004775543,706210.9602429627,0
89,25c,87513.39025497437,55.5271,22837.8355,110351.25889515686,706210.9602429627,0
90,26a,87996.33378982544,281.9881,59438.11779999999,147434.48473000794,706210.9602429627,0
91,26b,88513.5877609253,298.5154,31756.478500000005,120270.09940110779,706210.9602429627,0
92,26c,89223.35364818573,287.0076,68488.5757,157711.9624883682,706210.9602429627,0
93,27a,89631.90279006958,307.49760000000003,186.4996,89818.43553025209,706210.9602429627,0
94,27b,89870.97346782684,302.3261,66.9555,89937.96210800935,706210.9602429627,0
95,27c,90030.33385276794,325.1735,218.89989999999997,90249.26689295044,706210.9602429627,0
96,28a,90133.5274219513,364.9561,26180.7605,116314.3210621338,706210.9602429627,0
97,28b,90235.06803512573,364.4139,21758.2393,111993.34047530821,706210.9602429627,0
98,28c,90385.10890007019,390.8655,47508.452399999995,137893.5944402527,706210.9602429627,0
99,29a,90575.29788017273,478.5312,306.9736,90882.30462035522,706210.9602429627,0
100,29b,91030.10265827179,504.4417,4186.1795,95216.31529845428,706210.9602429627,0
101,29c,92138.99230957031,552.7228,4204.0126,96343.03804975281,706210.9602429627,0
102,30a,93503.52466106415,298.591,6397.962799999999,99901.52060124665,706210.9602429627,0
103,30b,94029.02159690857,290.3752,19596.6981,113625.75283709106,706210.9602429627,0
104,30c,94606.03966712952,312.75120000000004,10340.1929,104946.265707312,706210.9602429627,0
105,31a,95224.41263198853,280.8809,16824.2529,112048.69867217103,706210.9602429627,0
106,31b,95813.2162809372,256.6949,2631.2877,98444.53712111969,706210.9602429627,0
107,31c,96266.92185401917,307.2876,27727.5259,123994.48089420167,706210.9602429627,0
108,32a,96649.37152862549,18.3042,66.2945,96715.69916880799,706210.9602429627,0
109,32b,96728.37312221527,11.2269,503.6764,97232.08266239776,706210.9602429627,0
110,33a,96935.351395607,367.2903,87.0572,97022.44173578949,706210.9602429627,0
111,33b,97171.55702114105,318.14700000000005,66.87100000000001,97238.46116132355,706210.9602429627,0
112,33c,97306.37540817261,349.931,621.879,97928.2875483551,706210.9602429627,0
