index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,1a,0.0,0.0,710.3731632232666,710.4502201080322,22130265.04716873,8
1,1b,1.654958724975586,0.0,631.3845157623291,633.1165313720703,22130265.04716873,8
2,1c,5.525302886962891,0.0,782.464599609375,788.0669593811035,22130265.04716873,8
3,1d,10.361003875732422,0.0,666.673755645752,677.11181640625,22130265.04716873,8
4,2c,21.58055305480957,0.0,12316.278266906738,12337.935876846313,22130265.04716873,8
5,3a,23.52919578552246,0.0,1260.2227687835693,1283.8290214538574,22130265.04716873,8
6,3b,27.11629867553711,0.0,876.3793468475342,903.5727024078369,22130265.04716873,8
7,3c,30.861330032348633,0.0,2285.5682373046875,2316.5066242218018,22130265.04716873,8
8,4a,35.155344009399414,0.0,868.3795928955078,903.6119937896729,22130265.04716873,8
9,4b,39.75682258605957,0.0,740.8650875091553,780.6989669799805,22130265.04716873,8
10,4c,45.08185386657715,0.0,1077.239465713501,1122.3983764648438,22130265.04716873,8
11,5a,49.755048751831055,0.0,14372.436046600342,14422.268152236938,22130265.04716873,8
12,5b,55.41057586669922,0.0,9781.621313095093,9837.108945846558,22130265.04716873,8
13,6a,60.43362617492676,0.0,220.65458297729492,281.1652660369873,22130265.04716873,8
14,6b,65.58103561401367,0.0,1717.0075416564941,1782.6656341552734,22130265.04716873,8
15,6c,70.96037864685059,0.0,138.77301216125488,209.8104476928711,22130265.04716873,8
16,6d,76.14579200744629,0.0,24216.8475151062,24293.070363998413,22130265.04716873,8
17,6e,84.25250053405762,0.0,202.04248428344727,286.3720417022705,22130265.04716873,8
18,6f,91.18804931640625,0.0,27562.541151046753,27653.806257247925,22130265.04716873,8
19,7a,98.33502769470215,0.0,5953.266763687134,6051.678848266602,22130265.04716873,8
20,7b,108.85958671569824,0.0,2013.1840705871582,2122.120714187622,22130265.04716873,8
21,7c,113.28024864196777,0.0,42535.99214553833,42649.34945106506,22130265.04716873,8
22,8a,127.56447792053223,0.0,4502.444171905518,4630.085706710815,22130265.04716873,8
23,8b,133.33945274353027,0.0,1258.280611038208,1391.697120666504,22130265.04716873,8
24,8c,147.8649616241455,0.0,32326.499366760254,32474.441385269165,22130265.04716873,8
25,8d,167.47121810913086,0.0,12381.232452392578,12548.780727386475,22130265.04716873,8
26,9a,181.03108406066895,0.0,5717.5188064575195,5898.626947402954,22130265.04716873,8
27,9b,199.65267181396484,0.0,13949.322175979614,14149.051904678345,22130265.04716873,8
28,9c,217.6443576812744,0.0,8609.971475601196,8827.692890167236,22130265.04716873,8
29,9d,241.40620231628418,0.0,48709.48028564453,48950.96354484558,22130265.04716873,8
30,10a,269.5577621459961,0.0,5896.189641952515,6165.824460983276,22130265.04716873,8
31,10b,291.27488136291504,0.0,4144.656658172607,4436.008596420288,22130265.04716873,8
32,10c,312.8945827484131,0.0,33500.97961425781,33813.95125389099,22130265.04716873,8
33,11c,345.69897651672363,0.0,2151.049757003784,2496.8257904052734,22130265.04716873,8
34,11d,376.46732330322266,0.0,2058.5497856140137,2435.094165802002,22130265.04716873,8
35,12a,623.9107608795166,0.0,2339.8236751556396,2963.811492919922,22130265.04716873,8
36,12b,672.3879337310791,0.0,902.5768756866455,1575.0418663024902,22130265.04716873,8
37,12c,696.3965892791748,0.0,10158.340883255005,10854.814529418945,22130265.04716873,8
38,13a,757.1872234344482,0.0,12737.737464904785,13495.001745223999,22130265.04716873,8
39,13b,805.8310985565186,0.0,43673.86493682861,44479.7730922699,22130265.04716873,8
40,13c,890.1816368103027,0.0,49321.09603881836,50211.35473251343,22130265.04716873,8
41,13d,987.2842311859131,0.0,36967.65661239624,37955.01790046692,22130265.04716873,8
42,14a,1074.4712352752686,0.0,3017.6002979278564,4092.1485900878906,22130265.04716873,8
43,14b,1267.7103996276855,0.0,1055.6633949279785,2323.4508514404297,22130265.04716873,8
44,14c,1402.6204586029053,0.0,4996.286869049072,6398.984384536743,22130265.04716873,8
45,15a,1496.6346740722656,0.0,1874.984359741211,3371.696090698242,22130265.04716873,8
46,15b,1743.2094097137451,0.0,258.80866050720215,2002.095127105713,22130265.04716873,8
47,15c,1947.1603393554688,0.0,4464.310264587402,6411.547660827637,22130265.04716873,8
48,15d,2070.813035964966,0.0,5067.06657409668,7137.956666946411,22130265.04716873,8
49,16a,2232.7829360961914,0.0,1650.5385875701904,3883.3985805511475,22130265.04716873,8
50,16b,2319.0597534179688,0.0,85461.92755699158,87781.06436729431,22130265.04716873,8
51,16c,2488.33270072937,0.0,12839.092254638672,15327.502012252808,22130265.04716873,8
52,16d,2691.8911933898926,0.0,10091.479015350342,12783.447265625,22130265.04716873,8
53,18a,2915.261125564575,0.0,17179.827070236206,20095.165252685547,22130265.04716873,8
54,18c,3546.7169761657715,0.0,22040.456199645996,25587.250232696533,22130265.04716873,8
55,19a,3854.0183067321777,0.0,2943.1106567382812,6797.206020355225,22130265.04716873,8
56,19b,4087.3604774475098,0.0,5030.252170562744,9117.68970489502,22130265.04716873,8
57,19c,4518.923282623291,0.0,5038.416147232056,9557.416486740112,22130265.04716873,8
58,19d,4760.289192199707,0.0,432093.2014465332,436853.5676956177,22130265.04716873,8
59,20c,5430.154228210449,0.0,36198.74277114868,41628.9740562439,22130265.04716873,8
60,22a,5761.714267730713,0.0,36836.402893066406,42598.194217681885,22130265.04716873,8
61,22b,6121.057033538818,0.0,35384.06376838684,41505.197858810425,22130265.04716873,8
62,22c,6228.188228607178,0.0,48328.788471221924,54557.05375671387,22130265.04716873,8
63,22d,6363.798141479492,0.0,39009.976387023926,45373.85158538818,22130265.04716873,8
64,23a,6658.973073959351,0.0,5735186.437129974,5741845.4872608185,22130265.04716873,8
65,23b,6790.752696990967,0.0,24294.176959991455,31085.006713867188,22130265.04716873,8
66,23c,7123.039245605469,0.0,22123142.007923126,22130265.124225616,22130265.04716873,8
67,24a,7893.3557987213135,0.0,55210.098361968994,63103.53121757507,22130265.04716873,8
68,24b,8510.90497970581,0.0,131323.1809616089,139834.16299819946,22130265.04716873,8
69,25a,9278.407764434814,0.0,12494.477891921997,21772.962713241577,22130265.04716873,8
70,25b,10213.845252990723,0.0,12976.387691497803,23190.31000137329,22130265.04716873,8
71,25c,11649.039363861084,0.0,29373.67911338806,41022.79553413391,22130265.04716873,8
72,26a,12665.921354293823,0.0,62680.12218475342,75346.120595932,22130265.04716873,8
73,26b,13198.015069961548,0.0,7561540.730047226,7574738.822174072,22130265.04716873,8
74,26c,13807.301092147827,0.0,66333.00733566284,80140.38548469543,22130265.04716873,8
75,29a,14515.10214805603,0.0,42799.75485801697,57314.934062957764,22130265.04716873,8
76,29b,15808.133316040039,0.0,44474.0816116333,60282.291984558105,22130265.04716873,8
77,29c,17514.833736419678,0.0,3390129.855442047,3407644.7662353516,22130265.04716873,8
78,30a,19495.946311950684,0.0,309961.64326667786,329457.6666355133,22130265.04716873,8
79,30b,20806.487226486206,0.0,310771.02060317993,331577.5848865509,22130265.04716873,8
80,30c,23322.542905807495,0.0,638973.2683181763,662295.8882808685,22130265.04716873,8
81,31a,23772.38278388977,0.0,30365.607833862305,54138.06767463684,22130265.04716873,8
82,31b,26025.79870223999,0.0,9753.011989593506,35778.88774871826,22130265.04716873,8
83,31c,27677.999591827393,0.0,44515.65651893616,72193.73316764832,22130265.04716873,8
84,32a,30379.670524597168,0.0,122.42255210876465,30502.1701335907,22130265.04716873,8
85,32b,30510.61100959778,0.0,1025.8166313171387,31536.504697799683,22130265.04716873,8
86,33b,31198.1990814209,0.0,756989.1089439392,788187.3850822449,22130265.04716873,8
