index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,1a,0.0,176.2919,12739.5895,12739.808821250916,125135.51243338012,2
1,1b,0.26056766510009766,182.5663,4828.4355000000005,4828.915388916016,125135.51243338012,2
2,1c,1.2179374694824219,182.5631,12227.956900000001,12229.394158720399,125135.51243338012,2
3,1d,3.9917945861816406,182.7039,4829.1657,4833.376815837097,125135.51243338012,2
4,2a,19.24431324005127,158.1582,48273.9398,48293.40343449097,125135.51243338012,2
5,2b,21.356678009033203,196.124,47987.811100000006,48009.387099259955,125135.51243338012,2
6,2c,23.643064498901367,158.37290000000002,47434.562300000005,47458.42468574982,125135.51243338012,2
7,2d,27.103829383850098,195.8361,47982.0534,48009.37655063476,125135.51243338012,2
8,3a,32.50832557678223,183.7884,59942.185,59974.912646827695,125135.51243338012,2
9,3b,36.182594299316406,183.6685,57345.3051,57381.70701555023,125135.51243338012,2
10,3c,44.28534507751465,179.4836,62652.2644,62696.76906632843,125135.51243338012,2
11,4a,47.020506858825684,181.2301,41409.5321,41456.77192810974,125135.51243338012,2
12,4b,50.50652027130127,182.03879999999998,40842.6465,40893.37234152222,125135.51243338012,2
13,4c,55.63819408416748,180.8116,41662.595799999996,41718.45331533508,125135.51243338012,2
14,5a,60.601139068603516,187.578,5713.4509,5774.271360319519,125135.51243338012,2
15,5b,65.90256690979004,163.8494,5719.6329,5785.754788160705,125135.51243338012,2
16,5c,70.52104473114014,105.346,60545.9163,60616.65666598205,125135.51243338012,2
17,6a,75.21243095397949,189.20499999999998,57012.492000000006,57087.9237522049,125135.51243338012,2
18,6b,80.2238941192627,189.4119,67473.282,67553.72521537018,125135.51243338012,2
19,6c,85.27665138244629,188.7371,4156.945900000001,4242.441872633362,125135.51243338012,2
20,6d,89.9491548538208,187.5617,86407.6098,86497.77827610474,125135.51243338012,2
21,6e,94.78225708007812,186.1523,57009.548800000004,57104.550378331,125135.51243338012,2
22,6f,99.99287128448486,185.6626,86663.27530000001,86763.48749253541,125135.51243338012,2
23,7a,109.47918891906738,273.83119999999997,81975.5991,82085.29761016999,125135.51243338012,2
24,7b,114.39106464385986,271.92089999999996,71846.0512,71960.66158589478,125135.51243338012,2
25,7c,119.19245719909668,270.0455,90706.18830000001,90825.60007845002,125135.51243338012,2
26,8a,125.48491954803467,196.5598,59456.604300000006,59582.30854079896,125135.51243338012,2
27,8b,130.2523374557495,193.38569999999999,31905.4489,32035.920558706664,125135.51243338012,2
28,8c,136.19494438171387,148.45250000000001,52339.6244,52476.03866563262,125135.51243338012,2
29,8d,142.32511520385742,174.35160000000002,50965.2859,51107.830336454776,125135.51243338012,2
30,9a,150.08878707885742,333.432,55998.4968,56148.804908329774,125135.51243338012,2
31,9b,154.63902950286865,326.675,55988.59939999999,56143.457750753776,125135.51243338012,2
32,9c,4498.167824745178,7.847800000000001,78077.6599,82576.04704599609,125135.51243338012,2
33,9d,5959.618639945984,28.189999999999998,78933.5734,84893.4113611969,125135.51243338012,2
34,10a,5999.604678153992,12.794,54437.3806,60437.204599404904,125135.51243338012,2
35,10b,6365.448188781738,8.2604,47991.216499999995,54356.884010032656,125135.51243338012,2
36,10c,6383.320140838623,11.5778,46743.330700000006,53126.870162089544,125135.51243338012,2
37,11a,12577.076268196106,74.91799999999999,3025.4024,15602.697989447022,125135.51243338012,2
