index,query_id,start_time,planning_time,execution_time,execution_start_time,workload_time,ID
0,2a,0.0,0.0,29429.873824119568,29430.36437034607,347145.75724601746,3
1,2b,3.627896308898926,0.0,29351.036310195923,29355.154752731323,347145.75724601746,3
2,2c,4.991698265075684,0.0,24261.03343963623,24266.515684127808,347145.75724601746,3
3,1a,5.852746963500977,0.0,15380.6809425354,15387.024235725403,347145.75724601746,3
4,2d,5.987119674682617,0.0,43585.06746292114,43591.54512882233,347145.75724601746,3
5,1b,6.406664848327637,0.0,3457.2192907333374,3464.1165018081665,347145.75724601746,3
6,1d,6.915187835693359,0.0,3930.6593894958496,3938.0651235580444,347145.75724601746,3
7,1c,6.955718994140625,0.0,14977.967429161072,14985.413694381714,347145.75724601746,3
8,3a,7.772469520568848,0.0,95803.96094322205,95812.22395896912,347145.75724601746,3
9,3b,12.621855735778809,0.0,95598.46611022949,95611.57851219177,347145.75724601746,3
10,3c,17.426538467407227,0.0,95973.49016666412,95991.40725135803,347145.75724601746,3
11,4a,26.806282997131348,0.0,29907.08088874817,29934.3777179718,347145.75724601746,3
12,4b,30.543899536132812,0.0,28138.100290298462,28169.134736061096,347145.75724601746,3
13,4c,41.20604991912842,0.0,29912.4342918396,29954.13088798523,347145.75724601746,3
14,5c,51.296091079711914,0.0,83372.96800613403,83424.75464344025,347145.75724601746,3
15,5a,52.19109058380127,0.0,12638.56635093689,12691.247987747192,347145.75724601746,3
16,5b,54.705238342285156,0.0,12633.731842041016,12688.927626609802,347145.75724601746,3
17,6a,56.421875953674316,0.0,66662.08808422089,66719.00050640106,347145.75724601746,3
18,6b,61.63525581359863,0.0,45757.92453289032,45820.05033493042,347145.75724601746,3
19,6d,72.38259315490723,0.0,36319.49875354767,36392.37189292908,347145.75724601746,3
20,6c,73.45800399780273,0.0,6388.987302780151,6462.935853004456,347145.75724601746,3
21,6e,77.26917266845703,0.0,66636.97476387024,66714.7344827652,347145.75724601746,3
22,6f,82.22377300262451,0.0,112255.09345531464,112337.80777454376,347145.75724601746,3
23,7b,92.87173748016357,0.0,90375.97332000732,90469.33560371399,347145.75724601746,3
24,7a,99.5711088180542,0.0,109980.00078201294,110080.0624370575,347145.75724601746,3
25,8a,104.0400743484497,0.0,91565.91658592224,91670.44720649719,347145.75724601746,3
26,7c,105.89594841003418,0.0,133580.7627916336,133687.14928627014,347145.75724601746,3
27,8b,112.05685138702393,0.0,26310.809063911438,26423.356461524963,347145.75724601746,3
28,8c,117.08202362060547,0.0,99913.223695755,100030.79626560211,347145.75724601746,3
29,8d,125.50561428070068,0.0,79673.82996082306,79799.82612133026,347145.75724601746,3
30,9a,130.79874515533447,0.0,67295.5617427826,67426.85103416443,347145.75724601746,3
31,9b,136.5267038345337,0.0,70152.14188098907,70289.15913105011,347145.75724601746,3
32,9c,3501.0268449783325,0.0,92418.82932186127,95920.3467130661,347145.75724601746,3
33,9d,3963.73348236084,0.0,103594.75290775299,107558.97693634033,347145.75724601746,3
34,10a,6413.400602340698,0.0,86159.85581874847,92573.74696731567,347145.75724601746,3
35,10b,12480.366802215576,0.0,71611.09266281128,84091.95001125336,347145.75724601746,3
36,10c,12621.404767036438,0.0,66257.48965740204,78879.38497066498,347145.75724601746,3
37,11a,15296.299743652344,0.0,2121.2610483169556,17418.0513381958,347145.75724601746,3
38,11b,15619.93465423584,0.0,895.1493263244629,16515.574526786804,347145.75724601746,3
39,11c,16571.466493606567,0.0,46022.25635051727,62594.21339035034,347145.75724601746,3
40,11d,17459.421253204346,0.0,45131.31763935089,62591.22943878174,347145.75724601746,3
41,12a,23562.252593040466,0.0,71957.58724212646,95520.33038139343,347145.75724601746,3
42,12b,26592.78554916382,0.0,2123.454761505127,28716.730856895447,347145.75724601746,3
43,12c,28210.427951812744,0.0,67577.73749828339,95788.65599632263,347145.75724601746,3
44,13a,28691.340398788452,0.0,67095.93496322632,95787.76590824127,347145.75724601746,3
45,13b,29404.420971870422,0.0,9453.588008880615,38858.49952697754,347145.75724601746,3
46,13c,29931.43708705902,0.0,2919.3524837493896,32851.28011703491,347145.75724601746,3
47,13d,30005.136680603027,0.0,74581.94403648376,104587.5712633133,347145.75724601746,3
48,14a,30056.665015220642,0.0,67584.35640335083,97641.51196479797,347145.75724601746,3
49,14b,32434.679889678955,0.0,30053.30629348755,62488.476729393005,347145.75724601746,3
50,14c,35518.05508136749,0.0,62741.234040260315,98259.77966785431,347145.75724601746,3
51,15a,39017.26064682007,0.0,56801.37794017792,95819.12913322449,347145.75724601746,3
52,15b,44265.60995578766,0.0,10223.912763595581,54490.01326560974,347145.75724601746,3
53,15c,46518.090653419495,0.0,49320.04020214081,95838.6214017868,347145.75724601746,3
54,15d,53997.49622344971,0.0,43859.05725955963,97857.04402923584,347145.75724601746,3
55,16a,59352.66478061676,0.0,7356.234574317932,66709.3899011612,347145.75724601746,3
56,16b,61024.555706977844,0.0,52602.21757888794,113627.26383209229,347145.75724601746,3
57,16c,61601.31871700287,0.0,30814.76855278015,92416.57781600952,347145.75724601746,3
58,16d,63666.912031173706,0.0,26441.347360610962,90108.74993801117,347145.75724601746,3
59,17a,66500.73537826538,0.0,38567.72403717041,105068.94996166229,347145.75724601746,3
60,17b,67722.62015342712,0.0,46340.38941860199,114063.50011825562,347145.75724601746,3
61,17c,69680.8583021164,0.0,44190.34478664398,113871.69363498688,347145.75724601746,3
62,17d,70932.1001291275,0.0,39337.29667663574,110269.88735198975,347145.75724601746,3
63,17e,73370.06516456604,0.0,27479.657769203186,100850.21347999573,347145.75724601746,3
64,17f,77832.60526657104,0.0,22461.392045021057,100294.4878578186,347145.75724601746,3
65,18a,78022.7679014206,0.0,29928.101873397827,107951.36032104492,347145.75724601746,3
66,18b,83343.8097000122,0.0,13465.711760520935,96810.01200675964,347145.75724601746,3
67,18c,88552.81376838684,0.0,20487.415385246277,109040.71969985962,347145.75724601746,3
68,19a,88928.73804569244,0.0,2572.3105430603027,91501.53913497925,347145.75724601746,3
69,19b,90001.23136043549,0.0,465.3301239013672,90467.05203056335,347145.75724601746,3
70,19c,90207.55982398987,0.0,6446.422386169434,96654.4727563858,347145.75724601746,3
71,19d,90442.9934501648,0.0,15175.275325775146,105618.75932216644,347145.75724601746,3
72,20a,90810.62650680542,0.0,13933.40196609497,104744.51901912689,347145.75724601746,3
73,20b,91455.91578483582,0.0,255689.84146118164,347146.24779224396,347145.75724601746,3
74,20c,94220.98977565765,0.0,12883.958053588867,107105.43837547302,347145.75724601746,3
75,21a,95233.0905675888,0.0,275.43952465057373,95509.02063846588,347145.75724601746,3
76,21b,95350.69811344147,0.0,420.1021432876587,95771.29080295563,347145.75724601746,3
77,21c,95512.55915164948,0.0,318.126916885376,95831.17661476135,347145.75724601746,3
78,22a,95649.78032112122,0.0,3137.1991872787476,98787.47005462646,347145.75724601746,3
79,22b,96067.05138683319,0.0,1161.131763458252,97228.67369651794,347145.75724601746,3
80,22c,96256.23919963837,0.0,11862.230157852173,108118.95990371704,347145.75724601746,3
81,22d,96290.42587280273,0.0,6249.562931060791,102540.47935009003,347145.75724601746,3
82,23a,96343.02053451538,0.0,1171.7028379440308,97515.21391868591,347145.75724601746,3
83,23b,96554.20379638672,0.0,1002.1917343139648,97556.88607692719,347145.75724601746,3
84,23c,96622.16691970825,0.0,1474.1292715072632,98096.78673744202,347145.75724601746,3
85,24a,96777.83761024475,0.0,2155.5619955062866,98933.89015197754,347145.75724601746,3
86,24b,96901.83537006378,0.0,198.00589084625244,97100.33180713654,347145.75724601746,3
87,25a,97049.40435886383,0.0,13488.636445999146,110538.53135108948,347145.75724601746,3
88,25b,97426.26662254333,0.0,9070.8265542984,106497.58372306824,347145.75724601746,3
89,25c,97551.64232254028,0.0,23677.388668060303,121229.52153682709,347145.75724601746,3
90,26a,97725.20818710327,0.0,9700.068759918213,107425.76749324799,347145.75724601746,3
91,26b,97910.0661277771,0.0,4575.238680839539,102485.79535484314,347145.75724601746,3
92,26c,98086.7513179779,0.0,15123.555541038513,113210.79740524292,347145.75724601746,3
93,27a,98480.75459003448,0.0,382.68847465515137,98863.93361091614,347145.75724601746,3
94,27b,98599.40688610077,0.0,208.57861042022705,98808.4760427475,347145.75724601746,3
95,27c,98786.76433563232,0.0,122.98445701599121,98910.23933887482,347145.75724601746,3
96,28a,98869.535779953,0.0,25779.98435497284,124650.01068115234,347145.75724601746,3
97,28b,98919.02289390564,0.0,6492.664051055908,105412.17749118805,347145.75724601746,3
98,28c,99005.06882667542,0.0,14836.569738388062,113842.12911128998,347145.75724601746,3
99,29a,99150.99029541016,0.0,9847.03266620636,108998.51350784302,347145.75724601746,3
100,29b,99286.29488945007,0.0,913.7269973754883,100200.51243305206,347145.75724601746,3
101,29c,99742.69502162933,0.0,3991.2174940109253,103734.40306186676,347145.75724601746,3
102,30a,100191.39332771301,0.0,6133.879590034485,106325.763463974,347145.75724601746,3
103,30b,101035.68804264069,0.0,551.7513990402222,101587.92998790741,347145.75724601746,3
104,30c,101373.76601696014,0.0,14713.377857208252,116087.6344203949,347145.75724601746,3
105,31a,101720.04179954529,0.0,17689.956307411194,119410.48865318298,347145.75724601746,3
106,31b,102121.48971557617,0.0,402.23917961120605,102524.21944141388,347145.75724601746,3
107,31c,102417.45884418488,0.0,26521.240878105164,128939.19026851654,347145.75724601746,3
108,32a,102865.06471633911,0.0,100.43506622314453,102965.99032878876,347145.75724601746,3
109,32b,102973.27468395233,0.0,625.9860754013062,103599.75130558014,347145.75724601746,3
110,33a,103332.82659053802,0.0,500.6673812866211,103833.98451805115,347145.75724601746,3
111,33b,103588.87162208557,0.0,437.11864948272705,104026.4808177948,347145.75724601746,3
112,33c,103778.33576202393,0.0,490.71407318115234,104269.54038143158,347145.75724601746,3
