task,baseline,iteration,s,time
TASK1,SystemDS,1,1000,9925
TASK1,PyTorchFX,1,1000,23532
TASK1,JAX,1,1000,9518
TASK1,SystemDS,1,4000,31737
TASK1,PyTorchFX,1,4000,79097
TASK1,JAX,1,4000,65086
TASK1,SystemDS,1,8000,110300
TASK1,PyTorchFX,1,8000,261216
TASK1,JAX,1,8000,255350
TASK1,SystemDS,1,16000,380679
TASK1,PyTorchFX,1,16000,991638
TASK1,JAX,1,16000,998545
TASK1,SystemDS,2,1000,11070
TASK1,PyTorchFX,2,1000,23121
TASK1,JAX,2,1000,9388
TASK1,SystemDS,2,4000,31282
TASK1,PyTorchFX,2,4000,78531
TASK1,JAX,2,4000,65045
TASK1,SystemDS,2,8000,97460
TASK1,PyTorchFX,2,8000,260366
TASK1,JAX,2,8000,256843
TASK1,SystemDS,2,16000,402625
TASK1,PyTorchFX,2,16000,993078
TASK1,JAX,2,16000,998699
TASK1,SystemDS,3,1000,10634
TASK1,PyTorchFX,3,1000,23168
TASK1,JAX,3,1000,9451
TASK1,SystemDS,3,4000,32268
TASK1,PyTorchFX,3,4000,77514
TASK1,JAX,3,4000,71806
TASK1,SystemDS,3,8000,98313
TASK1,PyTorchFX,3,8000,261465
TASK1,JAX,3,8000,250942
TASK1,SystemDS,3,16000,387448
TASK1,PyTorchFX,3,16000,984514
TASK1,JAX,3,16000,992021
TASK1,TVM,1,1000,17132
TASK1,TVM,1,4000,824387
TASK1,TVM,2,1000,17315
TASK1,TVM,2,4000,881007
TASK1,TVM,3,1000,17160
TASK1,TVM,3,4000,916081
TASK1,ATLAS,1,1000,24094
TASK1,ATLAS,1,4000,67882
TASK1,ATLAS,1,8000,278302
TASK1,ATLAS,1,16000,1329168
TASK1,ATLAS,2,1000,24188
TASK1,ATLAS,2,4000,72113
TASK1,ATLAS,2,8000,270218
TASK1,ATLAS,2,16000,1338578
TASK1,ATLAS,3,1000,24454
TASK1,ATLAS,3,4000,68279
