query_id,dbms,iteration,start_time,planning_time,execution_time
1a,SparkSQL,4,1773210706.0584364,0,5.399914264678955
1b,SparkSQL,4,1773210706.0584364,0,2.505099296569824
1c,SparkSQL,4,1773210706.0584364,0,1.910264015197754
1d,SparkSQL,4,1773210706.0584364,0,1.0776958465576172
2a,SparkSQL,4,1773210706.0584364,0,1.9206020832061768
2b,SparkSQL,4,1773210706.0584364,0,1.2251527309417725
2c,SparkSQL,4,1773210706.0584364,0,0.919140100479126
2d,SparkSQL,4,1773210706.0584364,0,2.1231486797332764
3a,SparkSQL,4,1773210706.0584364,0,1.779479742050171
3b,SparkSQL,4,1773210706.0584364,0,0.9262526035308838
3c,SparkSQL,4,1773210706.0584364,0,2.085343599319458
4a,SparkSQL,4,1773210706.0584364,0,2.269855737686157
4b,SparkSQL,4,1773210706.0584364,0,1.3879187107086182
4c,SparkSQL,4,1773210706.0584364,0,1.0746173858642578
5a,SparkSQL,4,1773210706.0584364,0,0.5965948104858398
5b,SparkSQL,4,1773210706.0584364,0,0.7371547222137451
5c,SparkSQL,4,1773210706.0584364,0,1.7411277294158936
6a,SparkSQL,4,1773210706.0584364,0,3.840951919555664
6b,SparkSQL,4,1773210706.0584364,0,4.214936971664429
6c,SparkSQL,4,1773210706.0584364,0,3.015668630599976
6d,SparkSQL,4,1773210706.0584364,0,3.5649800300598145
6e,SparkSQL,4,1773210706.0584364,0,3.2868051528930664
6f,SparkSQL,4,1773210706.0584364,0,4.3009068965911865
7a,SparkSQL,4,1773210706.0584364,0,2.281524896621704
7b,SparkSQL,4,1773210706.0584364,0,4.8503499031066895
7c,SparkSQL,4,1773210706.0584364,0,44.63524007797241
8a,SparkSQL,4,1773210706.0584364,0,2.6879236698150635
8b,SparkSQL,4,1773210706.0584364,0,1.1042287349700928
8c,SparkSQL,4,1773210706.0584364,0,8.39120626449585
8d,SparkSQL,4,1773210706.0584364,0,4.916155576705933
9a,SparkSQL,4,1773210706.0584364,0,3.5538699626922607
9b,SparkSQL,4,1773210706.0584364,0,2.825970411300659
9c,SparkSQL,4,1773210706.0584364,0,3.40035343170166
9d,SparkSQL,4,1773210706.0584364,0,3.713044404983521
10a,SparkSQL,4,1773210706.0584364,0,2.979247093200684
10b,SparkSQL,4,1773210706.0584364,0,1.9050288200378416
10c,SparkSQL,4,1773210706.0584364,0,1.7298002243041992
11a,SparkSQL,4,1773210706.0584364,0,1.8591349124908447
11b,SparkSQL,4,1773210706.0584364,0,1.117098331451416
11c,SparkSQL,4,1773210706.0584364,0,1.961500883102417
11d,SparkSQL,4,1773210706.0584364,0,3.034226894378662
12a,SparkSQL,4,1773210706.0584364,0,1.894575595855713
12b,SparkSQL,4,1773210706.0584364,0,4.090443849563599
12c,SparkSQL,4,1773210706.0584364,0,1.6517317295074463
13a,SparkSQL,4,1773210706.0584364,0,3.4026107788085938
13b,SparkSQL,4,1773210706.0584364,0,3.6648354530334473
13c,SparkSQL,4,1773210706.0584364,0,1.7892320156097412
13d,SparkSQL,4,1773210706.0584364,0,3.110764265060425
14a,SparkSQL,4,1773210706.0584364,0,3.4477126598358154
14b,SparkSQL,4,1773210706.0584364,0,2.03320837020874
14c,SparkSQL,4,1773210706.0584364,0,2.2771928310394287
15a,SparkSQL,4,1773210706.0584364,0,2.1017754077911377
15b,SparkSQL,4,1773210706.0584364,0,1.5372107028961182
15c,SparkSQL,4,1773210706.0584364,0,2.1010100841522217
15d,SparkSQL,4,1773210706.0584364,0,2.9678521156311035
16a,SparkSQL,4,1773210706.0584364,0,8.733415365219116
16b,SparkSQL,4,1773210706.0584364,0,8.4146888256073
16c,SparkSQL,4,1773210706.0584364,0,6.708804607391357
16d,SparkSQL,4,1773210706.0584364,0,6.503618001937866
