query_id,dbms,iteration,start_time,planning_time,execution_time
2c,DuckDB,4,1760132743.176575,0,707.9410552978516
1a,DuckDB,4,1760132743.17097,0,1046.4229583740234
1b,DuckDB,4,1760132743.1727548,0,1165.510892868042
1d,DuckDB,4,1760132743.1731527,0,1172.8160381317139
1c,DuckDB,4,1760132743.1719856,0,1183.7215423583984
5a,DuckDB,4,1760132743.180182,0,1382.2550773620605
5b,DuckDB,4,1760132743.1810808,0,1384.0534687042236
2b,DuckDB,4,1760132743.173649,0,1407.982587814331
2d,DuckDB,4,1760132743.1749012,0,1413.752794265747
4b,DuckDB,4,1760132743.1784732,0,1435.2164268493652
2a,DuckDB,4,1760132743.1347623,0,1490.3178215026855
11b,DuckDB,4,1760132744.5673451,0,101.18913650512695
11a,DuckDB,4,1760132744.5667152,0,111.87362670898438
4a,DuckDB,4,1760132743.1772437,0,1675.5447387695312
8d,DuckDB,4,1760132743.1920142,0,1689.6209716796875
11c,DuckDB,4,1760132744.5838623,0,308.3031177520752
4c,DuckDB,4,1760132743.1793063,0,1931.3433170318604
12a,DuckDB,4,1760132744.615872,0,760.1368427276611
12c,DuckDB,4,1760132744.671409,0,707.7124118804932
13c,DuckDB,4,1760132744.8837607,0,505.6283473968506
6c,DuckDB,4,1760132743.1840441,0,2217.1621322631836
13b,DuckDB,4,1760132744.8549848,0,590.5711650848389
11d,DuckDB,4,1760132744.591096,0,892.5037384033203
13d,DuckDB,4,1760132744.8945243,0,592.3211574554443
12b,DuckDB,4,1760132744.6273472,0,933.5768222808838
13a,DuckDB,4,1760132744.680891,0,965.2590751647949
14b,DuckDB,4,1760132745.378166,0,328.36437225341797
14a,DuckDB,4,1760132745.1127126,0,652.1201133728027
14c,DuckDB,4,1760132745.381203,0,552.9372692108154
7b,DuckDB,4,1760132743.187977,0,2892.3213481903076
15a,DuckDB,4,1760132745.4032254,0,683.6819648742676
15c,DuckDB,4,1760132745.4479563,0,694.4406032562256
6b,DuckDB,4,1760132743.1833704,0,3076.279401779175
6d,DuckDB,4,1760132743.1851625,0,3076.871871948242
15d,DuckDB,4,1760132745.4888723,0,893.2976722717285
8c,DuckDB,4,1760132743.1913376,0,3542.0782566070557
8b,DuckDB,4,1760132743.1904047,0,3956.146240234375
10b,DuckDB,4,1760132744.39921,0,2797.565460205078
8a,DuckDB,4,1760132743.1898096,0,4031.846284866333
7a,DuckDB,4,1760132743.1872475,0,4121.19197845459
9b,DuckDB,4,1760132743.1936722,0,4220.566272735596
15b,DuckDB,4,1760132745.413142,0,2260.467529296875
19b,DuckDB,4,1760132747.1990411,0,873.1541633605957
10a,DuckDB,4,1760132744.399024,0,3796.1788177490234
19a,DuckDB,4,1760132747.1485178,0,1270.965814590454
19c,DuckDB,4,1760132747.2242024,0,1316.1206245422363
21b,DuckDB,4,1760132748.422156,0,189.94665145874023
9a,DuckDB,4,1760132743.1928716,0,5491.882801055908
21a,DuckDB,4,1760132748.1977096,0,616.304874420166
21c,DuckDB,4,1760132748.5428987,0,273.47302436828613
19d,DuckDB,4,1760132747.310986,0,1544.7869300842285
6f,DuckDB,4,1760132743.186286,0,5799.338579177856
9c,DuckDB,4,1760132743.8860722,0,5142.7552700042725
16a,DuckDB,4,1760132745.4891782,0,3559.2572689056396
9d,DuckDB,4,1760132744.317176,0,4819.3817138671875
16d,DuckDB,4,1760132745.708971,0,3465.1105403900146
6a,DuckDB,4,1760132743.1825233,0,6028.010368347168
6e,DuckDB,4,1760132743.1856997,0,6039.917469024658
22a,DuckDB,4,1760132748.614468,0,628.1237602233887
22b,DuckDB,4,1760132748.6870096,0,566.3964748382568
16c,DuckDB,4,1760132745.6483984,0,3607.818841934204
17a,DuckDB,4,1760132745.7668445,0,3524.4951248168945
23a,DuckDB,4,1760132748.8580263,0,452.7251720428467
20b,DuckDB,4,1760132747.6762505,0,1675.1961708068848
27b,DuckDB,4,1760132749.3134089,0,57.512760162353516
27a,DuckDB,4,1760132749.2937458,0,81.4809799194336
20a,DuckDB,4,1760132747.4167776,0,1996.9806671142578
27c,DuckDB,4,1760132749.3535755,0,89.92838859558105
20c,DuckDB,4,1760132748.0746644,0,1388.394832611084
17b,DuckDB,4,1760132745.9364114,0,3550.9567260742188
17c,DuckDB,4,1760132746.082474,0,3410.900354385376
17e,DuckDB,4,1760132746.1447418,0,3395.2279090881348
17d,DuckDB,4,1760132746.0888412,0,3521.0001468658447
23c,DuckDB,4,1760132749.0310833,0,674.5388507843018
23b,DuckDB,4,1760132748.989187,0,720.8292484283447
10c,DuckDB,4,1760132744.398673,0,5504.9147605896
18b,DuckDB,4,1760132746.3842158,0,3541.645050048828
32a,DuckDB,4,1760132749.9284427,0,10.253429412841797
24b,DuckDB,4,1760132749.138892,0,841.1006927490234
17f,DuckDB,4,1760132746.2641387,0,3730.3366661071777
25b,DuckDB,4,1760132749.2129843,0,794.2802906036377
29a,DuckDB,4,1760132749.4458554,0,585.8981609344482
32b,DuckDB,4,1760132749.9413679,0,211.37070655822754
18c,DuckDB,4,1760132746.7357435,0,3435.1484775543213
33b,DuckDB,4,1760132749.998984,0,181.365966796875
33a,DuckDB,4,1760132749.9826217,0,200.53625106811523
33c,DuckDB,4,1760132750.0095527,0,176.51629447937012
29b,DuckDB,4,1760132749.465611,0,723.6382961273193
18a,DuckDB,4,1760132746.2644222,0,3946.124792098999
26b,DuckDB,4,1760132749.258373,0,1039.7028923034668
31b,DuckDB,4,1760132749.7116854,0,648.3237743377686
22c,DuckDB,4,1760132748.8185408,0,1665.419578552246
3a,DuckDB,4,1760132743.175255,0,7341.815233230591
3c,DuckDB,4,1760132743.177748,0,7350.032091140747
5c,DuckDB,4,1760132743.1817548,0,7368.202209472656
28b,DuckDB,4,1760132749.3774288,0,1201.3635635375977
3b,DuckDB,4,1760132743.1758974,0,7407.624959945679
24a,DuckDB,4,1760132749.0509346,0,1646.4762687683105
22d,DuckDB,4,1760132748.8188376,0,1904.2189121246338
30b,DuckDB,4,1760132749.542283,0,1226.9675731658936
26c,DuckDB,4,1760132749.2592092,0,1585.7064723968506
28c,DuckDB,4,1760132749.41631,0,1432.1045875549316
28a,DuckDB,4,1760132749.3732882,0,1480.6196689605713
26a,DuckDB,4,1760132749.245192,0,1658.0169200897217
16b,DuckDB,4,1760132745.564235,0,5387.692213058472
25a,DuckDB,4,1760132749.1763663,0,1847.0256328582764
30a,DuckDB,4,1760132749.4952137,0,1593.3175086975098
31a,DuckDB,4,1760132749.7079434,0,1474.822998046875
30c,DuckDB,4,1760132749.6122186,0,1963.4003639221191
31c,DuckDB,4,1760132749.9064505,0,1751.9073486328125
29c,DuckDB,4,1760132749.4897342,0,2316.5855407714844
25c,DuckDB,4,1760132749.2280202,0,2696.8398094177246
7c,DuckDB,4,1760132743.189205,0,15634.762287139893
