query_id,dbms,iteration,start_time,planning_time,execution_time
5a,DuckDB,8,1760136663.8975365,0,465.38662910461426
2c,DuckDB,8,1760136663.8778126,0,738.1391525268555
5b,DuckDB,8,1760136663.8982248,0,852.5116443634033
1b,DuckDB,8,1760136663.8822885,0,1046.1905002593994
1a,DuckDB,8,1760136663.880023,0,1098.5944271087646
1d,DuckDB,8,1760136663.881025,0,1141.9095993041992
1c,DuckDB,8,1760136663.878313,0,1153.8777351379395
11b,DuckDB,8,1760136665.0405824,0,172.29390144348145
11a,DuckDB,8,1760136665.0400023,0,176.7899990081787
11d,DuckDB,8,1760136665.2195864,0,96.43816947937012
2b,DuckDB,8,1760136663.8768115,0,1473.992109298706
2a,DuckDB,8,1760136663.8788035,0,1475.8038520812988
2d,DuckDB,8,1760136663.8833516,0,1473.2728004455566
4b,DuckDB,8,1760136663.8806581,0,1478.2605171203613
11c,DuckDB,8,1760136665.2149363,0,173.06256294250488
4a,DuckDB,8,1760136663.8282547,0,1592.1332836151123
8d,DuckDB,8,1760136663.906892,0,1984.0004444122314
12a,DuckDB,8,1760136665.3183632,0,632.0102214813232
4c,DuckDB,8,1760136663.899249,0,2066.519021987915
12c,DuckDB,8,1760136665.3660522,0,661.5190505981445
13c,DuckDB,8,1760136665.3902645,0,654.4930934906006
13b,DuckDB,8,1760136665.3614874,0,707.4637413024902
13d,DuckDB,8,1760136665.438198,0,683.1521987915039
14a,DuckDB,8,1760136665.8928545,0,448.5955238342285
14b,DuckDB,8,1760136665.9525514,0,508.5456371307373
12b,DuckDB,8,1760136665.353342,0,1126.561164855957
13a,DuckDB,8,1760136665.3610964,0,1160.7780456542969
14c,DuckDB,8,1760136665.9680603,0,620.5461025238037
15c,DuckDB,8,1760136666.0715737,0,711.5941047668457
7b,DuckDB,8,1760136663.9032924,0,3127.004861831665
6b,DuckDB,8,1760136663.8970678,0,3306.102752685547
6d,DuckDB,8,1760136663.9074519,0,3297.6973056793213
8c,DuckDB,8,1760136663.9063778,0,3313.1611347198486
15d,DuckDB,8,1760136666.123723,0,1126.497507095337
6c,DuckDB,8,1760136663.900545,0,3388.9975547790527
10b,DuckDB,8,1760136664.9487917,0,3023.96559715271
8b,DuckDB,8,1760136663.902492,0,4140.78950881958
8a,DuckDB,8,1760136663.904307,0,4205.831050872803
15b,DuckDB,8,1760136666.0469637,0,2164.112329483032
9b,DuckDB,8,1760136663.9053302,0,4523.704290390015
15a,DuckDB,8,1760136666.0299385,0,2455.7576179504395
19b,DuckDB,8,1760136668.1345515,0,815.9506320953369
10a,DuckDB,8,1760136664.752335,0,4238.511085510254
16a,DuckDB,8,1760136666.3434725,0,2727.7002334594727
21a,DuckDB,8,1760136669.0790558,0,304.75831031799316
9a,DuckDB,8,1760136663.9047937,0,5487.760066986084
19c,DuckDB,8,1760136668.221237,0,1194.305419921875
21b,DuckDB,8,1760136669.3859973,0,62.844276428222656
9c,DuckDB,8,1760136664.36432,0,5087.552070617676
21c,DuckDB,8,1760136669.3948872,0,84.06901359558105
7a,DuckDB,8,1760136663.9019942,0,5602.405548095703
17a,DuckDB,8,1760136666.5905156,0,2920.8202362060547
6f,DuckDB,8,1760136663.8988338,0,5617.938756942749
19d,DuckDB,8,1760136668.489504,0,1136.2943649291992
9d,DuckDB,8,1760136664.7490404,0,4947.259426116943
16b,DuckDB,8,1760136666.4631386,0,3243.619203567505
20b,DuckDB,8,1760136668.952745,0,773.1993198394775
6e,DuckDB,8,1760136663.9000037,0,5839.991807937622
6a,DuckDB,8,1760136663.901481,0,5842.335224151611
16c,DuckDB,8,1760136666.4819822,0,3268.9568996429443
17b,DuckDB,8,1760136666.7928145,0,3056.6179752349854
23c,DuckDB,8,1760136669.5298638,0,354.9799919128418
23a,DuckDB,8,1760136669.524001,0,366.27793312072754
22d,DuckDB,8,1760136669.4899085,0,437.300443649292
23b,DuckDB,8,1760136669.5293827,0,401.0457992553711
22b,DuckDB,8,1760136669.4510555,0,484.41362380981445
27b,DuckDB,8,1760136669.8929224,0,46.66328430175781
27a,DuckDB,8,1760136669.8872228,0,79.67352867126465
22a,DuckDB,8,1760136669.432628,0,556.7100048065186
27c,DuckDB,8,1760136669.9295511,0,84.27929878234863
22c,DuckDB,8,1760136669.4614391,0,591.8285846710205
28c,DuckDB,8,1760136669.9490666,0,630.5294036865234
24a,DuckDB,8,1760136669.628204,0,1023.2810974121094
28b,DuckDB,8,1760136669.9371586,0,718.3353900909424
25b,DuckDB,8,1760136669.728387,0,976.651668548584
18a,DuckDB,8,1760136667.2535768,0,3471.386432647705
18b,DuckDB,8,1760136667.3053417,0,3424.6504306793213
32a,DuckDB,8,1760136670.7411938,0,10.426998138427734
20a,DuckDB,8,1760136668.4970763,0,2326.883554458618
24b,DuckDB,8,1760136669.6989527,0,1136.3601684570312
10c,DuckDB,8,1760136664.9815555,0,5856.015920639038
29b,DuckDB,8,1760136669.9913218,0,862.401008605957
29a,DuckDB,8,1760136669.9689715,0,888.9515399932861
18c,DuckDB,8,1760136667.9804873,0,2951.5349864959717
32b,DuckDB,8,1760136670.7542922,0,180.65857887268066
17c,DuckDB,8,1760136667.0325832,0,3953.9530277252197
33a,DuckDB,8,1760136670.8265188,0,165.0099754333496
33b,DuckDB,8,1760136670.8406675,0,153.3951759338379
3a,DuckDB,8,1760136663.8793502,0,7137.861013412476
33c,DuckDB,8,1760136670.8414104,0,179.03780937194824
3c,DuckDB,8,1760136663.8816903,0,7141.822814941406
5c,DuckDB,8,1760136663.8855362,0,7184.388875961304
3b,DuckDB,8,1760136663.8826704,0,7194.211959838867
17d,DuckDB,8,1760136667.2068505,0,3936.4585876464844
26b,DuckDB,8,1760136669.7640464,0,1403.639554977417
28a,DuckDB,8,1760136669.9327083,0,1315.5324459075928
19a,DuckDB,8,1760136668.1125455,0,3185.488224029541
31b,DuckDB,8,1760136670.7074728,0,624.1054534912109
29c,DuckDB,8,1760136670.016445,0,1323.5046863555908
25a,DuckDB,8,1760136669.7093146,0,1771.8687057495117
26c,DuckDB,8,1760136669.8518136,0,1666.0642623901367
16d,DuckDB,8,1760136666.5252726,0,5111.414670944214
26a,DuckDB,8,1760136669.7461557,0,1922.968864440918
30a,DuckDB,8,1760136670.063392,0,1689.1348361968994
20c,DuckDB,8,1760136669.0378318,0,2732.8717708587646
30b,DuckDB,8,1760136670.581626,0,1237.9846572875977
17e,DuckDB,8,1760136667.2071388,0,4670.472860336304
31a,DuckDB,8,1760136670.6574843,0,1369.5476055145264
17f,DuckDB,8,1760136667.221655,0,4882.893800735474
31c,DuckDB,8,1760136670.7279248,0,1547.4133491516113
25c,DuckDB,8,1760136669.742603,0,2663.017988204956
30c,DuckDB,8,1760136670.6537073,0,1902.787208557129
7c,DuckDB,8,1760136663.9094605,0,13283.58507156372
