query_id,dbms,iteration,start_time,planning_time,execution_time
6c,MySQL,8,1758303705.975297,0,1483.9608669281006
5a,MySQL,8,1758303705.932767,0,3223.9556312561035
1b,MySQL,8,1758303705.8410807,0,3860.935688018799
1d,MySQL,8,1758303705.84438,0,3924.6695041656494
5b,MySQL,8,1758303705.9399006,0,3830.0387859344482
4b,MySQL,8,1758303705.9184263,0,5090.05880355835
11a,MySQL,8,1758303711.0166998,0,212.80670166015625
11b,MySQL,8,1758303711.2338464,0,14.729022979736328
11c,MySQL,8,1758303711.2501092,0,4399.379253387451
11d,MySQL,8,1758303715.6682818,0,919.5013046264648
1a,MySQL,8,1758303705.8402865,0,10931.558609008789
6a,MySQL,8,1758303705.9562328,0,20307.98625946045
6e,MySQL,8,1758303705.9890616,0,20316.61295890808
1c,MySQL,8,1758303705.8408341,0,29975.321054458618
2a,MySQL,8,1758303705.86035,0,35116.79220199585
2d,MySQL,8,1758303705.883024,0,35097.429037094116
2c,MySQL,8,1758303705.8751311,0,35106.97865486145
2b,MySQL,8,1758303705.867335,0,35115.11325836182
13b,MySQL,8,1758303735.8803163,0,6841.658115386963
13c,MySQL,8,1758303741.0477107,0,1676.4402389526367
14b,MySQL,8,1758303741.046892,0,1797.9884147644043
12b,MySQL,8,1758303716.788332,0,35607.23662376404
15b,MySQL,8,1758303742.8470674,0,13985.827922821045
8a,MySQL,8,1758303706.0228937,0,51698.131799697876
8b,MySQL,8,1758303706.0295992,0,51777.99153327942
3b,MySQL,8,1758303705.896672,0,55987.67685890198
16a,MySQL,8,1758303757.7235186,0,4400.939226150513
4c,MySQL,8,1758303705.9254203,0,62861.271142959595
4a,MySQL,8,1758303705.9112558,0,62924.25012588501
8d,MySQL,8,1758303706.0431333,0,63025.27618408203
5c,MySQL,8,1758303705.9493964,0,63270.70665359497
3a,MySQL,8,1758303705.8898258,0,69736.54985427856
6d,MySQL,8,1758303705.9820952,0,70059.47637557983
6b,MySQL,8,1758303705.968259,0,70075.58751106262
12a,MySQL,8,1758303716.5970657,0,59919.66724395752
18b,MySQL,8,1758303776.5188386,0,10490.54479598999
3c,MySQL,8,1758303705.903877,0,83130.38945198059
14a,MySQL,8,1758303741.047828,0,48421.6411113739
12c,MySQL,8,1758303726.3200092,0,64138.8475894928
13a,MySQL,8,1758303726.320245,0,65563.47703933716
14c,MySQL,8,1758303742.7365077,0,51361.2060546875
15a,MySQL,8,1758303742.7367423,0,52296.39029502869
7b,MySQL,8,1758303706.0094428,0,89611.82451248169
9b,MySQL,8,1758303706.0565026,0,89959.81645584106
21a,MySQL,8,1758303796.0189266,0,26.00860595703125
21b,MySQL,8,1758303796.0466316,0,18.30911636352539
21c,MySQL,8,1758303796.066427,0,31.35967254638672
9a,MySQL,8,1758303706.0498855,0,90052.9408454895
9d,MySQL,8,1758303709.7753432,0,86857.25736618042
9c,MySQL,8,1758303707.460902,0,89238.65532875061
22b,MySQL,8,1758303796.1050308,0,3393.8608169555664
23a,MySQL,8,1758303799.5011816,0,1058.6340427398682
23b,MySQL,8,1758303800.562023,0,956.4480781555176
22a,MySQL,8,1758303796.0993419,0,6713.028907775879
23c,MySQL,8,1758303801.5206,0,2547.177314758301
10a,MySQL,8,1758303709.8108716,0,94880.4919719696
10b,MySQL,8,1758303709.8112154,0,94882.35783576965
18a,MySQL,8,1758303776.0455241,0,31871.477365493774
25b,MySQL,8,1758303804.6961477,0,4273.254156112671
22d,MySQL,8,1758303796.7018018,0,13523.346185684204
8c,MySQL,8,1758303706.0366938,0,106131.53433799744
26b,MySQL,8,1758303810.2273815,0,3876.2214183807373
27a,MySQL,8,1758303814.1060748,0,25.578022003173828
27b,MySQL,8,1758303814.133257,0,10.256290435791016
27c,MySQL,8,1758303814.1449,0,37.355899810791016
13d,MySQL,8,1758303741.047286,0,76522.1734046936
16d,MySQL,8,1758303762.126529,0,56064.53514099121
28b,MySQL,8,1758303817.5726366,0,1613.9369010925293
7a,MySQL,8,1758303706.0024357,0,114523.29015731812
28a,MySQL,8,1758303814.184207,0,7996.877670288086
22c,MySQL,8,1758303796.635785,0,30035.94470024109
28c,MySQL,8,1758303818.193378,0,12183.56466293335
30b,MySQL,8,1758303830.379373,0,142.2734260559082
30a,MySQL,8,1758303826.6749265,0,3907.0587158203125
26a,MySQL,8,1758303808.971541,0,22667.147874832153
31b,MySQL,8,1758303831.6409276,0,149.54590797424316
31a,MySQL,8,1758303830.584147,0,2760.9341144561768
32a,MySQL,8,1758303833.3473494,0,2193.413734436035
19b,MySQL,8,1758303789.4716966,0,46728.09863090515
33a,MySQL,8,1758303836.202708,0,21.681547164916992
33b,MySQL,8,1758303836.2264304,0,18.13030242919922
33c,MySQL,8,1758303836.247428,0,40.984392166137695
19a,MySQL,8,1758303789.0365858,0,47981.25410079956
32b,MySQL,8,1758303835.543265,0,2197.516441345215
20b,MySQL,8,1758303795.035601,0,44239.01462554932
20c,MySQL,8,1758303795.6236112,0,46299.171924591064
26c,MySQL,8,1758303812.171292,0,29796.55623435974
19c,MySQL,8,1758303790.4610515,0,52565.88935852051
15c,MySQL,8,1758303752.3996365,0,91582.93199539185
30c,MySQL,8,1758303830.5238516,0,17121.97232246399
31c,MySQL,8,1758303831.7926276,0,16386.099815368652
6f,MySQL,8,1758303705.9957154,0,144653.57542037964
20a,MySQL,8,1758303794.099876,0,59285.74848175049
17b,MySQL,8,1758303768.8379233,0,84612.60890960693
17d,MySQL,8,1758303769.2224615,0,84230.14307022095
17c,MySQL,8,1758303769.070593,0,84383.49175453186
24b,MySQL,8,1758303804.070319,0,50872.57361412048
24a,MySQL,8,1758303802.8154507,0,52657.503604888916
25a,MySQL,8,1758303804.6956618,0,50791.65554046631
17f,MySQL,8,1758303776.0456545,0,81397.59826660156
17e,MySQL,8,1758303775.6289296,0,83982.08665847778
17a,MySQL,8,1758303768.7907329,0,91574.97429847717
15d,MySQL,8,1758303756.8367438,0,105799.98993873596
29a,MySQL,8,1758303819.1892376,0,47341.352701187134
29b,MySQL,8,1758303820.5284526,0,46043.158531188965
16c,MySQL,8,1758303761.8877175,0,108479.95090484619
16b,MySQL,8,1758303757.8098629,0,112831.22611045837
19d,MySQL,8,1758303791.8859239,0,79219.12908554077
7c,MySQL,8,1758303706.01635,0,165384.71746444702
18c,MySQL,8,1758303787.012148,0,90189.91303443909
25c,MySQL,8,1758303807.928566,0,71560.08052825928
29c,MySQL,8,1758303822.184282,0,67019.58656311035
