query_id,dbms,iteration,start_time,planning_time,execution_time
6c,PostgreSQL,7,1758119490.192699,205.89,4128.095
1b,PostgreSQL,7,1758119490.094284,207.048,5336.836
1d,PostgreSQL,7,1758119490.101747,206.994,5337.214
5b,PostgreSQL,7,1758119490.1721678,208.016,5636.201
5a,PostgreSQL,7,1758119490.1663842,206.617,5638.417
1c,PostgreSQL,7,1758119490.096208,208.276,11099.387
1a,PostgreSQL,7,1758119490.094348,208.308,11131.873
11b,PostgreSQL,7,1758119501.6267376,46.125,770.232
11a,PostgreSQL,7,1758119501.598102,76.029,3128.413
8b,PostgreSQL,7,1758119490.240669,214.491,27919.604
4c,PostgreSQL,7,1758119490.1626034,206.817,42112.941
4a,PostgreSQL,7,1758119490.1475778,208.071,42111.559
4b,PostgreSQL,7,1758119490.1570961,208.263,42111.368
12b,PostgreSQL,7,1758119532.6157842,26.626,1073.963
10b,PostgreSQL,7,1758119497.9124246,11.473,43134.519
13c,PostgreSQL,7,1758119541.1014678,34.073,2054.572
10c,PostgreSQL,7,1758119497.9123886,11.375,45787.536
5c,PostgreSQL,7,1758119490.1771243,206.866,54075.34
2a,PostgreSQL,7,1758119490.121311,207.14,55038.172
2c,PostgreSQL,7,1758119490.1213958,207.151,55038.118
2b,PostgreSQL,7,1758119490.1214626,207.131,55038.15
2d,PostgreSQL,7,1758119490.1257303,208.481,55058.329
13b,PostgreSQL,7,1758119533.7642553,42.498,11913.54
6a,PostgreSQL,7,1758119490.1819823,207.491,56191.388
6e,PostgreSQL,7,1758119490.2090375,208.589,56203.022
8d,PostgreSQL,7,1758119490.2505245,223.756,56884.456
8c,PostgreSQL,7,1758119490.2456253,217.166,57205.923
16a,PostgreSQL,7,1758119546.6845305,29.787,1364.344
10a,PostgreSQL,7,1758119497.9124856,11.323,50590.447
9b,PostgreSQL,7,1758119490.2605326,278.934,59850.206
9a,PostgreSQL,7,1758119490.2554183,281.608,59847.579
8a,PostgreSQL,7,1758119490.2354524,215.882,60551.24
15b,PostgreSQL,7,1758119545.535999,290.937,8378.339
7b,PostgreSQL,7,1758119490.2256136,300.607,68768.622
16d,PostgreSQL,7,1758119547.7303622,24.652,18805.827
16c,PostgreSQL,7,1758119547.4389462,25.984,19133.99
12a,PostgreSQL,7,1758119518.472578,26.113,55545.58
