query_id,dbms,iteration,start_time,planning_time,execution_time
1b,PostgreSQL,1,1760414750.5729003,0,4813.712596893311
1d,PostgreSQL,1,1760414750.5730963,0,4815.173387527466
5b,PostgreSQL,1,1760414750.5991592,0,6345.797061920166
5a,PostgreSQL,1,1760414750.5971928,0,6351.996183395386
6c,PostgreSQL,1,1760414750.6141016,0,6460.004091262817
1c,PostgreSQL,1,1760414750.57302,0,18476.733684539795
1a,PostgreSQL,1,1760414750.5730455,0,18623.56662750244
11b,PostgreSQL,1,1760414769.2010117,0,817.1262741088867
11a,PostgreSQL,1,1760414769.1209943,0,2442.136287689209
8b,PostgreSQL,1,1760414750.6453624,0,40820.69230079651
4b,PostgreSQL,1,1760414750.5972152,0,49574.71036911011
12b,PostgreSQL,1,1760414800.1899474,0,1399.4722366333008
4c,PostgreSQL,1,1760414750.5972366,0,51002.636671066284
4a,PostgreSQL,1,1760414750.5838702,0,51020.87306976318
2a,PostgreSQL,1,1760414750.5735545,0,51524.906635284424
2c,PostgreSQL,1,1760414750.5733423,0,51527.12345123291
2b,PostgreSQL,1,1760414750.5736804,0,51528.32913398743
2d,PostgreSQL,1,1760414750.573601,0,53991.28317832947
9a,PostgreSQL,1,1760414750.6561751,0,65549.83878135681
9c,PostgreSQL,1,1760414755.7080061,0,63791.314363479614
11c,PostgreSQL,1,1760414770.0239534,0,50937.09468841553
11d,PostgreSQL,1,1760414771.583958,0,49381.92558288574
6a,PostgreSQL,1,1760414750.6063495,0,70677.71577835083
6e,PostgreSQL,1,1760414750.622282,0,70669.46506500244
5c,PostgreSQL,1,1760414750.6026292,0,71957.27872848511
16a,PostgreSQL,1,1760414821.2977207,0,1887.7806663513184
8c,PostgreSQL,1,1760414750.6488416,0,77863.86370658875
8d,PostgreSQL,1,1760414750.652602,0,77864.58992958069
10b,PostgreSQL,1,1760414756.961003,0,72823.73118400574
6b,PostgreSQL,1,1760414750.6101532,0,79979.49695587158
10c,PostgreSQL,1,1760414757.07627,0,73706.59804344177
15b,PostgreSQL,1,1760414821.018916,0,10699.277400970459
14b,PostgreSQL,1,1760414804.5729058,0,27468.934059143066
10a,PostgreSQL,1,1760414756.9609134,0,79763.94152641296
8a,PostgreSQL,1,1760414750.6417637,0,88173.31957817078
7b,PostgreSQL,1,1760414750.6340728,0,90097.58734703064
16d,PostgreSQL,1,1760414828.5891716,0,14055.649042129517
16c,PostgreSQL,1,1760414823.229221,0,19436.394214630127
19b,PostgreSQL,1,1760414842.6751137,0,1109.9505424499512
19a,PostgreSQL,1,1760414842.675045,0,4753.3159255981445
19c,PostgreSQL,1,1760414843.8178945,0,11120.27907371521
9b,PostgreSQL,1,1760414750.6598387,0,104297.06501960754
6f,PostgreSQL,1,1760414750.626081,0,105928.81441116333
6d,PostgreSQL,1,1760414750.6180828,0,105959.30504798889
21a,PostgreSQL,1,1760414856.5894516,0,731.6446304321289
21b,PostgreSQL,1,1760414857.338061,0,415.46010971069336
21c,PostgreSQL,1,1760414857.7666192,0,259.0761184692383
17c,PostgreSQL,1,1760414830.6120462,0,29683.88032913208
17d,PostgreSQL,1,1760414830.8692827,0,29469.179153442383
17b,PostgreSQL,1,1760414829.8177722,0,30522.271871566772
3b,PostgreSQL,1,1760414750.5758224,0,113850.71468353271
15d,PostgreSQL,1,1760414821.2863684,0,43800.56357383728
22b,PostgreSQL,1,1760414860.3152356,0,7263.6072635650635
12a,PostgreSQL,1,1760414791.5956879,0,77376.19352340698
18b,PostgreSQL,1,1760414838.8235703,0,30193.007469177246
15a,PostgreSQL,1,1760414819.5159347,0,49539.57223892212
12c,PostgreSQL,1,1760414801.6013012,0,67506.76798820496
23b,PostgreSQL,1,1760414865.1038752,0,4039.726972579956
23a,PostgreSQL,1,1760414864.4352832,0,4728.76238822937
3a,PostgreSQL,1,1760414750.5749686,0,118695.20306587219
3c,PostgreSQL,1,1760414750.5792108,0,118798.06876182556
14a,PostgreSQL,1,1760414802.1046515,0,68161.01121902466
17f,PostgreSQL,1,1760414832.0864677,0,38375.07748603821
27a,PostgreSQL,1,1760414870.2678146,0,407.49502182006836
22a,PostgreSQL,1,1760414858.027807,0,12667.263269424438
27b,PostgreSQL,1,1760414870.4636974,0,443.9384937286377
27c,PostgreSQL,1,1760414870.677467,0,490.3409481048584
23c,PostgreSQL,1,1760414867.5953255,0,3846.6365337371826
14c,PostgreSQL,1,1760414816.2187164,0,55235.66436767578
15c,PostgreSQL,1,1760414821.0189555,0,50511.21473312378
24b,PostgreSQL,1,1760414869.0469065,0,2490.114212036133
18a,PostgreSQL,1,1760414836.7549717,0,34823.365688323975
18c,PostgreSQL,1,1760414840.7606866,0,30819.226026535034
13a,PostgreSQL,1,1760414801.6071482,0,70075.27732849121
30b,PostgreSQL,1,1760414871.5822837,0,791.8238639831543
24a,PostgreSQL,1,1760414869.0068192,0,3810.4913234710693
22d,PostgreSQL,1,1760414860.4068851,0,14759.821653366089
32a,PostgreSQL,1,1760414875.1729677,0,51.61452293395996
32b,PostgreSQL,1,1760414875.2267394,0,468.8608646392822
29c,PostgreSQL,1,1760414871.5333679,0,4278.620004653931
33a,PostgreSQL,1,1760414875.6983206,0,364.703893661499
33b,PostgreSQL,1,1760414875.8224647,0,410.5103015899658
33c,PostgreSQL,1,1760414876.0651627,0,409.6696376800537
22c,PostgreSQL,1,1760414860.4068358,0,16665.22741317749
25b,PostgreSQL,1,1760414869.1102495,0,8939.849376678467
7a,PostgreSQL,1,1760414750.6298254,0,127745.42999267578
31b,PostgreSQL,1,1760414872.3763404,0,7027.442216873169
30a,PostgreSQL,1,1760414871.539466,0,8165.370225906372
9d,PostgreSQL,1,1760414755.7083442,0,124529.64210510254
25a,PostgreSQL,1,1760414869.0578778,0,12365.170955657959
17a,PostgreSQL,1,1760414828.5893152,0,53616.86825752258
13b,PostgreSQL,1,1760414801.6071744,0,80673.56419563293
13d,PostgreSQL,1,1760414802.104117,0,80398.84996414185
13c,PostgreSQL,1,1760414802.1040897,0,80737.42747306824
17e,PostgreSQL,1,1760414831.7263546,0,51224.679946899414
29a,PostgreSQL,1,1760414871.4441965,0,11830.086708068848
28c,PostgreSQL,1,1760414871.1700544,0,13661.651134490967
30c,PostgreSQL,1,1760414871.5822384,0,14217.63014793396
26a,PostgreSQL,1,1760414869.1659858,0,19068.440437316895
31a,PostgreSQL,1,1760414871.684601,0,16939.506769180298
28b,PostgreSQL,1,1760414870.9097264,0,19094.53821182251
25c,PostgreSQL,1,1760414869.1458476,0,21965.943813323975
28a,PostgreSQL,1,1760414870.6980846,0,24503.873586654663
29b,PostgreSQL,1,1760414871.4566407,0,26223.655462265015
