query_id,dbms,iteration,start_time,planning_time,execution_time
1d,PostgreSQL,3,1760549085.9773211,0,4320.065021514893
1b,PostgreSQL,3,1760549085.9775279,0,4321.4569091796875
6c,PostgreSQL,3,1760549086.0636694,0,5597.135305404663
5b,PostgreSQL,3,1760549086.0418453,0,6566.608905792236
5a,PostgreSQL,3,1760549086.036545,0,6575.295686721802
1a,PostgreSQL,3,1760549085.9828706,0,17291.718244552612
1c,PostgreSQL,3,1760549085.977373,0,17303.39002609253
11b,PostgreSQL,3,1760549103.3485594,0,1520.5729007720947
11a,PostgreSQL,3,1760549103.3484263,0,2586.0161781311035
8b,PostgreSQL,3,1760549086.1074219,0,26828.30572128296
4c,PostgreSQL,3,1760549086.0302603,0,41894.82092857361
4a,PostgreSQL,3,1760549086.0187821,0,41912.24455833435
4b,PostgreSQL,3,1760549086.0251837,0,41907.53722190857
12b,PostgreSQL,3,1760549127.9833574,0,2116.4417266845703
2b,PostgreSQL,3,1760549085.9827363,0,51050.51827430725
2a,PostgreSQL,3,1760549085.9826853,0,51076.45606994629
2d,PostgreSQL,3,1760549085.9966638,0,51074.21827316284
2c,PostgreSQL,3,1760549085.9877708,0,51089.60843086243
8d,PostgreSQL,3,1760549086.1186204,0,66744.3482875824
8c,PostgreSQL,3,1760549086.1130335,0,66754.75835800171
10c,PostgreSQL,3,1760549092.6336262,0,60768.97215843201
5c,PostgreSQL,3,1760549086.0462725,0,67900.48694610596
10b,PostgreSQL,3,1760549092.6335418,0,61891.512393951416
6e,PostgreSQL,3,1760549086.0749528,0,68626.62124633789
6a,PostgreSQL,3,1760549086.0525072,0,68650.79879760742
9a,PostgreSQL,3,1760549086.1240115,0,69924.7932434082
16a,PostgreSQL,3,1760549154.7060921,0,1574.5799541473389
14b,PostgreSQL,3,1760549137.1920705,0,24614.4437789917
11c,PostgreSQL,3,1760549104.8910227,0,57043.708086013794
11d,PostgreSQL,3,1760549105.9596696,0,55977.312088012695
15b,PostgreSQL,3,1760549153.4049358,0,10037.783861160278
6b,PostgreSQL,3,1760549086.0579069,0,79129.6660900116
8a,PostgreSQL,3,1760549086.1015327,0,81586.79986000061
