query_id,dbms,iteration,start_time,planning_time,execution_time
5a,PostgreSQL,6,1760255374.9869874,0,5536.109924316406
2c,PostgreSQL,6,1760255374.9649997,0,22666.080236434937
9a,PostgreSQL,6,1760255375.0434716,0,29915.765523910522
1c,PostgreSQL,6,1760255374.9687808,0,46062.3517036438
5b,PostgreSQL,6,1760255374.9904802,0,46117.236375808716
9c,PostgreSQL,6,1760255380.524789,0,42370.62978744507
1b,PostgreSQL,6,1760255374.9684496,0,48986.14978790283
11a,PostgreSQL,6,1760255422.927328,0,1113.4653091430664
11b,PostgreSQL,6,1760255423.9958882,0,97.00274467468262
1d,PostgreSQL,6,1760255374.9687214,0,49154.08396720886
1a,PostgreSQL,6,1760255374.9687567,0,49965.360164642334
2b,PostgreSQL,6,1760255374.965052,0,50154.107332229614
2a,PostgreSQL,6,1760255374.9705603,0,50153.62238883972
2d,PostgreSQL,6,1760255374.9773853,0,50249.85337257385
10b,PostgreSQL,6,1760255421.0590842,0,5019.272327423096
11d,PostgreSQL,6,1760255424.0950198,0,2009.5877647399902
10c,PostgreSQL,6,1760255421.1219175,0,5088.540315628052
5c,PostgreSQL,6,1760255374.9940073,0,52860.8660697937
7b,PostgreSQL,6,1760255375.0220072,0,55316.14398956299
3a,PostgreSQL,6,1760255374.9775124,0,60324.51677322388
9b,PostgreSQL,6,1760255375.0469909,0,61040.91286659241
8a,PostgreSQL,6,1760255375.045314,0,61196.44379615784
4b,PostgreSQL,6,1760255374.9799497,0,61349.730014801025
3b,PostgreSQL,6,1760255374.9772186,0,61396.90279960632
3c,PostgreSQL,6,1760255374.977536,0,62019.564151763916
15b,PostgreSQL,6,1760255436.1032228,0,1604.6602725982666
16a,PostgreSQL,6,1760255436.3864532,0,1750.471591949463
15a,PostgreSQL,6,1760255435.3105814,0,3410.1858139038086
12a,PostgreSQL,6,1760255424.1249602,0,15383.28742980957
8d,PostgreSQL,6,1760255375.0399437,0,66254.14562225342
15c,PostgreSQL,6,1760255436.3761148,0,5429.015398025513
16d,PostgreSQL,6,1760255438.1675968,0,7354.715585708618
16c,PostgreSQL,6,1760255437.773378,0,7945.07622718811
15d,PostgreSQL,6,1760255436.3761482,0,9464.134931564331
12c,PostgreSQL,6,1760255425.301324,0,20618.19076538086
18b,PostgreSQL,6,1760255445.9217434,0,892.3819065093994
4a,PostgreSQL,6,1760255374.9774873,0,79678.92169952393
14b,PostgreSQL,6,1760255427.858961,0,28902.23503112793
19b,PostgreSQL,6,1760255456.7660353,0,1142.8062915802002
17c,PostgreSQL,6,1760255441.304747,0,21460.413455963135
17b,PostgreSQL,6,1760255439.5104399,0,23643.93377304077
17d,PostgreSQL,6,1760255442.072136,0,21600.82745552063
11c,PostgreSQL,6,1760255424.0429564,0,40499.31192398071
4c,PostgreSQL,6,1760255374.9833615,0,97445.65868377686
7c,PostgreSQL,6,1760255375.02548,0,98630.93972206116
21a,PostgreSQL,6,1760255472.6080089,0,1452.641487121582
21b,PostgreSQL,6,1760255473.6764638,0,536.1149311065674
21c,PostgreSQL,6,1760255474.062992,0,300.2209663391113
14a,PostgreSQL,6,1760255426.2127619,0,49298.21014404297
17f,PostgreSQL,6,1760255445.7291458,0,36514.03856277466
18c,PostgreSQL,6,1760255446.8295398,0,37035.86935997009
23a,PostgreSQL,6,1760255483.8714178,0,1372.2145557403564
17a,PostgreSQL,6,1760255438.722889,0,55351.73583030701
9d,PostgreSQL,6,1760255397.8892152,0,97422.69849777222
23c,PostgreSQL,6,1760255494.1090086,0,1646.5952396392822
10a,PostgreSQL,6,1760255405.0017374,0,91362.80345916748
14c,PostgreSQL,6,1760255430.3561208,0,69624.44567680359
17e,PostgreSQL,6,1760255445.5392213,0,57419.45576667786
12b,PostgreSQL,6,1760255424.940099,0,80695.56903839111
13b,PostgreSQL,6,1760255425.3022184,0,84648.82612228394
13c,PostgreSQL,6,1760255426.1097205,0,87132.9870223999
13a,PostgreSQL,6,1760255425.3022728,0,88637.2880935669
27a,PostgreSQL,6,1760255513.9428494,0,1056.7717552185059
27b,PostgreSQL,6,1760255515.0019958,0,703.1576633453369
27c,PostgreSQL,6,1760255515.7083137,0,542.003870010376
16b,PostgreSQL,6,1760255437.0001936,0,87675.1024723053
22b,PostgreSQL,6,1760255474.365636,0,51275.5172252655
13d,PostgreSQL,6,1760255426.1096945,0,100958.89663696289
29a,PostgreSQL,6,1760255527.1028547,0,6000.48565864563
22a,PostgreSQL,6,1760255474.2148805,0,59807.177782058716
22c,PostgreSQL,6,1760255475.5132244,0,59970.25179862976
18a,PostgreSQL,6,1760255445.8534281,0,92102.41150856018
30b,PostgreSQL,6,1760255537.9582946,0,1518.195390701294
29c,PostgreSQL,6,1760255534.0574121,0,5806.473731994629
8c,PostgreSQL,6,1760255375.045378,0,165790.9951210022
30a,PostgreSQL,6,1760255535.485747,0,7461.018323898315
25a,PostgreSQL,6,1760255496.3676667,0,61027.12869644165
25b,PostgreSQL,6,1760255500.1632335,0,57333.903789520264
24a,PostgreSQL,6,1760255495.3152003,0,63023.76437187195
19a,PostgreSQL,6,1760255454.6648088,0,103780.42340278625
33a,PostgreSQL,6,1760255558.344059,0,415.2646064758301
33b,PostgreSQL,6,1760255558.447619,0,420.8788871765137
33c,PostgreSQL,6,1760255558.7658188,0,483.44898223876953
30c,PostgreSQL,6,1760255539.4787962,0,24551.528692245483
23b,PostgreSQL,6,1760255485.2828152,0,80114.14790153503
29b,PostgreSQL,6,1760255533.1405892,0,36769.031047821045
28b,PostgreSQL,6,1760255524.678564,0,46837.923526763916
25c,PostgreSQL,6,1760255502.9970305,0,70195.47915458679
28a,PostgreSQL,6,1760255516.2527204,0,58778.50365638733
24b,PostgreSQL,6,1760255495.7589202,0,80206.2599658966
