query_id,dbms,iteration,start_time,planning_time,execution_time
1b,PostgreSQL,1,1768794500.3813791,0,5057.089805603027
1d,PostgreSQL,1,1768794500.381539,0,5057.51371383667
6c,PostgreSQL,1,1768794500.40611,0,5800.450325012207
5b,PostgreSQL,1,1768794500.3913538,0,6447.734594345093
5a,PostgreSQL,1,1768794500.3874867,0,6451.955556869507
1c,PostgreSQL,1,1768794500.3816109,0,11875.479936599731
1a,PostgreSQL,1,1768794500.381559,0,13941.797256469728
11b,PostgreSQL,1,1768794514.3692985,0,70.07479667663574
11a,PostgreSQL,1,1768794512.2948992,0,3020.1210975646973
8b,PostgreSQL,1,1768794500.4368649,0,29350.853204727173
4c,PostgreSQL,1,1768794500.3874588,0,45695.2850818634
4a,PostgreSQL,1,1768794500.3871324,0,45696.42734527588
4b,PostgreSQL,1,1768794500.3872535,0,45696.70915603638
12b,PostgreSQL,1,1768794546.1239414,0,1458.2374095916748
2c,PostgreSQL,1,1768794500.3779364,0,58674.3221282959
2a,PostgreSQL,1,1768794500.3782053,0,58674.58486557007
2b,PostgreSQL,1,1768794500.3781762,0,58674.668073654175
2d,PostgreSQL,1,1768794500.3777888,0,58676.77879333496
9a,PostgreSQL,1,1768794500.4499094,0,63337.72015571594
8d,PostgreSQL,1,1768794500.4457614,0,64690.38724899292
6e,PostgreSQL,1,1768794500.4138565,0,64726.22561454773
6a,PostgreSQL,1,1768794500.3984654,0,64741.68276786804
10c,PostgreSQL,1,1768794506.8605683,0,58923.14410209656
5c,PostgreSQL,1,1768794500.3948703,0,65990.11898040771
10b,PostgreSQL,1,1768794506.860547,0,60303.03740501404
9c,PostgreSQL,1,1768794505.4965496,0,62895.31707763672
16a,PostgreSQL,1,1768794566.3895853,0,3038.670301437378
15b,PostgreSQL,1,1768794565.2443163,0,9940.788507461548
11d,PostgreSQL,1,1768794515.3195934,0,64817.80529022217
11c,PostgreSQL,1,1768794514.449206,0,65692.2378540039
6b,PostgreSQL,1,1768794500.402149,0,82014.0483379364
8a,PostgreSQL,1,1768794500.4327564,0,82229.47120666504
14b,PostgreSQL,1,1768794559.1127985,0,23927.70099639893
7b,PostgreSQL,1,1768794500.4259305,0,83410.46810150146
10a,PostgreSQL,1,1768794506.2375636,0,77828.12428474426
8c,PostgreSQL,1,1768794500.440921,0,85592.22507476807
16d,PostgreSQL,1,1768794569.4442835,0,21954.18262481689
16c,PostgreSQL,1,1768794568.467152,0,22940.727949142456
19b,PostgreSQL,1,1768794591.4276357,0,1143.687725067139
19a,PostgreSQL,1,1768794591.4275675,0,1399.9242782592771
19c,PostgreSQL,1,1768794592.6162105,0,4171.523571014404
3b,PostgreSQL,1,1768794500.3787246,0,97397.3240852356
18b,PostgreSQL,1,1768794584.090311,0,13753.902673721312
12a,PostgreSQL,1,1768794529.8036098,0,68085.7527256012
3a,PostgreSQL,1,1768794500.3873155,0,97539.14332389832
13a,PostgreSQL,1,1768794546.124051,0,51824.30362701416
12c,PostgreSQL,1,1768794546.1239655,0,51833.56976509094
15a,PostgreSQL,1,1768794565.2441838,0,32748.32582473755
13b,PostgreSQL,1,1768794547.5981166,0,50423.44379425049
15c,PostgreSQL,1,1768794565.2443633,0,32796.112060546875
3c,PostgreSQL,1,1768794500.387412,0,97783.56719017027
21b,PostgreSQL,1,1768794597.940503,0,708.1320285797119
21a,PostgreSQL,1,1768794597.9021192,0,771.5015411376953
21c,PostgreSQL,1,1768794597.9532225,0,1292.2394275665283
15d,PostgreSQL,1,1768794565.7884028,0,33707.92508125305
24b,PostgreSQL,1,1768794599.5033784,0,1784.44242477417
9b,PostgreSQL,1,1768794500.4534996,0,101618.64805221558
18a,PostgreSQL,1,1768794583.9360156,0,18236.94944381714
24a,PostgreSQL,1,1768794599.2522936,0,3134.8893642425537
14a,PostgreSQL,1,1768794559.112836,0,43424.39651489258
14c,PostgreSQL,1,1768794563.8384054,0,39230.22222518921
18c,PostgreSQL,1,1768794586.0789046,0,17001.067876815796
6d,PostgreSQL,1,1768794500.4102874,0,105309.42726135254
6f,PostgreSQL,1,1768794500.4176848,0,105382.56096839903
17d,PostgreSQL,1,1768794582.4445088,0,25977.153062820435
17c,PostgreSQL,1,1768794580.1530862,0,28596.62652015686
17b,PostgreSQL,1,1768794580.1531289,0,28688.43460083008
13c,PostgreSQL,1,1768794559.1126451,0,49919.73280906677
13d,PostgreSQL,1,1768794559.112911,0,51244.20523643494
23b,PostgreSQL,1,1768794598.6556182,0,12044.028759002686
7a,PostgreSQL,1,1768794500.4213414,0,111668.67518424988
25a,PostgreSQL,1,1768794601.3138778,0,13927.692651748655
25b,PostgreSQL,1,1768794602.079622,0,13220.783948898315
30b,PostgreSQL,1,1768794615.257282,0,700.6864547729492
29a,PostgreSQL,1,1768794609.0371704,0,8976.045846939087
17f,PostgreSQL,1,1768794583.0450723,0,37449.45955276489
31b,PostgreSQL,1,1768794618.0287745,0,3039.541482925415
32a,PostgreSQL,1,1768794621.0732534,0,185.821533203125
32b,PostgreSQL,1,1768794621.2663283,0,598.9904403686523
22b,PostgreSQL,1,1768794597.9978456,0,25612.31279373169
9d,PostgreSQL,1,1768794505.5705278,0,119319.2012310028
26a,PostgreSQL,1,1768794602.3921704,0,22579.500675201416
25c,PostgreSQL,1,1768794602.177764,0,26226.01222991944
22a,PostgreSQL,1,1768794597.962545,0,32306.452751159668
17a,PostgreSQL,1,1768794575.2729487,0,61078.174352645874
17e,PostgreSQL,1,1768794582.6788282,0,54923.75636100769
26b,PostgreSQL,1,1768794602.5433948,0,37038.42377662659
28a,PostgreSQL,1,1768794608.4398336,0,33719.65312957764
22c,PostgreSQL,1,1768794598.0265615,0,44550.3032207489
29b,PostgreSQL,1,1768794610.3999958,0,33977.88166999817
31a,PostgreSQL,1,1768794615.9773223,0,30896.71277999878
31c,PostgreSQL,1,1768794620.514675,0,28763.85951042176
7c,PostgreSQL,1,1768794500.4290855,0,154006.99734687805
22d,PostgreSQL,1,1768794598.045045,0,59273.7889289856
20a,PostgreSQL,1,1768794596.8220816,0,61628.97658348084
20b,PostgreSQL,1,1768794597.7878077,0,61000.62823295593
16b,PostgreSQL,1,1768794567.1871352,0,99185.11724472046
19d,PostgreSQL,1,1768794592.8677018,0,179709.38563346863
20c,PostgreSQL,1,1768794597.8564024,0,307552.91223526
30a,PostgreSQL,1,1768794612.1143963,0,295108.99543762207
26c,PostgreSQL,1,1768794603.0855978,0,322333.6663246155
30c,PostgreSQL,1,1768794615.3145063,0,598676.1484146118
