query_id,dbms,iteration,start_time,planning_time,execution_time
6c,PostgreSQL,3,1768812902.123983,0,4981.62317276001
1d,PostgreSQL,3,1768812902.083517,0,5111.114263534546
1b,PostgreSQL,3,1768812902.0833526,0,5111.363887786865
5a,PostgreSQL,3,1768812902.1089635,0,5755.312204360962
5b,PostgreSQL,3,1768812902.1088886,0,5755.776405334473
1c,PostgreSQL,3,1768812902.0833836,0,13520.432472229004
1a,PostgreSQL,3,1768812902.0839045,0,15342.099905014038
11b,PostgreSQL,3,1768812917.47967,0,210.0667953491211
11a,PostgreSQL,3,1768812915.6510334,0,2694.780111312866
11d,PostgreSQL,3,1768812918.3505614,0,863.8110160827637
11c,PostgreSQL,3,1768812917.7367935,0,3551.0873794555664
12b,PostgreSQL,3,1768812921.342755,0,2400.520801544189
8b,PostgreSQL,3,1768812902.1542509,0,26375.972032547
4c,PostgreSQL,3,1768812902.1090007,0,48962.37897872925
4a,PostgreSQL,3,1768812902.103873,0,48970.6392288208
4b,PostgreSQL,3,1768812902.1091013,0,48966.280698776245
13c,PostgreSQL,3,1768812951.0922225,0,6729.637861251831
2c,PostgreSQL,3,1768812902.0833209,0,58643.00704002381
2d,PostgreSQL,3,1768812902.0838344,0,58642.86136627197
2a,PostgreSQL,3,1768812902.0889628,0,58637.79759407044
2b,PostgreSQL,3,1768812902.0837748,0,58643.25666427612
9a,PostgreSQL,3,1768812902.1656337,0,60895.7793712616
10c,PostgreSQL,3,1768812907.902341,0,55438.061237335205
6a,PostgreSQL,3,1768812902.11562,0,61261.07096672058
6e,PostgreSQL,3,1768812902.1318593,0,61250.15044212341
8d,PostgreSQL,3,1768812902.162283,0,61508.85057449341
10b,PostgreSQL,3,1768812907.9023693,0,57421.03433609009
16a,PostgreSQL,3,1768812963.3856611,0,2677.772283554077
13b,PostgreSQL,3,1768812951.092072,0,15356.570482254028
9c,PostgreSQL,3,1768812907.251528,0,59478.41429710388
5c,PostgreSQL,3,1768812902.1119,0,65208.62865447998
15b,PostgreSQL,3,1768812960.7497804,0,8411.05842590332
8a,PostgreSQL,3,1768812902.1505494,0,76237.42771148682
10a,PostgreSQL,3,1768812907.302229,0,72216.7227268219
7b,PostgreSQL,3,1768812902.142687,0,77859.19213294983
8c,PostgreSQL,3,1768812902.157909,0,81638.71908187866
16c,PostgreSQL,3,1768812963.6760538,0,23902.611255645752
