query_id,dbms,iteration,start_time,planning_time,execution_time
6c,PostgreSQL,3,1774772016.1643696,0,123.25119972229004
6e,PostgreSQL,3,1774772016.1761975,0,156.65245056152344
6a,PostgreSQL,3,1774772016.1543329,0,223.4365940093994
4a,PostgreSQL,3,1774772016.123499,0,470.7245826721192
1b,PostgreSQL,3,1774772016.086327,0,604.2435169219971
1a,PostgreSQL,3,1774772016.0803788,0,626.4584064483643
1d,PostgreSQL,3,1774772016.098212,0,624.0019798278809
1c,PostgreSQL,3,1774772016.0928488,0,652.716875076294
4b,PostgreSQL,3,1774772016.128203,0,753.1728744506836
3b,PostgreSQL,3,1774772016.1135998,0,942.519187927246
8b,PostgreSQL,3,1774772016.21164,0,914.7448539733888
4c,PostgreSQL,3,1774772016.1339138,0,1145.965337753296
12b,PostgreSQL,3,1774772016.7147007,0,580.1060199737549
3a,PostgreSQL,3,1774772016.1086226,0,1438.5206699371338
6b,PostgreSQL,3,1774772016.1594222,0,1548.163890838623
15b,PostgreSQL,3,1774772017.7257202,0,232.63192176818848
7b,PostgreSQL,3,1774772016.1899111,0,1925.6787300109863
11d,PostgreSQL,3,1774772016.48515,0,1928.053855895996
14b,PostgreSQL,3,1774772017.2869413,0,1139.3425464630127
3c,PostgreSQL,3,1774772016.1184833,0,2402.726411819458
11c,PostgreSQL,3,1774772016.453194,0,2492.02036857605
14a,PostgreSQL,3,1774772017.133221,0,2257.911443710327
15a,PostgreSQL,3,1774772017.5538547,0,1851.6709804534912
12a,PostgreSQL,3,1774772016.6075878,0,3006.6611766815186
16a,PostgreSQL,3,1774772018.4200728,0,1359.2097759246826
8a,PostgreSQL,3,1774772016.204568,0,4418.320417404175
10b,PostgreSQL,3,1774772016.385839,0,4389.086008071899
10a,PostgreSQL,3,1774772016.3427684,0,5113.2566928863525
15d,PostgreSQL,3,1774772018.1220083,0,3438.1165504455566
7a,PostgreSQL,3,1774772016.185629,0,5879.871368408203
9a,PostgreSQL,3,1774772016.297593,0,5799.215078353882
15c,PostgreSQL,3,1774772017.9630406,0,4279.720067977905
19a,PostgreSQL,3,1774772019.6191308,0,2832.1144580841064
14c,PostgreSQL,3,1774772017.3005593,0,5157.419443130493
12c,PostgreSQL,3,1774772016.720941,0,5996.8976974487305
19c,PostgreSQL,3,1774772020.6283696,0,2297.779560089112
5b,PostgreSQL,3,1774772016.1488922,0,7299.447536468506
19b,PostgreSQL,3,1774772019.7840412,0,5399.0631103515625
9c,PostgreSQL,3,1774772016.3122015,0,9456.271648406982
2c,PostgreSQL,3,1774772016.1052985,0,10670.98879814148
13a,PostgreSQL,3,1774772016.728382,0,11831.669807434082
16d,PostgreSQL,3,1774772018.9498754,0,9853.76000404358
8d,PostgreSQL,3,1774772016.2810812,0,13917.03462600708
5a,PostgreSQL,3,1774772016.1392677,0,14117.653608322144
16c,PostgreSQL,3,1774772018.5279422,0,12758.590459823608
9b,PostgreSQL,3,1774772016.324798,0,14999.855041503906
18a,PostgreSQL,3,1774772019.3976767,0,14719.078063964844
25a,PostgreSQL,3,1774772025.1879437,0,10408.190488815308
25b,PostgreSQL,3,1774772025.7756867,0,12376.123666763306
6d,PostgreSQL,3,1774772016.1709683,0,22032.57274627685
18c,PostgreSQL,3,1774772019.4094656,0,19573.755979537964
6f,PostgreSQL,3,1774772016.1810951,0,25877.28524208069
23b,PostgreSQL,3,1774772022.4627976,0,21217.05794334412
32a,PostgreSQL,3,1774772043.6847672,0,102.70118713378906
13b,PostgreSQL,3,1774772016.7522051,0,27792.235374450684
32b,PostgreSQL,3,1774772043.794727,0,966.1612510681152
13c,PostgreSQL,3,1774772016.888508,0,27934.25226211548
9d,PostgreSQL,3,1774772016.3423383,0,29283.178329467773
8c,PostgreSQL,3,1774772016.2439344,0,30498.353481292725
31b,PostgreSQL,3,1774772038.9880404,0,8290.268421173096
13d,PostgreSQL,3,1774772017.0625358,0,34166.932821273804
20c,PostgreSQL,3,1774772021.4629085,0,30504.014253616333
7c,PostgreSQL,3,1774772016.1965685,0,37100.60477256775
10c,PostgreSQL,3,1774772016.3899891,0,37579.83875274658
25c,PostgreSQL,3,1774772026.7839868,0,27333.30559730529
22b,PostgreSQL,3,1774772022.0703166,0,33514.29057121277
22a,PostgreSQL,3,1774772021.5679688,0,34798.871755599976
31a,PostgreSQL,3,1774772038.20874,0,27957.845449447632
22c,PostgreSQL,3,1774772022.101501,0,45238.70253562927
29a,PostgreSQL,3,1774772030.2726424,0,38439.60857391357
22d,PostgreSQL,3,1774772022.2477071,0,47715.99435806274
29b,PostgreSQL,3,1774772031.293729,0,38969.70844268799
24a,PostgreSQL,3,1774772022.9310956,0,53591.2652015686
31c,PostgreSQL,3,1774772042.0632591,0,41822.45588302612
26a,PostgreSQL,3,1774772028.5735648,0,60537.08219528198
26c,PostgreSQL,3,1774772030.2032475,0,63053.8055896759
16b,PostgreSQL,3,1774772018.432223,0,83160.6502532959
24b,PostgreSQL,3,1774772023.4663382,0,127712.18538284302
30b,PostgreSQL,3,1774772035.601209,0,307265.84362983704
30a,PostgreSQL,3,1774772034.1216764,0,309109.0970039368
19d,PostgreSQL,3,1774772020.785913,0,600410.3462696075
30c,PostgreSQL,3,1774772038.1570077,0,630469.2113399506
33b,PostgreSQL,3,1774772044.5492022,0,755010.9276771545
29c,PostgreSQL,3,1774772031.3311613,0,3294524.909257889
23a,PostgreSQL,3,1774772022.4588246,0,5742479.078531265
26b,PostgreSQL,3,1774772028.816759,0,7534240.062236786
23c,PostgreSQL,3,1774772022.7246563,0,22465792.139291763
