query_id,dbms,iteration,start_time,planning_time,execution_time
6c,PostgreSQL,6,1758070641.6245923,167.104,4296.022
1d,PostgreSQL,6,1758070641.5490072,149.65,5369.727
5b,PostgreSQL,6,1758070641.6060326,125.077,6000.17
1b,PostgreSQL,6,1758070641.5491078,149.963,5374.124
5a,PostgreSQL,6,1758070641.6011124,157.724,6000.826
1a,PostgreSQL,6,1758070641.5493731,149.371,15378.659
1c,PostgreSQL,6,1758070641.5492754,151.384,15383.791
11b,PostgreSQL,6,1758070657.2222817,53.614,1124.03
11a,PostgreSQL,6,1758070657.2223258,56.727,2409.035
8b,PostgreSQL,6,1758070641.660197,153.801,35633.167
4b,PostgreSQL,6,1758070641.5931542,165.861,41583.549
12b,PostgreSQL,6,1758070683.427937,9.863,393.865
4a,PostgreSQL,6,1758070641.5932114,164.849,44345.996
4c,PostgreSQL,6,1758070641.596728,165.228,44466.184
2d,PostgreSQL,6,1758070641.5671823,166.1,50751.666
2b,PostgreSQL,6,1758070641.5628483,166.82,50782.74
2c,PostgreSQL,6,1758070641.5627975,131.835,50930.137
13b,PostgreSQL,6,1758070686.3823185,24.384,7401.94
2a,PostgreSQL,6,1758070641.5627599,131.215,52613.734
3b,PostgreSQL,6,1758070641.577219,167.698,52776.824
5c,PostgreSQL,6,1758070641.610296,89.929,53882.658
3a,PostgreSQL,6,1758070641.5720036,169.008,54474.08
13c,PostgreSQL,6,1758070692.5823386,10.626,5647.484
12a,PostgreSQL,6,1758070677.7538126,25.594,22762.428
15b,PostgreSQL,6,1758070695.6796203,24.888,5006.163
8d,PostgreSQL,6,1758070641.670491,140.129,58983.2
13a,PostgreSQL,6,1758070686.1993883,26.555,14836.577
8c,PostgreSQL,6,1758070641.6646779,124.896,59484.229
3c,PostgreSQL,6,1758070641.5931115,164.385,59709.805
16a,PostgreSQL,6,1758070700.5653243,15.273,1228.035
12c,PostgreSQL,6,1758070683.8737023,16.891,18357.339
15a,PostgreSQL,6,1758070694.5999963,471.06,9377.368
6a,PostgreSQL,6,1758070641.614922,169.849,63187.859
6e,PostgreSQL,6,1758070641.6327045,165.874,63195.649
9b,PostgreSQL,6,1758070641.6812196,216.284,63189.912
9a,PostgreSQL,6,1758070641.6750917,229.586,63182.729
10b,PostgreSQL,6,1758070648.3892648,7.391,57451.065
8a,PostgreSQL,6,1758070641.6560626,158.092,64110.061
10c,PostgreSQL,6,1758070648.3821845,11.559,57950.685
19a,PostgreSQL,6,1758070705.919279,27.053,503.493
19b,PostgreSQL,6,1758070705.994308,38.82,811.006
15c,PostgreSQL,6,1758070696.3081462,49.79,10693.027
10a,PostgreSQL,6,1758070648.3892295,11.76,58853.203
18b,PostgreSQL,6,1758070705.1162527,13.954,3665.345
21a,PostgreSQL,6,1758070708.8916605,46.507,284.726
21b,PostgreSQL,6,1758070709.234463,37.678,122.779
16d,PostgreSQL,6,1758070701.0731738,13.435,8764.639
21c,PostgreSQL,6,1758070709.4004605,36.481,955.515
14b,PostgreSQL,6,1758070693.9253488,18.84,17961.003
11c,PostgreSQL,6,1758070658.4108248,21.439,53568.459
6b,PostgreSQL,6,1758070641.6203585,171.321,71572.621
11d,PostgreSQL,6,1758070659.8108697,8.751,53724.712
7b,PostgreSQL,6,1758070641.647175,182.207,73198.458
15d,PostgreSQL,6,1758070698.2681587,50.76,16774.418
20b,PostgreSQL,6,1758070707.0686548,5.631,8297.303
23b,PostgreSQL,6,1758070713.554022,33.846,2524.077
14c,PostgreSQL,6,1758070694.4395273,21.061,21809.423
23a,PostgreSQL,6,1758070713.41188,7.605,2971.713
24b,PostgreSQL,6,1758070715.3783476,70.101,947.875
19c,PostgreSQL,6,1758070706.3843708,20.635,10364.815
24a,PostgreSQL,6,1758070715.1017518,33.425,1741.194
14a,PostgreSQL,6,1758070692.7583404,15.0,24657.352
22a,PostgreSQL,6,1758070709.8788147,15.511,7592.297
22b,PostgreSQL,6,1758070710.3983107,18.688,7081.979
18c,PostgreSQL,6,1758070705.1166544,7.419,12407.519
27b,PostgreSQL,6,1758070717.4934587,54.454,242.606
27c,PostgreSQL,6,1758070717.504378,28.228,667.558
27a,PostgreSQL,6,1758070717.440211,59.392,1322.684
29a,PostgreSQL,6,1758070718.841346,42.825,165.869
20a,PostgreSQL,6,1758070706.8572092,94.965,12120.449
26b,PostgreSQL,6,1758070716.7976608,37.896,2354.677
23c,PostgreSQL,6,1758070715.0634024,19.207,4580.811
29b,PostgreSQL,6,1758070719.0561757,93.954,535.992
30b,PostgreSQL,6,1758070719.6692579,396.229,430.785
22c,PostgreSQL,6,1758070711.926137,15.609,8880.077
16c,PostgreSQL,6,1758070700.8040051,45.815,20205.666
9d,PostgreSQL,6,1758070648.356718,31.596,72789.181
32a,PostgreSQL,6,1758070721.1923597,13.025,110.856
25b,PostgreSQL,6,1758070716.286272,99.092,5174.377
28b,PostgreSQL,6,1758070717.802737,7.078,3843.613
33a,PostgreSQL,6,1758070721.56877,95.178,234.92
