query_id,dbms,iteration,start_time,planning_time,execution_time
1b,PostgreSQL,1,1760592741.4456415,0,3605.4511070251465
1d,PostgreSQL,1,1760592741.4450362,0,4695.473194122314
6c,PostgreSQL,1,1760592741.5147116,0,5989.717245101929
5b,PostgreSQL,1,1760592741.496681,0,13950.21367073059
5a,PostgreSQL,1,1760592741.4967396,0,13952.892780303955
1a,PostgreSQL,1,1760592741.4456034,0,14428.492307662964
1c,PostgreSQL,1,1760592741.4453003,0,14432.790040969849
11b,PostgreSQL,1,1760592755.8849976,0,804.9180507659912
11a,PostgreSQL,1,1760592755.8850763,0,1324.2201805114746
2c,PostgreSQL,1,1760592741.4454815,0,23596.959590911865
4b,PostgreSQL,1,1760592741.4797394,0,26691.80178642273
8b,PostgreSQL,1,1760592741.5629258,0,27241.80841445923
6d,PostgreSQL,1,1760592741.5265772,0,28319.40793991089
12b,PostgreSQL,1,1760592768.2392132,0,1945.2109336853027
2b,PostgreSQL,1,1760592741.4456236,0,29159.876108169556
2a,PostgreSQL,1,1760592741.438093,0,29328.04775238037
4a,PostgreSQL,1,1760592741.4795382,0,29386.759042739868
4c,PostgreSQL,1,1760592741.490947,0,29470.484733581543
13c,PostgreSQL,1,1760592770.6080115,0,2607.335090637207
13b,PostgreSQL,1,1760592770.1876462,0,4873.338460922241
2d,PostgreSQL,1,1760592741.4506724,0,43371.27685546875
6b,PostgreSQL,1,1760592741.5087478,0,45868.48545074463
15b,PostgreSQL,1,1760592784.831552,0,9619.305849075317
9a,PostgreSQL,1,1760592741.5784602,0,62814.51082229614
14b,PostgreSQL,1,1760592770.9637136,0,35078.68432998657
11d,PostgreSQL,1,1760592757.2113364,0,48951.6499042511
11c,PostgreSQL,1,1760592756.6921554,0,49474.82776641846
16a,PostgreSQL,1,1760592804.3951375,0,2389.0674114227295
9b,PostgreSQL,1,1760592741.5835135,0,65749.82333183289
6a,PostgreSQL,1,1760592741.5028846,0,67274.69205856323
6e,PostgreSQL,1,1760592741.5305295,0,67249.04108047485
8d,PostgreSQL,1,1760592741.5733228,0,69535.48979759216
10c,PostgreSQL,1,1760592755.4516509,0,55678.147315979004
8c,PostgreSQL,1,1760592741.5677145,0,69571.71630859375
16d,PostgreSQL,1,1760592806.1702623,0,15931.62727355957
7b,PostgreSQL,1,1760592741.5465324,0,80707.60774612427
10b,PostgreSQL,1,1760592755.4516203,0,67657.7377319336
8a,PostgreSQL,1,1760592741.5571811,0,82362.54453659058
19b,PostgreSQL,1,1760592823.9270751,0,351.8834114074707
