query_id,dbms,iteration,start_time,planning_time,execution_time
query1,SparkSQL,3,1773214345.9306507,0,2.0574405193328857
query2,SparkSQL,3,1773214345.9306507,0,0.6681737899780273
query3,SparkSQL,3,1773214345.9306507,0,0.5018227100372314
query4,SparkSQL,3,1773214345.9306507,0,0.5100324153900146
query5,SparkSQL,3,1773214345.9306507,0,0.3143472671508789
query6,SparkSQL,3,1773214345.9306507,0,0.4354472160339355
query7,SparkSQL,3,1773214345.9306507,0,1.6061010360717771
query8,SparkSQL,3,1773214345.9306507,0,1.2234420776367188
query9,SparkSQL,3,1773214345.9306507,0,0.4667253494262695
query10,SparkSQL,3,1773214345.9306507,0,0.3323700428009033
query11,SparkSQL,3,1773214345.9306507,0,0.3367395401000976
query12,SparkSQL,3,1773214345.9306507,0,1.7722761631011963
query13,SparkSQL,3,1773214345.9306507,0,0.2907674312591553
query14,SparkSQL,3,1773214345.9306507,0,0.2962560653686523
query15,SparkSQL,3,1773214345.9306507,0,0.4267945289611816
query16,SparkSQL,3,1773214345.9306507,0,0.4571614265441894
query17,SparkSQL,3,1773214345.9306507,0,0.2475616931915283
query18,SparkSQL,3,1773214345.9306507,0,0.3826940059661865
query19,SparkSQL,3,1773214345.9306507,0,0.2570140361785888
query20,SparkSQL,3,1773214345.9306507,0,0.3545913696289062
query21,SparkSQL,3,1773214345.9306507,0,0.3892087936401367
query22,SparkSQL,3,1773214345.9306507,0,0.3452785015106201
query23,SparkSQL,3,1773214345.9306507,0,0.255882978439331
query24,SparkSQL,3,1773214345.9306507,0,0.2203211784362793
query25,SparkSQL,3,1773214345.9306507,0,0.6379704475402832
query26,SparkSQL,3,1773214345.9306507,0,0.4041767120361328
query27,SparkSQL,3,1773214345.9306507,0,0.4100139141082763
query28,SparkSQL,3,1773214345.9306507,0,0.5004825592041016
query29,SparkSQL,3,1773214345.9306507,0,0.4116232395172119
query30,SparkSQL,3,1773214345.9306507,0,1.6900815963745115
query31,SparkSQL,3,1773214345.9306507,0,0.4068031311035156
query32,SparkSQL,3,1773214345.9306507,0,549.6117434501648
query33,SparkSQL,3,1773214345.9306507,0,36.003915309906006
query34,SparkSQL,3,1773214345.9306507,0,2.595182180404663
query35,SparkSQL,3,1773214345.9306507,0,0.2878422737121582
query36,SparkSQL,3,1773214345.9306507,0,0.1914782524108886
query37,SparkSQL,3,1773214345.9306507,0,0.3716590404510498
query38,SparkSQL,3,1773214345.9306507,0,0.949671745300293
query39,SparkSQL,3,1773214345.9306507,0,0.3899688720703125
query40,SparkSQL,3,1773214345.9306507,0,0.2677228450775146
query41,SparkSQL,3,1773214345.9306507,0,0.263601541519165
query42,SparkSQL,3,1773214345.9306507,0,0.3491740226745605
query43,SparkSQL,3,1773214345.9306507,0,0.360398530960083
query44,SparkSQL,3,1773214345.9306507,0,0.3249731063842773
query45,SparkSQL,3,1773214345.9306507,0,0.2713630199432373
query46,SparkSQL,3,1773214345.9306507,0,0.4315745830535888
query47,SparkSQL,3,1773214345.9306507,0,1.3536808490753174
query48,SparkSQL,3,1773214345.9306507,0,210.4520161151886
query49,SparkSQL,3,1773214345.9306507,0,366.9314992427826
query50,SparkSQL,3,1773214345.9306507,0,8.409847497940063
query51,SparkSQL,3,1773214345.9306507,0,0.8254516124725342
query52,SparkSQL,3,1773214345.9306507,0,1.3045036792755127
query53,SparkSQL,3,1773214345.9306507,0,0.3498213291168213
query54,SparkSQL,3,1773214345.9306507,0,0.2300827503204345
query55,SparkSQL,3,1773214345.9306507,0,0.2656831741333008
query56,SparkSQL,3,1773214345.9306507,0,0.3254210948944092
query57,SparkSQL,3,1773214345.9306507,0,0.2280611991882324
query58,SparkSQL,3,1773214345.9306507,0,100.76140475273132
query59,SparkSQL,3,1773214345.9306507,0,0.8839235305786133
query60,SparkSQL,3,1773214345.9306507,0,0.5111267566680908
query61,SparkSQL,3,1773214345.9306507,0,0.4174602031707763
query62,SparkSQL,3,1773214345.9306507,0,0.3613767623901367
query63,SparkSQL,3,1773214345.9306507,0,0.3115394115447998
query64,SparkSQL,3,1773214345.9306507,0,0.415863037109375
query65,SparkSQL,3,1773214345.9306507,0,0.3286745548248291
query66,SparkSQL,3,1773214345.9306507,0,0.4851183891296386
query67,SparkSQL,3,1773214345.9306507,0,0.3883821964263916
query68,SparkSQL,3,1773214345.9306507,0,6.796298742294312
query69,SparkSQL,3,1773214345.9306507,0,0.9978480339050292
query70,SparkSQL,3,1773214345.9306507,0,0.919133186340332
query71,SparkSQL,3,1773214345.9306507,0,0.6746163368225098
query72,SparkSQL,3,1773214345.9306507,0,0.3911311626434326
query73,SparkSQL,3,1773214345.9306507,0,0.3999726772308349
query74,SparkSQL,3,1773214345.9306507,0,0.6666512489318848
query75,SparkSQL,3,1773214345.9306507,0,0.5867583751678467
query76,SparkSQL,3,1773214345.9306507,0,0.3989286422729492
query77,SparkSQL,3,1773214345.9306507,0,0.4099457263946533
query78,SparkSQL,3,1773214345.9306507,0,0.3233485221862793
query79,SparkSQL,3,1773214345.9306507,0,0.4599769115447998
query80,SparkSQL,3,1773214345.9306507,0,0.2534372806549072
query81,SparkSQL,3,1773214345.9306507,0,0.2136521339416504
query82,SparkSQL,3,1773214345.9306507,0,0.2625133991241455
query83,SparkSQL,3,1773214345.9306507,0,0.2889461517333984
query84,SparkSQL,3,1773214345.9306507,0,0.3654854297637939
query85,SparkSQL,3,1773214345.9306507,0,0.211838960647583
query86,SparkSQL,3,1773214345.9306507,0,0.3501079082489013
query87,SparkSQL,3,1773214345.9306507,0,0.2134294509887695
query88,SparkSQL,3,1773214345.9306507,0,0.312932014465332
query89,SparkSQL,3,1773214345.9306507,0,0.2009031772613525
query90,SparkSQL,3,1773214345.9306507,0,0.2518107891082763
query91,SparkSQL,3,1773214345.9306507,0,0.2952799797058105
query92,SparkSQL,3,1773214345.9306507,0,0.2731795310974121
query93,SparkSQL,3,1773214345.9306507,0,0.1736574172973632
query94,SparkSQL,3,1773214345.9306507,0,0.1926958560943603
query95,SparkSQL,3,1773214345.9306507,0,0.3794550895690918
query96,SparkSQL,3,1773214345.9306507,0,0.3575572967529297
query97,SparkSQL,3,1773214345.9306507,0,0.5078155994415283
query98,SparkSQL,3,1773214345.9306507,0,0.4964017868041992
query99,SparkSQL,3,1773214345.9306507,0,0.2678940296173095
query100,SparkSQL,3,1773214345.9306507,0,0.3157949447631836
query101,SparkSQL,3,1773214345.9306507,0,0.3680369853973388
query102,SparkSQL,3,1773214345.9306507,0,0.3281011581420898
query103,SparkSQL,3,1773214345.9306507,0,0.2013354301452636
query104,SparkSQL,3,1773214345.9306507,0,0.3726310729980469
query105,SparkSQL,3,1773214345.9306507,0,0.9697709083557128
query106,SparkSQL,3,1773214345.9306507,0,0.3752186298370361
query107,SparkSQL,3,1773214345.9306507,0,2.3192896842956543
query108,SparkSQL,3,1773214345.9306507,0,3.658903121948242
query109,SparkSQL,3,1773214345.9306507,0,0.3866305351257324
query110,SparkSQL,3,1773214345.9306507,0,0.2714567184448242
query111,SparkSQL,3,1773214345.9306507,0,0.4297451972961426
query112,SparkSQL,3,1773214345.9306507,0,0.2879047393798828
query113,SparkSQL,3,1773214345.9306507,0,0.370913028717041
query114,SparkSQL,3,1773214345.9306507,0,0.3424148559570312
query115,SparkSQL,3,1773214345.9306507,0,0.528522253036499
query116,SparkSQL,3,1773214345.9306507,0,0.447284460067749
query117,SparkSQL,3,1773214345.9306507,0,0.4023993015289306
query118,SparkSQL,3,1773214345.9306507,0,0.4250917434692383
query119,SparkSQL,3,1773214345.9306507,0,0.3248450756072998
query120,SparkSQL,3,1773214345.9306507,0,70.6033718585968
query121,SparkSQL,3,1773214345.9306507,0,0.3316218852996826
query122,SparkSQL,3,1773214345.9306507,0,44.82470369338989
query123,SparkSQL,3,1773214345.9306507,0,0.7872912883758545
query124,SparkSQL,3,1773214345.9306507,0,0.2175838947296142
query125,SparkSQL,3,1773214345.9306507,0,0.2481617927551269
query126,SparkSQL,3,1773214345.9306507,0,17.50945806503296
query127,SparkSQL,3,1773214345.9306507,0,0.3377861976623535
query128,SparkSQL,3,1773214345.9306507,0,0.3764290809631347
query129,SparkSQL,3,1773214345.9306507,0,0.336467981338501
query130,SparkSQL,3,1773214345.9306507,0,0.3732938766479492
query131,SparkSQL,3,1773214345.9306507,0,0.3765475749969482
query132,SparkSQL,3,1773214345.9306507,0,0.3403668403625488
query133,SparkSQL,3,1773214345.9306507,0,0.3741443157196045
query134,SparkSQL,3,1773214345.9306507,0,0.3298525810241699
query135,SparkSQL,3,1773214345.9306507,0,13.81193995475769
query136,SparkSQL,3,1773214345.9306507,0,1.6650874614715576
query137,SparkSQL,3,1773214345.9306507,0,0.291450023651123
query138,SparkSQL,3,1773214345.9306507,0,0.3215904235839844
query139,SparkSQL,3,1773214345.9306507,0,0.4017374515533447
query140,SparkSQL,3,1773214345.9306507,0,1.022618293762207
query141,SparkSQL,3,1773214345.9306507,0,2.0179600715637207
query142,SparkSQL,3,1773214345.9306507,0,2.042293071746826
query143,SparkSQL,3,1773214345.9306507,0,1.3080165386199951
query144,SparkSQL,3,1773214345.9306507,0,0.6318926811218262
query145,SparkSQL,3,1773214345.9306507,0,0.3722884654998779
query146,SparkSQL,3,1773214345.9306507,0,0.4617648124694824
