query_id,dbms,iteration,start_time,planning_time,execution_time
query1,DuckDB,1,1769233094.3282232,0,75.75559616088867
query19,DuckDB,1,1769233094.3315933,0,105.64446449279785
query6,DuckDB,1,1769233094.3346453,0,130.90825080871582
query17,DuckDB,1,1769233094.3359497,0,138.90695571899414
query24,DuckDB,1,1769233094.3434103,0,137.09306716918945
query23,DuckDB,1,1769233094.329561,0,152.83870697021484
query8,DuckDB,1,1769233094.3286343,0,154.65164184570312
query14,DuckDB,1,1769233094.3393793,0,160.4781150817871
query29,DuckDB,1,1769233094.3329608,0,170.29190063476562
query13,DuckDB,1,1769233094.3356473,0,178.03072929382324
query26,DuckDB,1,1769233094.3324945,0,183.66026878356934
query25,DuckDB,1,1769233094.3350575,0,183.87341499328613
query21,DuckDB,1,1769233094.334242,0,190.08326530456543
query41,DuckDB,1,1769233094.5068102,0,24.628162384033203
query40,DuckDB,1,1769233094.5022457,0,33.226966857910156
query7,DuckDB,1,1769233094.33117,0,208.6031436920166
query11,DuckDB,1,1769233094.3371036,0,206.3295841217041
query16,DuckDB,1,1769233094.341297,0,207.56793022155762
query20,DuckDB,1,1769233094.3291855,0,224.75385665893555
query18,DuckDB,1,1769233094.3374624,0,220.0329303741455
query33,DuckDB,1,1769233094.405645,0,154.5422077178955
query12,DuckDB,1,1769233094.3386114,0,227.3540496826172
query28,DuckDB,1,1769233094.340248,0,231.22215270996094
query3,DuckDB,1,1769233094.327208,0,247.7734088897705
query22,DuckDB,1,1769233094.3320491,0,247.50876426696777
query36,DuckDB,1,1769233094.4795418,0,105.00693321228027
query9,DuckDB,1,1769233094.3337233,0,259.5350742340088
query27,DuckDB,1,1769233094.3300953,0,267.580509185791
query43,DuckDB,1,1769233094.5232005,0,76.50947570800781
query4,DuckDB,1,1769233094.3278034,0,281.11863136291504
query54,DuckDB,1,1769233094.5828452,0,28.220176696777344
query45,DuckDB,1,1769233094.52742,0,94.91753578186035
query42,DuckDB,1,1769233094.5177329,0,109.88116264343262
query50,DuckDB,1,1769233094.5636716,0,66.01262092590332
query55,DuckDB,1,1769233094.5818253,0,50.20499229431152
query46,DuckDB,1,1769233094.5378392,0,98.83332252502441
query57,DuckDB,1,1769233094.5833483,0,58.464765548706055
query53,DuckDB,1,1769233094.563364,0,83.85300636291504
query35,DuckDB,1,1769233094.4677947,0,188.5659694671631
query48,DuckDB,1,1769233094.5423384,0,118.8807487487793
query10,DuckDB,1,1769233094.2618506,0,406.8300724029541
query62,DuckDB,1,1769233094.6173456,0,55.42182922363281
query63,DuckDB,1,1769233094.618197,0,60.089826583862305
query67,DuckDB,1,1769233094.644586,0,40.00568389892578
query37,DuckDB,1,1769233094.4882834,0,200.8991241455078
query56,DuckDB,1,1769233094.581238,0,110.15105247497559
query44,DuckDB,1,1769233094.5234902,0,174.76201057434082
query64,DuckDB,1,1769233094.6256535,0,83.60481262207031
query2,DuckDB,1,1769233094.3362505,0,397.42136001586914
query66,DuckDB,1,1769233094.6340938,0,100.37565231323242
query39,DuckDB,1,1769233094.4902391,0,245.16654014587402
query61,DuckDB,1,1769233094.6032572,0,139.26243782043457
query65,DuckDB,1,1769233094.634877,0,112.27560043334961
query5,DuckDB,1,1769233094.3353186,0,414.7310256958008
query73,DuckDB,1,1769233094.671998,0,87.35966682434082
query76,DuckDB,1,1769233094.6878057,0,94.05231475830078
query81,DuckDB,1,1769233094.7456365,0,40.1768684387207
query78,DuckDB,1,1769233094.6945097,0,93.7197208404541
query80,DuckDB,1,1769233094.7416844,0,49.97682571411133
query31,DuckDB,1,1769233094.3367276,0,459.6691131591797
query87,DuckDB,1,1769233094.762145,0,38.35439682006836
query74,DuckDB,1,1769233094.6763926,0,135.1633071899414
query92,DuckDB,1,1769233094.7988653,0,16.425609588623047
query82,DuckDB,1,1769233094.7449896,0,79.54096794128418
query15,DuckDB,1,1769233094.3333693,0,495.12720108032227
query72,DuckDB,1,1769233094.6669314,0,167.84071922302246
query90,DuckDB,1,1769233094.7934756,0,46.712636947631836
query89,DuckDB,1,1769233094.7939346,0,47.88017272949219
query83,DuckDB,1,1769233094.746207,0,100.16131401062012
query93,DuckDB,1,1769233094.803048,0,54.99768257141113
query94,DuckDB,1,1769233094.8142974,0,47.113895416259766
query85,DuckDB,1,1769233094.7521296,0,121.74439430236816
query91,DuckDB,1,1769233094.7942564,0,84.85722541809082
query86,DuckDB,1,1769233094.7527366,0,130.73039054870605
query103,DuckDB,1,1769233094.863778,0,26.389122009277344
query99,DuckDB,1,1769233094.8450735,0,49.4074821472168
query79,DuckDB,1,1769233094.7015185,0,207.56888389587402
query100,DuckDB,1,1769233094.8510132,0,66.07770919799805
query32,DuckDB,1,1769233094.330653,0,592.3230648040771
query101,DuckDB,1,1769233094.8506184,0,75.58894157409668
query109,DuckDB,1,1769233094.9117408,0,76.61890983581543
query75,DuckDB,1,1769233094.683691,0,331.7091464996338
query112,DuckDB,1,1769233094.9285238,0,102.46706008911133
query110,DuckDB,1,1769233094.9213524,0,113.54422569274902
query60,DuckDB,1,1769233094.6025999,0,448.1031894683838
query106,DuckDB,1,1769233094.886074,0,170.90868949890137
query88,DuckDB,1,1769233094.784527,0,284.69061851501465
query111,DuckDB,1,1769233094.9256725,0,167.33217239379883
query77,DuckDB,1,1769233094.6958673,0,403.0137062072754
query116,DuckDB,1,1769233095.0383577,0,66.65873527526855
query102,DuckDB,1,1769233094.8608732,0,247.4198341369629
query117,DuckDB,1,1769233095.0531836,0,63.629150390625
query118,DuckDB,1,1769233095.0599747,0,64.31174278259277
query95,DuckDB,1,1769233094.8175123,0,311.37752532958984
