query_id,dbms,iteration,start_time,planning_time,execution_time
query23,PostgreSQL,9,1758105819.7950618,80.566,384.052
query1,PostgreSQL,9,1758105819.6868532,99.211,410.933
query17,PostgreSQL,9,1758105819.7636874,97.486,619.597
query24,PostgreSQL,9,1758105819.800419,74.692,627.704
query19,PostgreSQL,9,1758105819.7730198,99.413,816.456
query7,PostgreSQL,9,1758105819.7013996,95.007,823.792
query14,PostgreSQL,9,1758105819.7446477,100.639,820.465
query6,PostgreSQL,9,1758105819.6943393,92.787,835.369
query33,PostgreSQL,9,1758105820.2663314,19.3,525.092
query16,PostgreSQL,9,1758105819.7566557,99.264,959.167
query13,PostgreSQL,9,1758105819.7385771,99.705,961.573
query41,PostgreSQL,9,1758105820.8148613,5.318,126.642
query27,PostgreSQL,9,1758105819.822435,59.154,1181.962
query40,PostgreSQL,9,1758105820.7092202,10.848,380.677
query20,PostgreSQL,9,1758105819.7784562,96.138,1319.712
query36,PostgreSQL,9,1758105820.624388,21.833,555.191
query12,PostgreSQL,9,1758105819.7310061,100.173,1386.255
query9,PostgreSQL,9,1758105819.7130463,99.975,1460.032
query21,PostgreSQL,9,1758105819.78509,104.763,1464.168
query26,PostgreSQL,9,1758105819.8147607,59.996,1481.211
query18,PostgreSQL,9,1758105819.7688234,101.499,1547.881
query8,PostgreSQL,9,1758105819.7083764,95.101,1559.447
query54,PostgreSQL,9,1758105821.4356062,10.635,99.542
query48,PostgreSQL,9,1758105821.2052493,24.664,317.317
query55,PostgreSQL,9,1758105821.5509021,10.418,49.429
query11,PostgreSQL,9,1758105819.7252214,100.723,1873.687
query2,PostgreSQL,9,1758105819.680033,93.01,2087.322
query5,PostgreSQL,9,1758105819.68779,94.191,2108.739
query4,PostgreSQL,9,1758105819.6819177,92.911,2157.776
query46,PostgreSQL,9,1758105821.1076639,91.389,925.543
query3,PostgreSQL,9,1758105819.680082,92.994,2485.842
query62,PostgreSQL,9,1758105822.129715,36.865,224.875
query15,PostgreSQL,9,1758105819.7504036,99.675,2539.583
query25,PostgreSQL,9,1758105819.808321,88.895,2633.605
query63,PostgreSQL,9,1758105822.3600118,40.45,187.743
query45,PostgreSQL,9,1758105821.0698204,11.381,1586.642
query42,PostgreSQL,9,1758105820.8426905,7.605,1870.332
query65,PostgreSQL,9,1758105822.420507,40.949,283.432
query67,PostgreSQL,9,1758105822.593346,43.665,130.177
query61,PostgreSQL,9,1758105822.0408094,39.778,838.064
query43,PostgreSQL,9,1758105820.8427737,8.931,2327.624
query53,PostgreSQL,9,1758105821.4319773,31.402,1836.797
query39,PostgreSQL,9,1758105820.7016785,9.4,2601.529
query64,PostgreSQL,9,1758105822.396618,39.02,1091.316
query44,PostgreSQL,9,1758105820.9546862,8.295,3052.241
query22,PostgreSQL,9,1758105819.7890284,86.979,4415.977
query29,PostgreSQL,9,1758105819.8346705,59.257,4461.371
query73,PostgreSQL,9,1758105823.1832025,54.052,1307.427
query10,PostgreSQL,9,1758105819.7196915,101.599,4670.355
query50,PostgreSQL,9,1758105821.348725,38.117,3235.653
query78,PostgreSQL,9,1758105824.2984004,39.78,551.119
query80,PostgreSQL,9,1758105824.5490968,3.19,918.243
query72,PostgreSQL,9,1758105822.930662,65.946,2592.495
query81,PostgreSQL,9,1758105824.5528429,3.057,1047.7
query76,PostgreSQL,9,1758105823.5324812,37.317,2189.252
query37,PostgreSQL,9,1758105820.6967127,66.012,5123.774
query83,PostgreSQL,9,1758105824.9037473,3.163,1142.409
query87,PostgreSQL,9,1758105825.7651455,3.326,595.297
query86,PostgreSQL,9,1758105825.6068733,10.06,752.615
query66,PostgreSQL,9,1758105822.5558481,40.128,3854.663
query89,PostgreSQL,9,1758105826.05284,2.848,899.8
query92,PostgreSQL,9,1758105826.4557104,1.489,753.345
query90,PostgreSQL,9,1758105826.3673284,2.94,938.116
query82,PostgreSQL,9,1758105824.6267426,3.367,2947.137
query75,PostgreSQL,9,1758105823.3162277,38.243,4356.758
query79,PostgreSQL,9,1758105824.3624222,39.96,3459.755
query93,PostgreSQL,9,1758105826.9588144,4.604,1665.672
query60,PostgreSQL,9,1758105821.9847224,65.77,6666.82
query91,PostgreSQL,9,1758105826.3730512,7.146,2798.058
query94,PostgreSQL,9,1758105827.2151887,4.482,2305.484
query100,PostgreSQL,9,1758105828.7499018,8.247,1000.883
query99,PostgreSQL,9,1758105828.632566,10.634,1174.586
query95,PostgreSQL,9,1758105827.3123338,14.611,2652.495
query101,PostgreSQL,9,1758105829.1824658,10.251,982.034
query96,PostgreSQL,9,1758105827.5989306,15.179,2593.697
query31,PostgreSQL,9,1758105819.848236,32.446,10548.523
query84,PostgreSQL,9,1758105825.4840548,4.725,5394.847
query103,PostgreSQL,9,1758105829.7641585,31.392,2018.763
