query_id,dbms,iteration,start_time,planning_time,execution_time
query17,PostgreSQL,5,1758064935.156355,54.972,377.951
query23,PostgreSQL,5,1758064935.1888525,24.922,318.858
query1,PostgreSQL,5,1758064935.066754,77.006,448.7
query7,PostgreSQL,5,1758064935.0943766,73.161,513.366
query19,PostgreSQL,5,1758064935.1677213,45.45,512.79
query13,PostgreSQL,5,1758064935.133538,77.804,562.695
query14,PostgreSQL,5,1758064935.138048,81.055,647.762
query2,PostgreSQL,5,1758064935.0665169,52.229,672.236
query24,PostgreSQL,5,1758064935.1942475,20.149,765.541
query6,PostgreSQL,5,1758064935.0893998,71.986,845.695
query15,PostgreSQL,5,1758064935.143976,65.346,887.749
query41,PostgreSQL,5,1758064935.989497,12.771,156.941
query5,PostgreSQL,5,1758064935.0835462,52.304,868.87
query40,PostgreSQL,5,1758064935.8780124,5.432,301.804
query27,PostgreSQL,5,1758064935.219284,87.881,883.428
query36,PostgreSQL,5,1758064935.7291467,17.521,455.396
query26,PostgreSQL,5,1758064935.2079082,16.302,1046.482
query22,PostgreSQL,5,1758064935.1837828,30.254,1078.7
query21,PostgreSQL,5,1758064935.1782784,34.736,1154.132
query34,PostgreSQL,5,1758064935.6754248,1.777,746.934
query10,PostgreSQL,5,1758064935.1135945,71.873,1251.157
query31,PostgreSQL,5,1758064935.3506746,8.551,1073.29
query8,PostgreSQL,5,1758064935.1018746,72.805,1268.153
query3,PostgreSQL,5,1758064935.0729988,52.287,1298.835
query45,PostgreSQL,5,1758064936.1839488,33.456,270.504
query4,PostgreSQL,5,1758064935.0789838,51.883,1302.626
query20,PostgreSQL,5,1758064935.1730065,40.804,1292.22
query48,PostgreSQL,5,1758064936.2064207,30.399,272.404
query18,PostgreSQL,5,1758064935.161962,53.522,1296.116
query16,PostgreSQL,5,1758064935.1511078,62.495,1305.796
query50,PostgreSQL,5,1758064936.298451,21.141,235.138
query55,PostgreSQL,5,1758064936.483759,25.112,72.866
query9,PostgreSQL,5,1758064935.1076183,78.4,1397.474
query46,PostgreSQL,5,1758064936.1901438,71.984,386.684
query38,PostgreSQL,5,1758064935.7828367,1.702,869.796
query54,PostgreSQL,5,1758064936.4673223,2.529,190.187
query35,PostgreSQL,5,1758064935.6751878,2.688,1004.306
query63,PostgreSQL,5,1758064936.5598133,33.823,145.12
query62,PostgreSQL,5,1758064936.5249557,22.123,192.853
query12,PostgreSQL,5,1758064935.1266432,82.221,1526.241
query11,PostgreSQL,5,1758064935.1211574,80.601,1537.186
query49,PostgreSQL,5,1758064936.280005,8.792,505.281
query57,PostgreSQL,5,1758064936.5141575,18.347,294.342
query67,PostgreSQL,5,1758064936.6605434,39.962,129.331
query53,PostgreSQL,5,1758064936.4647431,3.335,516.416
query29,PostgreSQL,5,1758064935.3242686,6.348,1648.516
query25,PostgreSQL,5,1758064935.201423,24.427,1797.784
query47,PostgreSQL,5,1758064936.1999657,10.917,922.115
query37,PostgreSQL,5,1758064935.7314367,130.036,1312.908
query65,PostgreSQL,5,1758064936.6953425,53.818,446.331
query43,PostgreSQL,5,1758064936.1347482,2.005,1071.702
query61,PostgreSQL,5,1758064936.5167778,3.457,721.024
query32,PostgreSQL,5,1758064935.363168,19.035,1900.899
query66,PostgreSQL,5,1758064936.654519,32.8,634.254
query56,PostgreSQL,5,1758064936.5091956,4.038,813.989
query28,PostgreSQL,5,1758064935.2375984,9.54,2027.911
query33,PostgreSQL,5,1758064935.5958774,12.1,1834.707
query39,PostgreSQL,5,1758064935.8742154,3.496,1501.6
query42,PostgreSQL,5,1758064936.0590072,7.462,1477.233
query78,PostgreSQL,5,1758064936.9918838,42.711,615.924
query85,PostgreSQL,5,1758064937.2939036,0.839,436.968
query80,PostgreSQL,5,1758064937.16001,1.463,686.284
query64,PostgreSQL,5,1758064936.58684,42.682,1211.178
query86,PostgreSQL,5,1758064937.3365023,5.085,578.965
query51,PostgreSQL,5,1758064936.4094572,3.819,1482.189
query44,PostgreSQL,5,1758064936.1680176,2.166,1763.486
query87,PostgreSQL,5,1758064937.3365476,5.271,666.949
query60,PostgreSQL,5,1758064936.5162396,6.759,1484.385
query88,PostgreSQL,5,1758064937.3528755,1.306,738.661
query92,PostgreSQL,5,1758064937.6661594,1.42,430.014
query81,PostgreSQL,5,1758064937.1781332,3.131,1017.865
query93,PostgreSQL,5,1758064937.7356431,1.264,552.582
query79,PostgreSQL,5,1758064937.0307539,3.053,1261.048
query82,PostgreSQL,5,1758064937.2009559,4.676,1092.587
query58,PostgreSQL,5,1758064936.5147583,7.959,1799.537
query83,PostgreSQL,5,1758064937.213733,4.582,1250.556
query73,PostgreSQL,5,1758064936.759171,96.912,1624.146
query70,PostgreSQL,5,1758064936.7464216,3.527,1769.323
query94,PostgreSQL,5,1758064937.8513517,1.131,693.786
query84,PostgreSQL,5,1758064937.247317,1.311,1306.13
query90,PostgreSQL,5,1758064937.4550729,2.543,1122.205
query77,PostgreSQL,5,1758064936.9919126,3.428,1676.571
query107,PostgreSQL,5,1758064938.328112,2.277,510.99
query91,PostgreSQL,5,1758064937.5476847,1.094,1304.741
query99,PostgreSQL,5,1758064938.0133367,10.614,845.837
query105,PostgreSQL,5,1758064938.3026822,2.158,625.768
query106,PostgreSQL,5,1758064938.302654,10.274,624.717
query100,PostgreSQL,5,1758064938.0176072,6.376,936.5
query110,PostgreSQL,5,1758064938.525585,0.695,445.644
query76,PostgreSQL,5,1758064936.8338962,37.689,2268.177
query72,PostgreSQL,5,1758064936.7503335,35.964,2396.193
query103,PostgreSQL,5,1758064938.2025068,1.767,1048.574
query109,PostgreSQL,5,1758064938.4851408,29.897,780.579
query98,PostgreSQL,5,1758064937.9536817,2.144,1377.216
query101,PostgreSQL,5,1758064938.0969722,6.657,1226.567
query108,PostgreSQL,5,1758064938.4728565,1.602,909.912
query89,PostgreSQL,5,1758064937.448188,2.877,2016.269
query68,PostgreSQL,5,1758064936.663026,2.122,2851.225
query104,PostgreSQL,5,1758064938.2931998,1.152,1316.218
query112,PostgreSQL,5,1758064938.5590856,46.576,1019.606
query119,PostgreSQL,5,1758064938.9496143,2.696,736.244
query69,PostgreSQL,5,1758064936.6880925,6.819,3029.074
query96,PostgreSQL,5,1758064937.9253535,30.95,1771.496
query113,PostgreSQL,5,1758064938.5968766,1.815,1305.086
query125,PostgreSQL,5,1758064939.2997828,12.018,669.429
query121,PostgreSQL,5,1758064938.9752493,1.527,1022.127
query123,PostgreSQL,5,1758064939.1882427,1.33,924.966
query126,PostgreSQL,5,1758064939.3372242,32.33,816.338
query102,PostgreSQL,5,1758064938.1006637,3.978,2120.379
query111,PostgreSQL,5,1758064938.5499036,63.733,1600.529
query118,PostgreSQL,5,1758064938.9340463,6.467,1320.454
query117,PostgreSQL,5,1758064938.975341,9.816,1282.255
query120,PostgreSQL,5,1758064938.9703999,1.193,1332.816
query127,PostgreSQL,5,1758064939.3518815,63.482,910.084
query95,PostgreSQL,5,1758064937.862505,1.169,2483.513
query122,PostgreSQL,5,1758064939.2216642,0.64,1130.654
query137,PostgreSQL,5,1758064939.984961,9.941,413.949
query116,PostgreSQL,5,1758064938.8574288,9.261,1535.088
query134,PostgreSQL,5,1758064939.7314446,16.271,676.193
query130,PostgreSQL,5,1758064939.5342433,32.635,916.566
query128,PostgreSQL,5,1758064939.475332,71.882,1312.833
query136,PostgreSQL,5,1758064939.955368,4.443,938.105
query131,PostgreSQL,5,1758064939.6249695,3.637,1297.96
query129,PostgreSQL,5,1758064939.4823582,3.11,1704.904
query75,PostgreSQL,5,1758064936.832017,114.686,4547.204
