query_id,applied_rules,ignored_rules,applied_rules_size,ignored_rules_size
query1.sql,FilterIntoJoinRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;CteIntroductionRule,2,9
query2.sql,FilterIntoJoinRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;CteIntroductionRule,2,9
query3.sql,FilterIntoJoinRule;AggregateJoinTransposeRule,FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;CteIntroductionRule,2,8
query4.sql,FilterIntoJoinRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;CteIntroductionRule,2,9
query5.sql,FilterIntoJoinRule;AggregateJoinTransposeRule,FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;CteIntroductionRule,2,8
query6.sql,FilterIntoJoinRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;CteIntroductionRule,2,9
query7.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query8.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query9.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query10.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
