dataset,query,example_nrows,time,parallel
aminer-author-json,Q1,200,2101.33,true
aminer-author-json,Q1,300,2187.00,true
aminer-author-json,Q1,400,2219.00,true
aminer-author-json,Q1,500,2318.25,true
aminer-author-json,Q1,600,2357.25,true
aminer-author-json,Q1,700,2440.33,true
aminer-author-json,Q1,800,2501.33,true
aminer-author-json,Q1,900,2534.25,true
aminer-author-json,Q1,1000,2603.75,true
aminer-author-json,Q2,200,2156.00,true
aminer-author-json,Q2,300,2237.50,true
aminer-author-json,Q2,400,2350.67,true
aminer-author-json,Q2,500,2331.00,true
aminer-author-json,Q2,600,2523.50,true
aminer-author-json,Q2,700,2652.00,true
aminer-author-json,Q2,800,2742.33,true
aminer-author-json,Q2,900,2873.00,true
aminer-author-json,Q2,1000,2911.00,true
aminer-author-json,Q3,200,2245.50,true
aminer-author-json,Q3,300,2487.75,true
aminer-author-json,Q3,400,2887.75,true
aminer-author-json,Q3,500,3126.00,true
aminer-author-json,Q3,600,3312.67,true
aminer-author-json,Q3,700,3785.25,true
aminer-author-json,Q3,800,4062.00,true
aminer-author-json,Q3,900,4064.00,true
aminer-author-json,Q3,1000,4363.75,true
aminer-author-json,Q4,200,2116.67,true
aminer-author-json,Q4,300,2198.50,true
aminer-author-json,Q4,400,2275.00,true
aminer-author-json,Q4,500,2339.25,true
aminer-author-json,Q4,600,2545.50,true
aminer-author-json,Q4,700,2584.00,true
aminer-author-json,Q4,800,2693.50,true
aminer-author-json,Q4,900,2710.67,true
aminer-author-json,Q4,1000,2880.00,true
aminer-author-json,Q1,200,2106.67,false
aminer-author-json,Q1,300,2181.75,false
aminer-author-json,Q1,400,2075.00,false
aminer-author-json,Q1,500,2277.00,false
aminer-author-json,Q1,600,2373.67,false
aminer-author-json,Q1,700,2434.00,false
aminer-author-json,Q1,800,2495.75,false
aminer-author-json,Q1,900,2559.00,false
aminer-author-json,Q1,1000,2576.00,false
aminer-author-json,Q2,200,2192.75,false
aminer-author-json,Q2,300,2267.00,false
aminer-author-json,Q2,400,2352.00,false
aminer-author-json,Q2,500,2422.33,false
aminer-author-json,Q2,600,2532.67,false
aminer-author-json,Q2,700,2648.33,false
aminer-author-json,Q2,800,2698.75,false
aminer-author-json,Q2,900,2850.33,false
aminer-author-json,Q2,1000,2918.00,false
aminer-author-json,Q3,200,2249.00,false
aminer-author-json,Q3,300,2454.33,false
aminer-author-json,Q3,400,2776.33,false
aminer-author-json,Q3,500,3069.33,false
aminer-author-json,Q3,600,3294.50,false
aminer-author-json,Q3,700,3728.67,false
aminer-author-json,Q3,800,4100.00,false
aminer-author-json,Q3,900,4245.75,false
aminer-author-json,Q3,1000,4295.25,false
aminer-author-json,Q4,200,2021.50,false
aminer-author-json,Q4,300,2215.33,false
aminer-author-json,Q4,400,2192.67,false
aminer-author-json,Q4,500,2309.67,false
aminer-author-json,Q4,600,2441.00,false
aminer-author-json,Q4,700,2500.67,false
aminer-author-json,Q4,800,2671.00,false
aminer-author-json,Q4,900,2726.33,false
aminer-author-json,Q4,1000,2768.00,false
