dataset,query,example_nrows,time,parallel
aminer-paper-json,Q1,200,2227.00,true
aminer-paper-json,Q1,300,2350.00,true
aminer-paper-json,Q1,400,2551.75,true
aminer-paper-json,Q1,500,2633.00,true
aminer-paper-json,Q1,600,2769.00,true
aminer-paper-json,Q1,700,2870.00,true
aminer-paper-json,Q1,800,3015.33,true
aminer-paper-json,Q1,900,3119.67,true
aminer-paper-json,Q1,1000,3264.00,true
aminer-paper-json,Q2,200,2620.50,true
aminer-paper-json,Q2,300,2825.33,true
aminer-paper-json,Q2,400,3035.00,true
aminer-paper-json,Q2,500,3175.33,true
aminer-paper-json,Q2,600,3269.00,true
aminer-paper-json,Q2,700,3431.50,true
aminer-paper-json,Q2,800,3598.33,true
aminer-paper-json,Q2,900,3744.33,true
aminer-paper-json,Q2,1000,3953.00,true
aminer-paper-json,Q3,200,2819.67,true
aminer-paper-json,Q3,300,3065.00,true
aminer-paper-json,Q3,400,3277.00,true
aminer-paper-json,Q3,500,3506.33,true
aminer-paper-json,Q3,600,3505.33,true
aminer-paper-json,Q3,700,3826.00,true
aminer-paper-json,Q3,800,3982.00,true
aminer-paper-json,Q3,900,3968.67,true
aminer-paper-json,Q3,1000,4282.00,true
aminer-paper-json,Q4,200,2925.50,true
aminer-paper-json,Q4,300,3080.50,true
aminer-paper-json,Q4,400,3140.00,true
aminer-paper-json,Q4,500,3297.33,true
aminer-paper-json,Q4,600,3459.00,true
aminer-paper-json,Q4,700,3649.33,true
aminer-paper-json,Q4,800,3743.33,true
aminer-paper-json,Q4,900,3970.50,true
aminer-paper-json,Q4,1000,3989.33,true
aminer-paper-json,Q1,200,2206.50,false
aminer-paper-json,Q1,300,2377.00,false
aminer-paper-json,Q1,400,2441.67,false
aminer-paper-json,Q1,500,2615.00,false
aminer-paper-json,Q1,600,2833.67,false
aminer-paper-json,Q1,700,2927.33,false
aminer-paper-json,Q1,800,3075.00,false
aminer-paper-json,Q1,900,3185.00,false
aminer-paper-json,Q1,1000,3193.00,false
aminer-paper-json,Q2,200,2545.00,false
aminer-paper-json,Q2,300,2753.00,false
aminer-paper-json,Q2,400,2985.67,false
aminer-paper-json,Q2,500,3035.00,false
aminer-paper-json,Q2,600,3348.33,false
aminer-paper-json,Q2,700,3423.00,false
aminer-paper-json,Q2,800,3697.67,false
aminer-paper-json,Q2,900,3816.67,false
aminer-paper-json,Q2,1000,3925.00,false
aminer-paper-json,Q3,200,2836.67,false
aminer-paper-json,Q3,300,3011.75,false
aminer-paper-json,Q3,400,3248.50,false
aminer-paper-json,Q3,500,3412.75,false
aminer-paper-json,Q3,600,3657.00,false
aminer-paper-json,Q3,700,3692.25,false
aminer-paper-json,Q3,800,3840.00,false
aminer-paper-json,Q3,900,4009.25,false
aminer-paper-json,Q3,1000,4130.67,false
aminer-paper-json,Q4,200,2956.67,false
aminer-paper-json,Q4,300,3009.25,false
aminer-paper-json,Q4,400,3148.00,false
aminer-paper-json,Q4,500,3356.50,false
aminer-paper-json,Q4,600,3495.00,false
aminer-paper-json,Q4,700,3626.33,false
aminer-paper-json,Q4,800,3694.67,false
aminer-paper-json,Q4,900,3966.25,false
aminer-paper-json,Q4,1000,4113.50,false
