dataset,query,example_nrows,time,parallel
yelp-json,Q1,200,2216.33,true
yelp-json,Q1,300,2468.00,true
yelp-json,Q1,400,2759.50,true
yelp-json,Q1,500,2899.67,true
yelp-json,Q1,600,3047.67,true
yelp-json,Q1,700,3325.33,true
yelp-json,Q1,800,3521.50,true
yelp-json,Q1,900,3828.67,true
yelp-json,Q1,1000,4015.33,true
yelp-json,Q2,200,2523.00,true
yelp-json,Q2,300,2784.00,true
yelp-json,Q2,400,2938.50,true
yelp-json,Q2,500,3186.33,true
yelp-json,Q2,600,3528.33,true
yelp-json,Q2,700,3590.00,true
yelp-json,Q2,800,3767.00,true
yelp-json,Q2,900,4120.50,true
yelp-json,Q2,1000,4286.00,true
yelp-json,Q3,200,3800.33,true
yelp-json,Q3,300,4738.75,true
yelp-json,Q3,400,5115.00,true
yelp-json,Q3,500,5208.00,true
yelp-json,Q3,600,5230.00,true
yelp-json,Q3,700,5372.50,true
yelp-json,Q3,800,5473.67,true
yelp-json,Q3,900,5554.67,true
yelp-json,Q3,1000,5576.67,true
yelp-json,Q4,200,3181.67,true
yelp-json,Q4,300,3253.67,true
yelp-json,Q4,400,3455.33,true
yelp-json,Q4,500,3727.00,true
yelp-json,Q4,600,3895.00,true
yelp-json,Q4,700,3939.50,true
yelp-json,Q4,800,4061.00,true
yelp-json,Q4,900,4524.25,true
yelp-json,Q4,1000,4522.00,true
yelp-json,Q5,200,2837.67,true
yelp-json,Q5,300,2955.00,true
yelp-json,Q5,400,3310.00,true
yelp-json,Q5,500,3401.00,true
yelp-json,Q5,600,3574.00,true
yelp-json,Q5,700,3801.00,true
yelp-json,Q5,800,4033.00,true
yelp-json,Q5,900,4226.67,true
yelp-json,Q5,1000,5035.33,true
yelp-json,Q1,200,2294.00,false
yelp-json,Q1,300,2487.67,false
yelp-json,Q1,400,2682.75,false
yelp-json,Q1,500,2859.00,false
yelp-json,Q1,600,3149.67,false
yelp-json,Q1,700,3381.50,false
yelp-json,Q1,800,3510.50,false
yelp-json,Q1,900,3884.50,false
yelp-json,Q1,1000,4101.00,false
yelp-json,Q2,200,2590.50,false
yelp-json,Q2,300,2750.67,false
yelp-json,Q2,400,3087.75,false
yelp-json,Q2,500,3177.33,false
yelp-json,Q2,600,3490.25,false
yelp-json,Q2,700,3552.00,false
yelp-json,Q2,800,3856.00,false
yelp-json,Q2,900,4060.50,false
yelp-json,Q2,1000,4154.50,false
yelp-json,Q3,200,3885.00,false
yelp-json,Q3,300,4722.67,false
yelp-json,Q3,400,5066.33,false
yelp-json,Q3,500,3796.00,false
yelp-json,Q3,600,5075.00,false
yelp-json,Q3,700,5044.00,false
yelp-json,Q3,800,4365.00,false
yelp-json,Q3,900,4750.00,false
yelp-json,Q3,1000,4866.50,false
yelp-json,Q4,200,3244.50,false
yelp-json,Q4,300,3484.00,false
yelp-json,Q4,400,3546.75,false
yelp-json,Q4,500,3763.33,false
yelp-json,Q4,600,3808.67,false
yelp-json,Q4,700,4005.67,false
yelp-json,Q4,800,4002.33,false
yelp-json,Q4,900,4269.00,false
yelp-json,Q4,1000,4272.00,false
yelp-json,Q5,200,2797.67,false
yelp-json,Q5,300,2993.00,false
yelp-json,Q5,400,3146.67,false
yelp-json,Q5,500,3412.67,false
yelp-json,Q5,600,3547.00,false
yelp-json,Q5,700,3825.00,false
yelp-json,Q5,800,4073.33,false
yelp-json,Q5,900,4394.33,false
yelp-json,Q5,1000,4975.33,false
