dataset,query,example_nrows,time,parallel
aminer-author,Q1,200,2167.50,true
aminer-author,Q1,300,2228.33,true
aminer-author,Q1,400,2334.00,true
aminer-author,Q1,500,2386.50,true
aminer-author,Q1,600,2471.75,true
aminer-author,Q1,700,2547.75,true
aminer-author,Q1,800,2627.67,true
aminer-author,Q1,900,2669.33,true
aminer-author,Q1,1000,2818.33,true
aminer-author,Q2,200,2238.25,true
aminer-author,Q2,300,2275.75,true
aminer-author,Q2,400,2402.00,true
aminer-author,Q2,500,2469.33,true
aminer-author,Q2,600,2544.33,true
aminer-author,Q2,700,2636.25,true
aminer-author,Q2,800,2769.25,true
aminer-author,Q2,900,2852.50,true
aminer-author,Q2,1000,2980.50,true
aminer-author,Q3,200,2209.67,true
aminer-author,Q3,300,2368.00,true
aminer-author,Q3,400,2423.67,true
aminer-author,Q3,500,2458.67,true
aminer-author,Q3,600,2611.50,true
aminer-author,Q3,700,2694.00,true
aminer-author,Q3,800,2913.00,true
aminer-author,Q3,900,2958.00,true
aminer-author,Q3,1000,3283.67,true
aminer-author,Q4,200,2276.25,true
aminer-author,Q4,300,2351.33,true
aminer-author,Q4,400,2492.00,true
aminer-author,Q4,500,2569.75,true
aminer-author,Q4,600,2688.33,true
aminer-author,Q4,700,2798.67,true
aminer-author,Q4,800,2928.00,true
aminer-author,Q4,900,2969.50,true
aminer-author,Q4,1000,3151.50,true
aminer-author,Q1,200,2176.25,false
aminer-author,Q1,300,2183.00,false
aminer-author,Q1,400,2315.00,false
aminer-author,Q1,500,2328.67,false
aminer-author,Q1,600,2312.00,false
aminer-author,Q1,700,2557.00,false
aminer-author,Q1,800,2646.00,false
aminer-author,Q1,900,2705.67,false
aminer-author,Q1,1000,2780.50,false
aminer-author,Q2,200,2240.00,false
aminer-author,Q2,300,2338.50,false
aminer-author,Q2,400,2399.50,false
aminer-author,Q2,500,2507.00,false
aminer-author,Q2,600,2583.50,false
aminer-author,Q2,700,2680.33,false
aminer-author,Q2,800,2670.67,false
aminer-author,Q2,900,2812.00,false
aminer-author,Q2,1000,2966.75,false
aminer-author,Q3,200,2262.00,false
aminer-author,Q3,300,2364.00,false
aminer-author,Q3,400,2434.33,false
aminer-author,Q3,500,2511.75,false
aminer-author,Q3,600,2611.33,false
aminer-author,Q3,700,2775.50,false
aminer-author,Q3,800,2873.00,false
aminer-author,Q3,900,2969.25,false
aminer-author,Q3,1000,3321.00,false
aminer-author,Q4,200,2297.50,false
aminer-author,Q4,300,2385.50,false
aminer-author,Q4,400,2482.75,false
aminer-author,Q4,500,2549.25,false
aminer-author,Q4,600,2689.00,false
aminer-author,Q4,700,2817.50,false
aminer-author,Q4,800,2896.00,false
aminer-author,Q4,900,3035.00,false
aminer-author,Q4,1000,3121.50,false
