dataset,query,example_nrows,time,parallel
aminer-paper,Q1,200,2306.75,true
aminer-paper,Q1,300,2398.50,true
aminer-paper,Q1,400,2546.33,true
aminer-paper,Q1,500,2582.67,true
aminer-paper,Q1,600,2777.33,true
aminer-paper,Q1,700,2928.00,true
aminer-paper,Q1,800,3094.00,true
aminer-paper,Q1,900,3210.67,true
aminer-paper,Q1,1000,3369.00,true
aminer-paper,Q2,200,2281.00,true
aminer-paper,Q2,300,2490.50,true
aminer-paper,Q2,400,2609.75,true
aminer-paper,Q2,500,2828.33,true
aminer-paper,Q2,600,2936.75,true
aminer-paper,Q2,700,3109.67,true
aminer-paper,Q2,800,3201.67,true
aminer-paper,Q2,900,3488.25,true
aminer-paper,Q2,1000,3532.50,true
aminer-paper,Q3,200,2380.75,true
aminer-paper,Q3,300,2469.00,true
aminer-paper,Q3,400,2659.00,true
aminer-paper,Q3,500,2818.75,true
aminer-paper,Q3,600,2970.33,true
aminer-paper,Q3,700,3232.50,true
aminer-paper,Q3,800,3525.00,true
aminer-paper,Q3,900,3657.00,true
aminer-paper,Q3,1000,3662.50,true
aminer-paper,Q4,200,2470.33,true
aminer-paper,Q4,300,2682.33,true
aminer-paper,Q4,400,3037.50,true
aminer-paper,Q4,500,3267.00,true
aminer-paper,Q4,600,3462.50,true
aminer-paper,Q4,700,3774.00,true
aminer-paper,Q4,800,4157.67,true
aminer-paper,Q4,900,4355.33,true
aminer-paper,Q4,1000,4441.50,true
aminer-paper,Q1,200,2278.25,false
aminer-paper,Q1,300,2415.67,false
aminer-paper,Q1,400,2550.67,false
aminer-paper,Q1,500,2638.00,false
aminer-paper,Q1,600,2778.00,false
aminer-paper,Q1,700,2915.00,false
aminer-paper,Q1,800,3119.50,false
aminer-paper,Q1,900,3216.00,false
aminer-paper,Q1,1000,3300.00,false
aminer-paper,Q2,200,2367.33,false
aminer-paper,Q2,300,2482.67,false
aminer-paper,Q2,400,2592.33,false
aminer-paper,Q2,500,2811.25,false
aminer-paper,Q2,600,2995.00,false
aminer-paper,Q2,700,3093.33,false
aminer-paper,Q2,800,3282.33,false
aminer-paper,Q2,900,3424.33,false
aminer-paper,Q2,1000,3676.50,false
aminer-paper,Q3,200,2365.25,false
aminer-paper,Q3,300,2502.33,false
aminer-paper,Q3,400,2609.33,false
aminer-paper,Q3,500,2835.67,false
aminer-paper,Q3,600,2959.00,false
aminer-paper,Q3,700,3281.00,false
aminer-paper,Q3,800,3474.33,false
aminer-paper,Q3,900,3570.50,false
aminer-paper,Q3,1000,3750.33,false
aminer-paper,Q4,200,2491.50,false
aminer-paper,Q4,300,2684.67,false
aminer-paper,Q4,400,3017.00,false
aminer-paper,Q4,500,3323.00,false
aminer-paper,Q4,600,3543.33,false
aminer-paper,Q4,700,3838.67,false
aminer-paper,Q4,800,3973.33,false
aminer-paper,Q4,900,4309.00,false
aminer-paper,Q4,1000,4541.50,false
