dataset,query,example_nrows,time,parallel
yelp-csv,Q1,200,2026.00,true
yelp-csv,Q1,300,2066.00,true
yelp-csv,Q1,400,2180.67,true
yelp-csv,Q1,500,2236.75,true
yelp-csv,Q1,600,2314.67,true
yelp-csv,Q1,700,2368.67,true
yelp-csv,Q1,800,2432.33,true
yelp-csv,Q1,900,2545.50,true
yelp-csv,Q1,1000,2524.00,true
yelp-csv,Q2,200,2114.50,true
yelp-csv,Q2,300,2159.00,true
yelp-csv,Q2,400,2267.75,true
yelp-csv,Q2,500,2291.33,true
yelp-csv,Q2,600,2410.33,true
yelp-csv,Q2,700,2498.33,true
yelp-csv,Q2,800,2451.50,true
yelp-csv,Q2,900,2681.00,true
yelp-csv,Q2,1000,2715.00,true
yelp-csv,Q1,200,2044.33,false
yelp-csv,Q1,300,2110.33,false
yelp-csv,Q1,400,2166.33,false
yelp-csv,Q1,500,2239.00,false
yelp-csv,Q1,600,2310.00,false
yelp-csv,Q1,700,2399.25,false
yelp-csv,Q1,800,2424.00,false
yelp-csv,Q1,900,2554.75,false
yelp-csv,Q1,1000,2621.00,false
yelp-csv,Q2,200,2129.00,false
yelp-csv,Q2,300,2182.50,false
yelp-csv,Q2,400,2269.50,false
yelp-csv,Q2,500,2343.75,false
yelp-csv,Q2,600,2402.33,false
yelp-csv,Q2,700,2502.00,false
yelp-csv,Q2,800,2570.67,false
yelp-csv,Q2,900,2632.33,false
yelp-csv,Q2,1000,2780.00,false
