dataset,query,example_nrows,time,parallel
message-hl7,Q1,200,3153.33,true
message-hl7,Q1,300,3607.00,true
message-hl7,Q1,400,4231.75,true
message-hl7,Q1,500,4692.67,true
message-hl7,Q1,600,5052.67,true
message-hl7,Q1,700,5867.00,true
message-hl7,Q1,800,6027.00,true
message-hl7,Q1,900,6560.00,true
message-hl7,Q1,1000,7149.50,true
message-hl7,Q2,200,4405.33,true
message-hl7,Q2,300,5388.67,true
message-hl7,Q2,400,5997.50,true
message-hl7,Q2,500,6938.00,true
message-hl7,Q2,600,8199.00,true
message-hl7,Q2,700,7716.00,true
message-hl7,Q2,800,8775.00,true
message-hl7,Q2,900,8672.67,true
message-hl7,Q2,1000,9400.67,true
message-hl7,Q1,200,3140.25,false
message-hl7,Q1,300,3605.33,false
message-hl7,Q1,400,4120.00,false
message-hl7,Q1,500,4726.00,false
message-hl7,Q1,600,5246.00,false
message-hl7,Q1,700,5624.75,false
message-hl7,Q1,800,6028.67,false
message-hl7,Q1,900,6450.33,false
message-hl7,Q1,1000,6842.67,false
message-hl7,Q2,200,4326.67,false
message-hl7,Q2,300,5311.67,false
message-hl7,Q2,400,6060.33,false
message-hl7,Q2,500,7170.00,false
message-hl7,Q2,600,8123.00,false
message-hl7,Q2,700,8323.67,false
message-hl7,Q2,800,8096.67,false
message-hl7,Q2,900,9596.75,false
message-hl7,Q2,1000,9343.33,false
