dataset,field,example_nrows,time,parallel
yelp-json,F0,200,2395.00,true
yelp-json,F1,200,2860.00,true
yelp-json,F2,200,4588.00,true
yelp-json,F3,200,4747.33,true
yelp-json,F4,200,4806.50,true
yelp-json,F5,200,5077.00,true
yelp-json,F6,200,5067.50,true
yelp-json,F7,200,5508.67,true
yelp-json,F8,200,5489.00,true
yelp-json,F9,200,5814.67,true
yelp-json,F10,200,5670.00,true
yelp-json,F11,200,7050.50,true
yelp-json,F12,200,7512.33,true
yelp-json,F13,200,6841.00,true
yelp-json,F14,200,7434.33,true
yelp-json,F15,200,6911.00,true
yelp-json,F16,200,7513.00,true
yelp-json,F17,200,7616.33,true
yelp-json,F18,200,7528.67,true
yelp-json,F19,200,6297.67,true
yelp-json,F20,200,6597.00,true
