dataset,field,example_nrows,time,parallel
mnist8m-libsvm,F0,200,2318.33,true
mnist8m-libsvm,F1,200,2370.50,true
mnist8m-libsvm,F2,200,2383.00,true
mnist8m-libsvm,F3,200,2372.33,true
mnist8m-libsvm,F4,200,2396.00,true
mnist8m-libsvm,F5,200,2439.75,true
mnist8m-libsvm,F6,200,2330.67,true
mnist8m-libsvm,F7,200,2449.67,true
mnist8m-libsvm,F8,200,2442.00,true
mnist8m-libsvm,F9,200,2453.00,true
mnist8m-libsvm,F10,200,2449.75,true
mnist8m-libsvm,F11,200,2485.00,true
mnist8m-libsvm,F12,200,2420.67,true
mnist8m-libsvm,F13,200,2466.00,true
mnist8m-libsvm,F14,200,2503.25,true
mnist8m-libsvm,F15,200,2400.00,true
mnist8m-libsvm,F16,200,2461.25,true
mnist8m-libsvm,F17,200,2468.67,true
mnist8m-libsvm,F18,200,2481.50,true
mnist8m-libsvm,F19,200,2497.00,true
mnist8m-libsvm,F20,200,2480.00,true
mnist8m-libsvm,F21,200,2535.00,true
mnist8m-libsvm,F22,200,2549.75,true
mnist8m-libsvm,F23,200,2465.67,true
mnist8m-libsvm,F24,200,2539.00,true
mnist8m-libsvm,F25,200,2531.67,true
mnist8m-libsvm,F26,200,2532.00,true
mnist8m-libsvm,F27,200,2497.33,true
mnist8m-libsvm,F28,200,2548.25,true
