dataset,field,example_nrows,time,parallel
ReWasteF-csv,F0,200,2139.00,true
ReWasteF-csv,F1,200,2316.00,true
ReWasteF-csv,F2,200,2440.67,true
ReWasteF-csv,F3,200,2536.75,true
ReWasteF-csv,F4,200,2575.00,true
ReWasteF-csv,F5,200,2690.67,true
ReWasteF-csv,F6,200,2724.67,true
ReWasteF-csv,F7,200,2881.00,true
ReWasteF-csv,F8,200,3163.50,true
ReWasteF-csv,F9,200,4164.67,true
ReWasteF-csv,F10,200,5043.50,true
ReWasteF-csv,F11,200,5457.50,true
ReWasteF-csv,F12,200,5647.33,true
ReWasteF-csv,F13,200,5977.67,true
ReWasteF-csv,F14,200,6475.33,true
ReWasteF-csv,F15,200,6643.00,true
ReWasteF-csv,F16,200,6577.67,true
ReWasteF-csv,F17,200,6678.00,true
ReWasteF-csv,F18,200,6598.00,true
ReWasteF-csv,F19,200,6538.00,true
ReWasteF-csv,F20,200,7228.25,true
ReWasteF-csv,F21,200,6131.00,true
ReWasteF-csv,F22,200,6905.00,true
ReWasteF-csv,F23,200,6946.33,true
ReWasteF-csv,F24,200,6823.67,true
ReWasteF-csv,F25,200,6376.33,true
ReWasteF-csv,F26,200,7198.67,true
ReWasteF-csv,F27,200,7440.75,true
ReWasteF-csv,F28,200,7269.33,true
ReWasteF-csv,F29,200,6478.00,true
ReWasteF-csv,F30,200,6431.75,true
ReWasteF-csv,F31,200,6521.00,true
ReWasteF-csv,F32,200,7188.50,true
