dataset,field,example_nrows,time,parallel
higgs-csv,F1,200,2083.75,true
higgs-csv,F2,200,2094.33,true
higgs-csv,F3,200,2129.67,true
higgs-csv,F4,200,2125.67,true
higgs-csv,F5,200,2109.50,true
higgs-csv,F6,200,2140.00,true
higgs-csv,F7,200,2156.33,true
higgs-csv,F8,200,2178.00,true
higgs-csv,F9,200,2179.00,true
higgs-csv,F10,200,2216.75,true
higgs-csv,F11,200,2217.33,true
higgs-csv,F12,200,2219.50,true
higgs-csv,F13,200,2269.00,true
higgs-csv,F14,200,2279.67,true
higgs-csv,F15,200,2240.33,true
higgs-csv,F16,200,2268.75,true
higgs-csv,F17,200,2281.00,true
higgs-csv,F18,200,2268.75,true
higgs-csv,F19,200,2282.75,true
higgs-csv,F20,200,2278.00,true
higgs-csv,F21,200,2285.25,true
higgs-csv,F22,200,2251.33,true
higgs-csv,F23,200,2323.25,true
higgs-csv,F24,200,2287.00,true
higgs-csv,F25,200,2310.33,true
higgs-csv,F26,200,2280.33,true
higgs-csv,F27,200,2257.00,true
higgs-csv,F28,200,2316.33,true
