dataset,field,example_nrows,time,parallel
queen-mm,F1,200,2106.00,true
queen-mm,F2,200,2073.75,true
queen-mm,F3,200,2055.00,true
queen-mm,F4,200,2056.67,true
queen-mm,F5,200,2029.00,true
queen-mm,F6,200,2090.50,true
queen-mm,F7,200,2060.33,true
queen-mm,F8,200,2107.00,true
queen-mm,F9,200,2221.00,true
queen-mm,F10,200,2374.67,true
queen-mm,F11,200,2522.00,true
queen-mm,F12,200,2786.33,true
queen-mm,F13,200,3329.33,true
queen-mm,F14,200,4117.33,true
queen-mm,F15,200,5219.33,true
queen-mm,F16,200,6488.25,true
queen-mm,F17,200,9362.00,true
queen-mm,F18,200,12669.50,true
queen-mm,F19,200,20816.67,true
queen-mm,F20,200,20016.33,true
