baseline,dataset,field,time,parallel
GIO,aminer-paper-json,F1,13098.00,true
GIO,aminer-paper-json,F2,13576.67,true
GIO,aminer-paper-json,F3,13997.50,true
GIO,aminer-paper-json,F4,14196.00,true
GIO,aminer-paper-json,F5,14616.33,true
GIO,aminer-paper-json,F6,14902.00,true
GIO,aminer-paper-json,F7,15419.50,true
GIO,aminer-paper-json,F8,15409.75,true
GIO,aminer-paper-json,F9,15791.00,true
GIO,aminer-paper-json,F10,15905.75,true
SystemDS+JACKSON,aminer-paper-json,F1,15451.67,true
SystemDS+JACKSON,aminer-paper-json,F2,16512.00,true
SystemDS+JACKSON,aminer-paper-json,F3,15674.00,true
SystemDS+JACKSON,aminer-paper-json,F4,15370.00,true
SystemDS+JACKSON,aminer-paper-json,F5,15916.00,true
SystemDS+JACKSON,aminer-paper-json,F6,16109.00,true
SystemDS+JACKSON,aminer-paper-json,F7,16217.00,true
SystemDS+JACKSON,aminer-paper-json,F8,16742.00,true
SystemDS+JACKSON,aminer-paper-json,F9,15941.67,true
SystemDS+JACKSON,aminer-paper-json,F10,16149.25,true
SystemDS+GSON,aminer-paper-json,F1,14516.00,true
SystemDS+GSON,aminer-paper-json,F2,14732.33,true
SystemDS+GSON,aminer-paper-json,F3,14597.00,true
SystemDS+GSON,aminer-paper-json,F4,14515.00,true
SystemDS+GSON,aminer-paper-json,F5,14324.00,true
SystemDS+GSON,aminer-paper-json,F6,14675.00,true
SystemDS+GSON,aminer-paper-json,F7,14598.33,true
SystemDS+GSON,aminer-paper-json,F8,14785.00,true
SystemDS+GSON,aminer-paper-json,F9,14730.00,true
SystemDS+GSON,aminer-paper-json,F10,14445.00,true
SystemDS+JSON4J,aminer-paper-json,F1,15517.67,true
SystemDS+JSON4J,aminer-paper-json,F2,15722.00,true
SystemDS+JSON4J,aminer-paper-json,F3,16084.67,true
SystemDS+JSON4J,aminer-paper-json,F4,16215.50,true
SystemDS+JSON4J,aminer-paper-json,F5,16264.50,true
SystemDS+JSON4J,aminer-paper-json,F6,16489.50,true
SystemDS+JSON4J,aminer-paper-json,F7,16657.00,true
SystemDS+JSON4J,aminer-paper-json,F8,16674.00,true
SystemDS+JSON4J,aminer-paper-json,F9,21502.25,true
SystemDS+JSON4J,aminer-paper-json,F10,26087.00,true
RapidJSON,aminer-paper-json,F1,25970.00,true
RapidJSON,aminer-paper-json,F2,29342.00,true
RapidJSON,aminer-paper-json,F3,29337.00,true
RapidJSON,aminer-paper-json,F4,30351.00,true
RapidJSON,aminer-paper-json,F5,43262.00,true
RapidJSON,aminer-paper-json,F6,43996.00,true
RapidJSON,aminer-paper-json,F7,43614.00,true
RapidJSON,aminer-paper-json,F8,43960.00,true
RapidJSON,aminer-paper-json,F9,42568.00,true
RapidJSON,aminer-paper-json,F10,41736.00,true
