baseline,dataset,field,time,parallel
GIO,yelp-json,F0,48032.67,true
GIO,yelp-json,F1,49761.33,true
GIO,yelp-json,F2,52637.67,true
GIO,yelp-json,F3,55220.33,true
GIO,yelp-json,F4,57325.00,true
GIO,yelp-json,F5,59223.00,true
GIO,yelp-json,F6,60197.67,true
GIO,yelp-json,F7,60976.00,true
GIO,yelp-json,F8,62436.00,true
GIO,yelp-json,F9,64053.67,true
GIO,yelp-json,F10,67836.50,true
GIO,yelp-json,F11,69575.67,true
GIO,yelp-json,F12,72857.00,true
GIO,yelp-json,F13,73796.67,true
GIO,yelp-json,F14,76347.67,true
GIO,yelp-json,F15,76761.75,true
GIO,yelp-json,F16,76282.33,true
GIO,yelp-json,F17,81401.00,true
GIO,yelp-json,F18,82868.33,true
GIO,yelp-json,F19,98095.33,true
GIO,yelp-json,F20,99785.00,true
SystemDS+JACKSON,yelp-json,F0,61453.25,true
SystemDS+JACKSON,yelp-json,F1,62043.00,true
SystemDS+JACKSON,yelp-json,F2,62026.33,true
SystemDS+JACKSON,yelp-json,F3,62280.00,true
SystemDS+JACKSON,yelp-json,F4,63241.33,true
SystemDS+JACKSON,yelp-json,F5,63245.00,true
SystemDS+JACKSON,yelp-json,F6,64405.00,true
SystemDS+JACKSON,yelp-json,F7,65524.67,true
SystemDS+JACKSON,yelp-json,F8,66128.00,true
SystemDS+JACKSON,yelp-json,F9,68953.67,true
SystemDS+JACKSON,yelp-json,F10,69414.50,true
SystemDS+JACKSON,yelp-json,F11,68900.75,true
SystemDS+JACKSON,yelp-json,F12,71282.75,true
SystemDS+JACKSON,yelp-json,F13,71622.00,true
SystemDS+JACKSON,yelp-json,F14,70302.33,true
SystemDS+JACKSON,yelp-json,F15,69571.33,true
SystemDS+JACKSON,yelp-json,F16,67779.00,true
SystemDS+JACKSON,yelp-json,F17,81828.50,true
SystemDS+JACKSON,yelp-json,F18,72403.50,true
SystemDS+JACKSON,yelp-json,F19,74720.50,true
SystemDS+JACKSON,yelp-json,F20,76754.00,true
SystemDS+GSON,yelp-json,F0,68332.00,true
SystemDS+GSON,yelp-json,F1,59078.00,true
SystemDS+GSON,yelp-json,F2,58943.50,true
SystemDS+GSON,yelp-json,F3,58948.00,true
SystemDS+GSON,yelp-json,F4,59537.50,true
SystemDS+GSON,yelp-json,F5,59205.25,true
SystemDS+GSON,yelp-json,F6,59485.67,true
SystemDS+GSON,yelp-json,F7,59915.50,true
SystemDS+GSON,yelp-json,F8,59724.00,true
SystemDS+GSON,yelp-json,F9,59400.33,true
SystemDS+GSON,yelp-json,F10,59593.33,true
SystemDS+GSON,yelp-json,F11,59635.00,true
SystemDS+GSON,yelp-json,F12,59329.00,true
SystemDS+GSON,yelp-json,F13,60642.25,true
SystemDS+GSON,yelp-json,F14,59653.25,true
SystemDS+GSON,yelp-json,F15,60155.33,true
SystemDS+GSON,yelp-json,F16,60191.00,true
SystemDS+GSON,yelp-json,F17,60516.75,true
SystemDS+GSON,yelp-json,F18,60524.00,true
SystemDS+GSON,yelp-json,F19,60276.00,true
SystemDS+GSON,yelp-json,F20,60344.00,true
SystemDS+JSON4J,yelp-json,F0,63980.33,true
SystemDS+JSON4J,yelp-json,F1,66014.00,true
SystemDS+JSON4J,yelp-json,F2,65574.00,true
SystemDS+JSON4J,yelp-json,F3,65846.25,true
SystemDS+JSON4J,yelp-json,F4,66965.00,true
SystemDS+JSON4J,yelp-json,F5,68428.00,true
SystemDS+JSON4J,yelp-json,F6,68571.00,true
SystemDS+JSON4J,yelp-json,F7,69943.00,true
SystemDS+JSON4J,yelp-json,F8,72329.33,true
SystemDS+JSON4J,yelp-json,F9,74267.50,true
SystemDS+JSON4J,yelp-json,F10,74807.50,true
SystemDS+JSON4J,yelp-json,F11,78665.00,true
SystemDS+JSON4J,yelp-json,F12,80986.75,true
SystemDS+JSON4J,yelp-json,F13,83926.00,true
SystemDS+JSON4J,yelp-json,F14,87027.33,true
SystemDS+JSON4J,yelp-json,F15,92019.33,true
SystemDS+JSON4J,yelp-json,F16,95750.25,true
SystemDS+JSON4J,yelp-json,F17,96839.67,true
SystemDS+JSON4J,yelp-json,F18,110149.75,true
SystemDS+JSON4J,yelp-json,F19,98971.00,true
SystemDS+JSON4J,yelp-json,F20,104129.75,true
RapidJSON,yelp-json,F0,98033.00,true
RapidJSON,yelp-json,F1,102749.00,true
RapidJSON,yelp-json,F2,107897.00,true
RapidJSON,yelp-json,F3,119677.00,true
RapidJSON,yelp-json,F4,127025.00,true
RapidJSON,yelp-json,F5,135891.00,true
RapidJSON,yelp-json,F6,146617.00,true
RapidJSON,yelp-json,F7,157904.00,true
RapidJSON,yelp-json,F8,164784.00,true
RapidJSON,yelp-json,F9,173852.00,true
RapidJSON,yelp-json,F10,181383.00,true
RapidJSON,yelp-json,F11,185831.00,true
RapidJSON,yelp-json,F12,190425.00,true
RapidJSON,yelp-json,F13,192126.00,true
RapidJSON,yelp-json,F14,197987.00,true
RapidJSON,yelp-json,F15,202188.00,true
RapidJSON,yelp-json,F16,205087.00,true
RapidJSON,yelp-json,F17,208288.00,true
RapidJSON,yelp-json,F18,220078.00,true
RapidJSON,yelp-json,F19,234226.00,true
RapidJSON,yelp-json,F20,245991.00,true
