baseline,dataset,field,time,parallel
GIO,mnist8m-libsvm,F0,47012.00,true
GIO,mnist8m-libsvm,F1,48002.00,true
GIO,mnist8m-libsvm,F2,48332.67,true
GIO,mnist8m-libsvm,F3,49071.50,true
GIO,mnist8m-libsvm,F4,50253.00,true
GIO,mnist8m-libsvm,F5,50657.00,true
GIO,mnist8m-libsvm,F6,53413.00,true
GIO,mnist8m-libsvm,F7,56041.75,true
GIO,mnist8m-libsvm,F8,59026.00,true
GIO,mnist8m-libsvm,F9,65525.25,true
GIO,mnist8m-libsvm,F10,93305.50,true
GIO,mnist8m-libsvm,F11,75796.75,true
GIO,mnist8m-libsvm,F12,81984.00,true
GIO,mnist8m-libsvm,F13,89343.50,true
GIO,mnist8m-libsvm,F14,103435.50,true
GIO,mnist8m-libsvm,F15,98340.33,true
GIO,mnist8m-libsvm,F16,105043.75,true
GIO,mnist8m-libsvm,F17,125799.50,true
GIO,mnist8m-libsvm,F18,158064.00,true
GIO,mnist8m-libsvm,F19,147628.00,true
GIO,mnist8m-libsvm,F20,131156.75,true
GIO,mnist8m-libsvm,F21,128787.33,true
GIO,mnist8m-libsvm,F22,144691.00,true
GIO,mnist8m-libsvm,F23,194375.75,true
GIO,mnist8m-libsvm,F24,156170.50,true
GIO,mnist8m-libsvm,F25,148396.00,true
GIO,mnist8m-libsvm,F26,156279.00,true
GIO,mnist8m-libsvm,F27,150403.67,true
GIO,mnist8m-libsvm,F28,151288.00,true
Python,mnist8m-libsvm,F0,622681.00,true
Python,mnist8m-libsvm,F1,625841.00,true
Python,mnist8m-libsvm,F2,635198.00,true
Python,mnist8m-libsvm,F3,630159.00,true
Python,mnist8m-libsvm,F4,632178.00,true
Python,mnist8m-libsvm,F5,632323.00,true
Python,mnist8m-libsvm,F6,631485.00,true
Python,mnist8m-libsvm,F7,648629.00,true
Python,mnist8m-libsvm,F8,641316.00,true
Python,mnist8m-libsvm,F9,646205.00,true
Python,mnist8m-libsvm,F10,636817.00,true
Python,mnist8m-libsvm,F11,631602.00,true
Python,mnist8m-libsvm,F12,633280.00,true
Python,mnist8m-libsvm,F13,641681.00,true
Python,mnist8m-libsvm,F14,643239.00,true
Python,mnist8m-libsvm,F15,637374.00,true
Python,mnist8m-libsvm,F16,638031.00,true
Python,mnist8m-libsvm,F17,644265.00,true
Python,mnist8m-libsvm,F18,642075.00,true
Python,mnist8m-libsvm,F19,656878.00,true
Python,mnist8m-libsvm,F20,646248.00,true
Python,mnist8m-libsvm,F21,643699.00,true
Python,mnist8m-libsvm,F22,640380.00,true
Python,mnist8m-libsvm,F23,650810.00,true
Python,mnist8m-libsvm,F24,634973.00,true
Python,mnist8m-libsvm,F25,649671.00,true
Python,mnist8m-libsvm,F26,663269.00,true
Python,mnist8m-libsvm,F27,645150.00,true
Python,mnist8m-libsvm,F28,640966.00,true
SystemDS+LibSVM,mnist8m-libsvm,F0,86573.33,true
SystemDS+LibSVM,mnist8m-libsvm,F1,87803.67,true
SystemDS+LibSVM,mnist8m-libsvm,F2,91928.75,true
SystemDS+LibSVM,mnist8m-libsvm,F3,86717.50,true
SystemDS+LibSVM,mnist8m-libsvm,F4,87049.33,true
SystemDS+LibSVM,mnist8m-libsvm,F5,88413.50,true
SystemDS+LibSVM,mnist8m-libsvm,F6,88242.25,true
SystemDS+LibSVM,mnist8m-libsvm,F7,87836.67,true
SystemDS+LibSVM,mnist8m-libsvm,F8,88781.75,true
SystemDS+LibSVM,mnist8m-libsvm,F9,88194.75,true
SystemDS+LibSVM,mnist8m-libsvm,F10,87552.50,true
SystemDS+LibSVM,mnist8m-libsvm,F11,87623.00,true
SystemDS+LibSVM,mnist8m-libsvm,F12,87999.50,true
SystemDS+LibSVM,mnist8m-libsvm,F13,87952.00,true
SystemDS+LibSVM,mnist8m-libsvm,F14,88799.33,true
SystemDS+LibSVM,mnist8m-libsvm,F15,89209.25,true
SystemDS+LibSVM,mnist8m-libsvm,F16,88992.50,true
SystemDS+LibSVM,mnist8m-libsvm,F17,88435.50,true
SystemDS+LibSVM,mnist8m-libsvm,F18,91765.50,true
SystemDS+LibSVM,mnist8m-libsvm,F19,88541.00,true
SystemDS+LibSVM,mnist8m-libsvm,F20,88902.75,true
SystemDS+LibSVM,mnist8m-libsvm,F21,88730.67,true
SystemDS+LibSVM,mnist8m-libsvm,F22,88273.00,true
SystemDS+LibSVM,mnist8m-libsvm,F23,94928.33,true
SystemDS+LibSVM,mnist8m-libsvm,F24,88282.00,true
SystemDS+LibSVM,mnist8m-libsvm,F25,88669.75,true
SystemDS+LibSVM,mnist8m-libsvm,F26,88188.33,true
SystemDS+LibSVM,mnist8m-libsvm,F27,91387.50,true
SystemDS+LibSVM,mnist8m-libsvm,F28,88188.67,true
