baseline,dataset,field,time,parallel
GIO,susy-libsvm,F1,9357.00,true
GIO,susy-libsvm,F2,10173.67,true
GIO,susy-libsvm,F3,11046.00,true
GIO,susy-libsvm,F4,11502.00,true
GIO,susy-libsvm,F5,12039.00,true
GIO,susy-libsvm,F6,12713.50,true
GIO,susy-libsvm,F7,13469.33,true
GIO,susy-libsvm,F8,14065.33,true
GIO,susy-libsvm,F9,14966.67,true
GIO,susy-libsvm,F10,15423.67,true
GIO,susy-libsvm,F11,15823.33,true
GIO,susy-libsvm,F12,17837.75,true
GIO,susy-libsvm,F13,17758.67,true
GIO,susy-libsvm,F14,18821.33,true
GIO,susy-libsvm,F15,18936.50,true
GIO,susy-libsvm,F16,19360.75,true
GIO,susy-libsvm,F17,21425.33,true
GIO,susy-libsvm,F18,20769.00,true
Python,susy-libsvm,F1,63202.00,true
Python,susy-libsvm,F2,63224.00,true
Python,susy-libsvm,F3,63482.00,true
Python,susy-libsvm,F4,63526.00,true
Python,susy-libsvm,F5,63053.00,true
Python,susy-libsvm,F6,64811.00,true
Python,susy-libsvm,F7,62734.00,true
Python,susy-libsvm,F8,63560.00,true
Python,susy-libsvm,F9,63591.00,true
Python,susy-libsvm,F10,62406.00,true
Python,susy-libsvm,F11,63773.00,true
Python,susy-libsvm,F12,63466.00,true
Python,susy-libsvm,F13,63850.00,true
Python,susy-libsvm,F14,63450.00,true
Python,susy-libsvm,F15,62697.00,true
Python,susy-libsvm,F16,63094.00,true
Python,susy-libsvm,F17,62665.00,true
Python,susy-libsvm,F18,63646.00,true
SystemDS+LibSVM,susy-libsvm,F1,12582.25,true
SystemDS+LibSVM,susy-libsvm,F2,12701.67,true
SystemDS+LibSVM,susy-libsvm,F3,12873.33,true
SystemDS+LibSVM,susy-libsvm,F4,12816.50,true
SystemDS+LibSVM,susy-libsvm,F5,12862.50,true
SystemDS+LibSVM,susy-libsvm,F6,12859.25,true
SystemDS+LibSVM,susy-libsvm,F7,12649.00,true
SystemDS+LibSVM,susy-libsvm,F8,12782.33,true
SystemDS+LibSVM,susy-libsvm,F9,14584.50,true
SystemDS+LibSVM,susy-libsvm,F10,12716.00,true
SystemDS+LibSVM,susy-libsvm,F11,12575.75,true
SystemDS+LibSVM,susy-libsvm,F12,12752.67,true
SystemDS+LibSVM,susy-libsvm,F13,12630.33,true
SystemDS+LibSVM,susy-libsvm,F14,12635.50,true
SystemDS+LibSVM,susy-libsvm,F15,12656.75,true
SystemDS+LibSVM,susy-libsvm,F16,12691.50,true
SystemDS+LibSVM,susy-libsvm,F17,12740.00,true
SystemDS+LibSVM,susy-libsvm,F18,16621.50,true
