baseline,dataset,field,time,parallel
GIO,ReWasteF-csv,F0,6613.00,true
GIO,ReWasteF-csv,F1,9878.00,true
GIO,ReWasteF-csv,F2,10287.50,true
GIO,ReWasteF-csv,F3,11452.67,true
GIO,ReWasteF-csv,F4,11915.00,true
GIO,ReWasteF-csv,F5,12278.25,true
GIO,ReWasteF-csv,F6,13740.67,true
GIO,ReWasteF-csv,F7,14631.67,true
GIO,ReWasteF-csv,F8,15384.75,true
GIO,ReWasteF-csv,F9,18400.50,true
GIO,ReWasteF-csv,F10,17910.67,true
GIO,ReWasteF-csv,F11,19607.00,true
GIO,ReWasteF-csv,F12,20017.33,true
GIO,ReWasteF-csv,F13,21137.33,true
GIO,ReWasteF-csv,F14,22372.67,true
GIO,ReWasteF-csv,F15,25376.00,true
GIO,ReWasteF-csv,F16,23621.33,true
GIO,ReWasteF-csv,F17,27469.00,true
GIO,ReWasteF-csv,F18,27673.00,true
GIO,ReWasteF-csv,F19,28292.33,true
GIO,ReWasteF-csv,F20,30536.00,true
GIO,ReWasteF-csv,F21,29576.00,true
GIO,ReWasteF-csv,F22,30229.25,true
GIO,ReWasteF-csv,F23,28485.33,true
GIO,ReWasteF-csv,F24,33472.00,true
GIO,ReWasteF-csv,F25,30319.50,true
GIO,ReWasteF-csv,F26,30362.67,true
GIO,ReWasteF-csv,F27,29968.33,true
GIO,ReWasteF-csv,F28,33639.67,true
GIO,ReWasteF-csv,F29,32651.67,true
GIO,ReWasteF-csv,F30,32395.25,true
GIO,ReWasteF-csv,F31,31969.00,true
GIO,ReWasteF-csv,F32,38721.50,true
SystemDS+CSV,ReWasteF-csv,F0,41270.50,true
SystemDS+CSV,ReWasteF-csv,F1,40970.00,true
SystemDS+CSV,ReWasteF-csv,F2,39647.75,true
SystemDS+CSV,ReWasteF-csv,F3,40584.00,true
SystemDS+CSV,ReWasteF-csv,F4,40957.33,true
SystemDS+CSV,ReWasteF-csv,F5,40755.67,true
SystemDS+CSV,ReWasteF-csv,F6,40792.33,true
SystemDS+CSV,ReWasteF-csv,F7,40791.00,true
SystemDS+CSV,ReWasteF-csv,F8,40902.50,true
SystemDS+CSV,ReWasteF-csv,F9,40647.67,true
SystemDS+CSV,ReWasteF-csv,F10,40666.67,true
SystemDS+CSV,ReWasteF-csv,F11,40734.67,true
SystemDS+CSV,ReWasteF-csv,F12,40747.25,true
SystemDS+CSV,ReWasteF-csv,F13,40747.25,true
SystemDS+CSV,ReWasteF-csv,F14,40885.00,true
SystemDS+CSV,ReWasteF-csv,F15,40862.00,true
SystemDS+CSV,ReWasteF-csv,F16,41216.67,true
SystemDS+CSV,ReWasteF-csv,F17,40747.25,true
SystemDS+CSV,ReWasteF-csv,F18,40744.50,true
SystemDS+CSV,ReWasteF-csv,F19,40755.67,true
SystemDS+CSV,ReWasteF-csv,F20,40825.75,true
SystemDS+CSV,ReWasteF-csv,F21,40761.75,true
SystemDS+CSV,ReWasteF-csv,F22,40835.67,true
SystemDS+CSV,ReWasteF-csv,F23,40615.50,true
SystemDS+CSV,ReWasteF-csv,F24,39809.00,true
SystemDS+CSV,ReWasteF-csv,F25,40749.33,true
SystemDS+CSV,ReWasteF-csv,F26,40534.33,true
SystemDS+CSV,ReWasteF-csv,F27,39622.75,true
SystemDS+CSV,ReWasteF-csv,F28,40505.75,true
SystemDS+CSV,ReWasteF-csv,F29,40981.25,true
SystemDS+CSV,ReWasteF-csv,F30,41018.50,true
SystemDS+CSV,ReWasteF-csv,F31,40829.00,true
SystemDS+CSV,ReWasteF-csv,F32,40475.33,true
Python,ReWasteF-csv,F0,9552.00,true
Python,ReWasteF-csv,F1,9258.00,true
Python,ReWasteF-csv,F2,9997.00,true
Python,ReWasteF-csv,F3,10704.00,true
Python,ReWasteF-csv,F4,12435.00,true
Python,ReWasteF-csv,F5,13192.00,true
Python,ReWasteF-csv,F6,13004.00,true
Python,ReWasteF-csv,F7,13747.00,true
Python,ReWasteF-csv,F8,14672.00,true
Python,ReWasteF-csv,F9,15342.00,true
Python,ReWasteF-csv,F10,17918.00,true
Python,ReWasteF-csv,F11,16911.00,true
Python,ReWasteF-csv,F12,17714.00,true
Python,ReWasteF-csv,F13,18525.00,true
Python,ReWasteF-csv,F14,19283.00,true
Python,ReWasteF-csv,F15,22775.00,true
Python,ReWasteF-csv,F16,22242.00,true
Python,ReWasteF-csv,F17,21539.00,true
Python,ReWasteF-csv,F18,22325.00,true
Python,ReWasteF-csv,F19,23163.00,true
Python,ReWasteF-csv,F20,23955.00,true
Python,ReWasteF-csv,F21,24836.00,true
Python,ReWasteF-csv,F22,26555.00,true
Python,ReWasteF-csv,F23,26344.00,true
Python,ReWasteF-csv,F24,29159.00,true
Python,ReWasteF-csv,F25,29297.00,true
Python,ReWasteF-csv,F26,28699.00,true
Python,ReWasteF-csv,F27,30599.00,true
Python,ReWasteF-csv,F28,30395.00,true
Python,ReWasteF-csv,F29,34060.00,true
Python,ReWasteF-csv,F30,34992.00,true
Python,ReWasteF-csv,F31,37469.00,true
Python,ReWasteF-csv,F32,36684.00,true
