baseline,dataset,field,time,parallel
GIO,higgs-csv,F1,22137.67,true
GIO,higgs-csv,F2,22998.50,true
GIO,higgs-csv,F3,22125.00,true
GIO,higgs-csv,F4,22224.33,true
GIO,higgs-csv,F5,22290.33,true
GIO,higgs-csv,F6,22258.00,true
GIO,higgs-csv,F7,22313.67,true
GIO,higgs-csv,F8,22421.33,true
GIO,higgs-csv,F9,22512.75,true
GIO,higgs-csv,F10,22531.75,true
GIO,higgs-csv,F11,22520.67,true
GIO,higgs-csv,F12,22462.33,true
GIO,higgs-csv,F13,22717.00,true
GIO,higgs-csv,F14,22629.50,true
GIO,higgs-csv,F15,22628.50,true
GIO,higgs-csv,F16,22627.67,true
GIO,higgs-csv,F17,22984.25,true
GIO,higgs-csv,F18,22879.67,true
GIO,higgs-csv,F19,23000.00,true
GIO,higgs-csv,F20,22922.25,true
GIO,higgs-csv,F21,23136.00,true
GIO,higgs-csv,F22,22850.00,true
GIO,higgs-csv,F23,22901.33,true
GIO,higgs-csv,F24,23051.67,true
GIO,higgs-csv,F25,22851.00,true
GIO,higgs-csv,F26,23025.25,true
GIO,higgs-csv,F27,23228.75,true
GIO,higgs-csv,F28,23111.50,true
SystemDS+CSV,higgs-csv,F1,31920.50,true
SystemDS+CSV,higgs-csv,F2,31517.00,true
SystemDS+CSV,higgs-csv,F3,31388.67,true
SystemDS+CSV,higgs-csv,F4,31007.67,true
SystemDS+CSV,higgs-csv,F5,32202.25,true
SystemDS+CSV,higgs-csv,F6,31596.00,true
SystemDS+CSV,higgs-csv,F7,31242.00,true
SystemDS+CSV,higgs-csv,F8,32109.00,true
SystemDS+CSV,higgs-csv,F9,31715.00,true
SystemDS+CSV,higgs-csv,F10,32100.00,true
SystemDS+CSV,higgs-csv,F11,32160.75,true
SystemDS+CSV,higgs-csv,F12,31644.67,true
SystemDS+CSV,higgs-csv,F13,31829.25,true
SystemDS+CSV,higgs-csv,F14,31609.50,true
SystemDS+CSV,higgs-csv,F15,31908.67,true
SystemDS+CSV,higgs-csv,F16,31590.25,true
SystemDS+CSV,higgs-csv,F17,32018.75,true
SystemDS+CSV,higgs-csv,F18,31973.00,true
SystemDS+CSV,higgs-csv,F19,31565.50,true
SystemDS+CSV,higgs-csv,F20,32055.00,true
SystemDS+CSV,higgs-csv,F21,31860.67,true
SystemDS+CSV,higgs-csv,F22,31967.00,true
SystemDS+CSV,higgs-csv,F23,31963.00,true
SystemDS+CSV,higgs-csv,F24,32093.25,true
SystemDS+CSV,higgs-csv,F25,31634.00,true
SystemDS+CSV,higgs-csv,F26,31466.33,true
SystemDS+CSV,higgs-csv,F27,32170.67,true
SystemDS+CSV,higgs-csv,F28,32059.33,true
Python,higgs-csv,F1,42273.00,true
Python,higgs-csv,F2,41659.00,true
Python,higgs-csv,F3,44780.00,true
Python,higgs-csv,F4,45349.00,true
Python,higgs-csv,F5,44590.00,true
Python,higgs-csv,F6,46617.00,true
Python,higgs-csv,F7,49978.00,true
Python,higgs-csv,F8,48088.00,true
Python,higgs-csv,F9,51702.00,true
Python,higgs-csv,F10,52120.00,true
Python,higgs-csv,F11,51019.00,true
Python,higgs-csv,F12,50899.00,true
Python,higgs-csv,F13,53261.00,true
Python,higgs-csv,F14,52418.00,true
Python,higgs-csv,F15,54841.00,true
Python,higgs-csv,F16,53401.00,true
Python,higgs-csv,F17,54410.00,true
Python,higgs-csv,F18,55749.00,true
Python,higgs-csv,F19,56642.00,true
Python,higgs-csv,F20,58126.00,true
Python,higgs-csv,F21,63362.00,true
Python,higgs-csv,F22,59221.00,true
Python,higgs-csv,F23,61604.00,true
Python,higgs-csv,F24,62002.00,true
Python,higgs-csv,F25,60705.00,true
Python,higgs-csv,F26,66998.00,true
Python,higgs-csv,F27,63764.00,true
Python,higgs-csv,F28,63904.00,true
