baseline,dataset,field,time,parallel
GIO,queen-mm,F1,14111.33,true
GIO,queen-mm,F2,14226.50,true
GIO,queen-mm,F3,14045.00,true
GIO,queen-mm,F4,14221.00,true
GIO,queen-mm,F5,14039.67,true
GIO,queen-mm,F6,14048.75,true
GIO,queen-mm,F7,13957.33,true
GIO,queen-mm,F8,14170.00,true
GIO,queen-mm,F9,14268.50,true
GIO,queen-mm,F10,14208.00,true
GIO,queen-mm,F11,14557.25,true
GIO,queen-mm,F12,14487.25,true
GIO,queen-mm,F13,15183.00,true
GIO,queen-mm,F14,15804.25,true
GIO,queen-mm,F15,17087.67,true
GIO,queen-mm,F16,19199.33,true
GIO,queen-mm,F17,21603.75,true
GIO,queen-mm,F18,25044.67,true
GIO,queen-mm,F19,32571.75,true
GIO,queen-mm,F20,43575.00,true
Python,queen-mm,F1,231863.00,true
Python,queen-mm,F2,237930.00,true
Python,queen-mm,F3,232687.00,true
Python,queen-mm,F4,237974.00,true
Python,queen-mm,F5,233516.00,true
Python,queen-mm,F6,237103.00,true
Python,queen-mm,F7,233357.00,true
Python,queen-mm,F8,234810.00,true
Python,queen-mm,F9,236218.00,true
Python,queen-mm,F10,239517.00,true
Python,queen-mm,F11,229782.00,true
Python,queen-mm,F12,233522.00,true
Python,queen-mm,F13,234181.00,true
Python,queen-mm,F14,235740.00,true
Python,queen-mm,F15,235900.00,true
Python,queen-mm,F16,234730.00,true
Python,queen-mm,F17,233890.00,true
Python,queen-mm,F18,231137.00,true
Python,queen-mm,F19,236599.00,true
Python,queen-mm,F20,233001.00,true
SystemDS+MM,queen-mm,F1,30056.00,true
SystemDS+MM,queen-mm,F2,30056.00,true
SystemDS+MM,queen-mm,F3,30056.00,true
SystemDS+MM,queen-mm,F4,30056.00,true
SystemDS+MM,queen-mm,F5,30056.00,true
SystemDS+MM,queen-mm,F6,30056.00,true
SystemDS+MM,queen-mm,F7,30056.00,true
SystemDS+MM,queen-mm,F8,30056.00,true
SystemDS+MM,queen-mm,F9,30056.00,true
SystemDS+MM,queen-mm,F10,30056.00,true
SystemDS+MM,queen-mm,F11,30056.00,true
SystemDS+MM,queen-mm,F12,30056.00,true
SystemDS+MM,queen-mm,F13,30056.00,true
SystemDS+MM,queen-mm,F14,30056.00,true
SystemDS+MM,queen-mm,F15,30056.00,true
SystemDS+MM,queen-mm,F16,30056.00,true
SystemDS+MM,queen-mm,F17,30056.00,true
SystemDS+MM,queen-mm,F18,30056.00,true
SystemDS+MM,queen-mm,F19,30056.00,true
SystemDS+MM,queen-mm,F20,30056.00,true
