Rows,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
1K,2.5,2.9,4.1,2.7,3.3,3.8,4.2,3.9,4.1,4.3,4.9,4.6,4.7,2.8,3.1,3.4,3.2,3.5,3.7,4.1,4.5,2.7,2.7,7.2,8.8
2K,3.1,3.4,4.3,4,4.3,5.3,5.3,5.1,4.7,5.4,5.8,5.7,5.4,3.8,3.9,4.7,4.5,4.7,4.9,5.2,6.8,3.3,3.5,10.6,9.6 
3K,3.6,4,4.4,4.4,5.1,5.7,6.2,5.6,5.3,5.5,6,6.1,6.5,5.2,5.7,6.4,5.7,6.4,7.1,7.5,9.4,3.8,4,18.4,17.1
4K,3.9,4.6,4.6,4.7,5.6,5.8,6.3,5.8,5.3,6.5,6.8,6.4,6.8,7.7,8.2,9.1,7.7,9.7,10,11.5,10.8,4.5,4.5,20.5,20
5K,4.2,4.9,5.1,4.9,6,6.2,6.4,6.7,5.6,7.3,7,6.6,6.7,11.1,12.4,14.3,12.3,16,16.3,19.3,19.2,4.6,4.8,21.3,22.5
6K,4.8,5.5,5.5,5.9,6.3,6.3,6.5,7.3,5.7,7.4,7.5,7.1,6.8,18.4,19.2,22.8,20.4,22.9,25.4,30.3,29.1,4.9,5.2,30.9,31
7K,5,5.6,5.8,6,6.4,6.4,6.8,7.4,6.1,7.5,7.7,7.2,7.3,26.7,28.2,31,28.4,33.7,35.3,38.9,38.6,5,5.4,38,39
8K,5.2,5.7,6.2,6.1,6.5,6.5,7.6,7.5,6.5,7.7,8.1,7.6,7.6,37.2,39.6,42.2,39.4,48.4,51.3,57.1,55.2,5.1,5.4,44.9,45
9K,5.3,6.3,6.3,6.3,6.6,6.6,8,7.6,6.9,7.8,8.3,7.8,7.8,50.8,54.7,54.8,53.5,64.9,67.9,74.2,71.7,5.2,6.2,55.1,56
10K,5.5,6.4,6.4,6.6,6.7,6.8,8.1,7.8,7.1,7.9,8.4,8.2,8.3,67.8,72.4,72.8,70.1,86.7,92.1,97.3,94.3,5.5,6.2,61.2,63
